state,class,iou
negative,0,0.7649252480045544
negative,1,0.7014492783532632
negative,2,0.5795704259894112
negative,3,0.6408106806612494
zero,0,0.7680823099872558
zero,1,0.702441326591412
zero,2,0.5847410231106274
zero,3,0.6441982270293936
positive,0,0.7687137678797538
positive,1,0.7020656730022374
positive,2,0.587154873692708
positive,3,0.6457402887049002
