w56,w28_1,w28_2,wdeep,mIoU,mDice,class0_iou,class1_iou,class2_iou,class3_iou,delta_vs_official
0.0,0.0,0.0,1.0,64.9607997360921,78.54783984325977,73.66740602461992,68.50579075485511,55.33932227945563,62.33067988543773,-2.3671169593201813
0.0,0.0,0.05000000074505806,0.949999988079071,66.02199325367756,79.31844079339056,74.84814855901618,69.30780482626143,55.919588477066014,64.01243115236666,-1.3059234417347132
0.0,0.0,0.10000000149011612,0.8999999761581421,66.1358896643188,79.40476210786349,74.91474466425659,69.39864826936923,56.13417047094548,64.0959952527039,-1.1920270310934789
0.0,0.0,0.15000000596046448,0.8500000238418579,66.22425339374377,79.4723262813918,74.95631145965966,69.46223759122194,56.3217234903212,64.15674103377226,-1.1036633016685227
0.0,0.0,0.20000000298023224,0.800000011920929,66.29313537889996,79.52516439041078,74.98409648887393,69.50741269971427,56.47299251815207,64.20803980885957,-1.0347813165123232
0.0,0.0,0.25,0.75,66.35069746908752,79.56955610489625,75.0002119399423,69.54180757341341,56.60460959273451,64.25616077025981,-0.9772192263247659
0.0,0.0,0.30000001192092896,0.699999988079071,66.39590002621333,79.60476937171252,75.00694120436371,69.56624634107479,56.72055703750183,64.289855521913,-0.932016669198954
0.0,0.0,0.3499999940395355,0.6499999761581421,66.43396232558582,79.6346698169978,75.0089676044968,69.58578100583337,56.82856113054006,64.31253956147307,-0.8939543698264552
0.0,0.0,0.4000000059604645,0.6000000238418579,66.4634043940652,79.65807806030365,75.006191911865,69.59863664357188,56.92221117317848,64.32657784764545,-0.8645123013470868
0.0,0.0,0.44999998807907104,0.550000011920929,66.48706179055208,79.67703280460772,75.00091976179823,69.6053877048793,57.00060202676131,64.34133766876941,-0.840854904860211
0.0,0.0,0.5,0.5,66.50764821515075,79.6936040407017,74.99553778402584,69.60910418849352,57.07159161201615,64.35435927606748,-0.8202684802615323
0.0,0.0,0.550000011920929,0.44999998807907104,66.52304350669674,79.70619899010352,74.98833646426678,69.61018660951706,57.13172289625744,64.36192805674563,-0.8048731887155491
0.0,0.0,0.6000000238418579,0.4000000059604645,66.53487300034897,79.71612239081853,74.97832115177712,69.60750163456065,57.184568223717655,64.36910099134037,-0.7930436950633224
0.0,0.0,0.6499999761581421,0.3499999940395355,66.54354740318892,79.72366362100533,74.96666672392021,69.60162499493599,57.23097486380405,64.3749230300954,-0.7843692922233636
0.0,0.0,0.699999988079071,0.30000001192092896,66.54822612099805,79.72820845967138,74.952151968117,69.59230427418886,57.26956961178256,64.37887862990382,-0.7796905744142268
0.0,0.0,0.75,0.25,66.55144531027946,79.73163692387052,74.937870096961,69.5810937143783,57.305359439216744,64.38145799056181,-0.7764713851328153
0.0,0.0,0.800000011920929,0.20000000298023224,66.55137508672354,79.73253988814926,74.92308991916113,69.56707903512456,57.333538954852244,64.38179243775618,-0.7765416086887411
0.0,0.0,0.8500000238418579,0.15000000596046448,66.54885615353871,79.73161513537774,74.90658272196966,69.55076820863356,57.35726071578938,64.38081296776225,-0.7790605418735774
0.0,0.0,0.8999999761581421,0.10000000149011612,66.54255540300238,79.72787510962713,74.88801292328269,69.53111449732718,57.37533349485781,64.37576069654185,-0.7853612924099029
0.0,0.0,0.949999988079071,0.05000000074505806,66.53622124190787,79.72408467843456,74.86975410003024,69.51091845768579,57.39205711677702,64.3721552931384,-0.7916954535044152
0.0,0.0,1.0,0.0,66.49820367219802,79.69824414096327,74.78989953906593,69.48742902344902,57.4119289332044,64.3035571930727,-0.8297130232142624
0.0,0.05000000074505806,0.0,0.949999988079071,66.32601947627535,79.53207664590076,75.38243962670408,69.66324921638522,56.12460616838884,64.13378289362325,-1.0018972191369269
0.0,0.05000000074505806,0.05000000074505806,0.8999999761581421,66.4696947368308,79.63952792959117,75.47291564314146,69.72215660842234,56.31378325092706,64.36992344483231,-0.8582219585814843
0.0,0.05000000074505806,0.10000000149011612,0.8500000238418579,66.54881090658529,79.70057222847919,75.49287185616677,69.77421188603083,56.49670855021262,64.43145133393092,-0.7791057888269948
0.0,0.05000000074505806,0.15000000596046448,0.800000011920929,66.60972433413778,79.74800845891801,75.50040824394995,69.81057059324843,56.65273499295075,64.47518350640205,-0.7181923612744945
0.0,0.05000000074505806,0.20000000298023224,0.75,66.65720862230764,79.7852666463068,75.50078437626802,69.83419871938075,56.78248664091281,64.51136475266891,-0.6707080731046533
0.0,0.05000000074505806,0.25,0.699999988079071,66.69820671587905,79.81765337151924,75.49628202283148,69.85227621104244,56.90113628216884,64.54313234747345,-0.6297099795332328
0.0,0.05000000074505806,0.30000001192092896,0.6499999761581421,66.7281244131652,79.84159446670675,75.48828374312244,69.86280002630754,56.99852375431392,64.56289012891689,-0.5997922822470803
0.0,0.05000000074505806,0.3499999940395355,0.6000000238418579,66.7510560931724,79.86023966915428,75.47734352862832,69.86926966123372,57.08353241932665,64.57407876350089,-0.5768606022398814
0.0,0.05000000074505806,0.4000000059604645,0.550000011920929,66.77081182547417,79.87644838059936,75.4640797726485,69.87266624761108,57.15964797756421,64.5868533040729,-0.5571048699381076
0.0,0.05000000074505806,0.44999998807907104,0.5,66.78833208725163,79.8908228012342,75.45222900681811,69.87355701244933,57.226417869359416,64.60112446037968,-0.5395846081606481
0.0,0.05000000074505806,0.5,0.44999998807907104,66.80056394867175,79.9012068376624,75.43815244515034,69.87120745954101,57.284059933985745,64.60883595600993,-0.5273527467405281
0.0,0.05000000074505806,0.550000011920929,0.4000000059604645,66.80973668321356,79.90927749918492,75.42239982979383,69.86541161924934,57.334706479134354,64.6164288046767,-0.5181800121987212
0.0,0.05000000074505806,0.6000000238418579,0.3499999940395355,66.81458786225754,79.91414797114899,75.40374482308353,69.85577138257017,57.37898842623791,64.61984681713855,-0.513328833154747
0.0,0.05000000074505806,0.6499999761581421,0.30000001192092896,66.81615275297904,79.91650324474344,75.38383334989688,69.84315368055503,57.41488130083611,64.62274268062811,-0.5117639424332521
0.0,0.05000000074505806,0.699999988079071,0.25,66.81474979779884,79.91658587699139,75.36354775943747,69.82749475435529,57.44379158078521,64.62416509661738,-0.5131668976134485
0.0,0.05000000074505806,0.75,0.20000000298023224,66.81118627690003,79.91501225308583,75.34293236347071,69.81010956798605,57.467757201881184,64.62394597426218,-0.5167304185122568
0.0,0.05000000074505806,0.800000011920929,0.15000000596046448,66.80627863092809,79.91245865366898,75.32150920558092,69.79220921172865,57.491226753044586,64.62016935335822,-0.5216380644841867
0.0,0.05000000074505806,0.8500000238418579,0.10000000149011612,66.79875352449343,79.90792416256411,75.29919131614005,69.77127647821086,57.50887297689678,64.61567332672605,-0.5291631709188449
0.0,0.05000000074505806,0.8999999761581421,0.05000000074505806,66.78898548114408,79.90174196807409,75.27543515612241,69.74743103970687,57.52340297286233,64.60967275588474,-0.5389312142682012
0.0,0.05000000074505806,0.949999988079071,0.0,66.76842848237773,79.88818163045923,75.23009479726674,69.72487519048673,57.54591414865542,64.57282979310199,-0.5594882130345535
0.0,0.10000000149011612,0.0,0.8999999761581421,66.55166569749412,79.69613262502853,75.65482572775424,69.89904960919723,56.4254068286576,64.22738062436738,-0.7762509979181598
0.0,0.10000000149011612,0.05000000074505806,0.8500000238418579,66.67038256910732,79.78527115988567,75.72015525747318,69.9319912445286,56.59006279644322,64.43932097798422,-0.6575341263049705
0.0,0.10000000149011612,0.10000000149011612,0.800000011920929,66.73065123518153,79.83229374618102,75.72417197967296,69.96533252150445,56.746120582514145,64.48697985703454,-0.5972654602307559
0.0,0.10000000149011612,0.15000000596046448,0.75,66.77696576790818,79.86886252426181,75.71849284267881,69.98778753486816,56.87929863833848,64.52228405574726,-0.5509509275041014
0.0,0.10000000149011612,0.20000000298023224,0.699999988079071,66.81457552705305,79.89893395194318,75.7068689607333,70.00215310654148,56.99887174445741,64.55040829648,-0.513341168359227
0.0,0.10000000149011612,0.25,0.6499999761581421,66.84368004801438,79.92250308506952,75.6936146671852,70.01113376528869,57.10274682813029,64.56722493145334,-0.4842366473979065
0.0,0.10000000149011612,0.30000001192092896,0.6000000238418579,66.86533619516217,79.94027632878951,75.67910334965144,70.01562693955022,57.187023471940435,64.5795910195066,-0.4625805002501093
0.0,0.10000000149011612,0.3499999940395355,0.550000011920929,66.88282791619278,79.95492803947421,75.6610458034605,70.01547245109732,57.262104120856414,64.5926892893569,-0.4450887792195046
0.0,0.10000000149011612,0.4000000059604645,0.5,66.8953436886059,79.96574357739505,75.64190703824211,70.01145888870438,57.32477938844618,64.60322943903095,-0.43257300680638044
0.0,0.10000000149011612,0.44999998807907104,0.44999998807907104,66.90436352240468,79.97379362514422,75.62324780905622,70.00566108469799,57.376847283510116,64.61169791235437,-0.423553173007607
0.0,0.10000000149011612,0.5,0.4000000059604645,66.9107797608808,79.97993093975509,75.60310359270889,69.99767326062486,57.42649319928547,64.61584899090398,-0.41713693453148126
0.0,0.10000000149011612,0.550000011920929,0.3499999940395355,66.91358159865544,79.98338522232464,75.58036587694427,69.98485104819369,57.46903776759971,64.62007170188411,-0.4143350967568349
0.0,0.10000000149011612,0.6000000238418579,0.30000001192092896,66.91314035790006,79.9843923654403,75.55617657328824,69.9689130871675,57.50479138725684,64.62268038388765,-0.41477633751222376
0.0,0.10000000149011612,0.6499999761581421,0.25,66.9107286864363,79.98382021727734,75.53214895923676,69.95050235676734,57.53201379865044,64.62824963109067,-0.4171880089759772
0.0,0.10000000149011612,0.699999988079071,0.20000000298023224,66.90596486540854,79.98148179623699,75.50745199654855,69.93177895272697,57.55656517116632,64.62806334119226,-0.4219518300037528
0.0,0.10000000149011612,0.75,0.15000000596046448,66.89989135223713,79.97815307662799,75.48256612289151,69.911572945386,57.57866504424326,64.62676129642773,-0.4280253431751535
0.0,0.10000000149011612,0.800000011920929,0.10000000149011612,66.8907165678897,79.97247202600664,75.45753955470175,69.8892874701577,57.59559494711127,64.62044429958807,-0.43720012752258564
0.0,0.10000000149011612,0.8500000238418579,0.05000000074505806,66.87997781902476,79.96562940644498,75.43131636494088,69.86435338810223,57.60892126482475,64.6153202582312,-0.4479388763875214
0.0,0.10000000149011612,0.8999999761581421,0.0,66.8590274839323,79.95188453156835,75.38354696167083,69.84138773228878,57.63345818955878,64.57771705221079,-0.46888921147998364
0.0,0.15000000596046448,0.0,0.8500000238418579,66.72496356259481,79.8222301109129,75.86021600237463,70.08133421623982,56.67647802022863,64.28182601153615,-0.6029531328174742
0.0,0.15000000596046448,0.05000000074505806,0.800000011920929,66.82675764220407,79.89879881334856,75.91238017644682,70.09820813497052,56.82010674434714,64.47633551305181,-0.5011590532082111
0.0,0.15000000596046448,0.10000000149011612,0.75,66.87272758251137,79.93518796561996,75.90407962046729,70.11784838327424,56.95380101548061,64.51518131082335,-0.45518911290091113
0.0,0.15000000596046448,0.15000000596046448,0.699999988079071,66.90802959276063,79.96363396687278,75.88858748297426,70.12977926410366,57.07245551100066,64.54129611296393,-0.4198871026516504
0.0,0.15000000596046448,0.20000000298023224,0.6499999761581421,66.93631775537231,79.98670868782155,75.87117921141548,70.1376818796852,57.177312944601844,64.55909698578672,-0.3915989400399611
0.0,0.15000000596046448,0.25,0.6000000238418579,66.95951809859218,80.00584054606212,75.85224056998148,70.14330203863076,57.269712160598814,64.5728176251577,-0.36839859682009646
0.0,0.15000000596046448,0.30000001192092896,0.550000011920929,66.97544258475926,80.0193758381316,75.83158692366435,70.14179154101099,57.34336859572016,64.5850232786416,-0.3524741106530116
0.0,0.15000000596046448,0.3499999940395355,0.5,66.98639644232638,80.02905360331943,75.81030684411698,70.13599698226133,57.4032180520649,64.59606389086233,-0.34152025308590295
0.0,0.15000000596046448,0.4000000059604645,0.44999998807907104,66.99280791416446,80.0353069433627,75.78723232291831,70.12688148374359,57.454833692122406,64.60228415787358,-0.33510878124781707
0.0,0.15000000596046448,0.44999998807907104,0.4000000059604645,66.99723921624366,80.04002032962151,75.76421347012446,70.11588289375472,57.501093619628755,64.60776688146667,-0.33067747916862844
0.0,0.15000000596046448,0.5,0.3499999940395355,66.99886900803975,80.04268126294126,75.73828869835278,70.1009787890886,57.54206845019152,64.61414009452605,-0.3290476873725412
0.0,0.15000000596046448,0.550000011920929,0.30000001192092896,66.99773207464463,80.04322772083154,75.71202249882145,70.08452462093442,57.57756694865619,64.6168142301665,-0.33018462076764843
0.0,0.15000000596046448,0.6000000238418579,0.25,66.99492676512338,80.04248403976898,75.68493121924271,70.06532555916303,57.60684994502591,64.62260033706187,-0.3329899302889072
0.0,0.15000000596046448,0.6499999761581421,0.20000000298023224,66.98946012444118,80.03972803149874,75.65711034138387,70.04417588795003,57.63117458503778,64.62537968339299,-0.3384565709711018
0.0,0.15000000596046448,0.699999988079071,0.15000000596046448,66.98176539049916,80.03532911535783,75.62862386516136,70.0220705848041,57.65425769964217,64.622109412389,-0.3461513049131226
0.0,0.15000000596046448,0.75,0.10000000149011612,66.97140811280619,80.02889979050357,75.59983981111613,69.99807503635418,57.67192965788248,64.61578794587192,-0.3565085826060965
0.0,0.15000000596046448,0.800000011920929,0.05000000074505806,66.96026436916229,80.02182666764459,75.57178960204422,69.97198649519669,57.68553567262226,64.61174570678597,-0.3676523262499898
0.0,0.15000000596046448,0.8500000238418579,0.0,66.9375780491836,80.00688232444644,75.5208711402777,69.946032093131,57.70796994402105,64.57543901930464,-0.39033864622868286
0.0,0.20000000298023224,0.0,0.800000011920929,66.85930762454008,79.92025688340819,76.01407857970874,70.21787745399989,56.88796467766578,64.31730978678588,-0.4686090708722057
0.0,0.20000000298023224,0.05000000074505806,0.75,66.94973770943409,79.98833284771932,76.05810337777422,70.22480886388163,57.015337463611615,64.50070113246889,-0.37817898597819477
0.0,0.20000000298023224,0.10000000149011612,0.699999988079071,66.98529462755441,80.01688272209377,76.04401715955449,70.23829678601034,57.13306937642023,64.52579518823259,-0.3426220678578784
0.0,0.20000000298023224,0.15000000596046448,0.6499999761581421,67.01279257755202,80.03935332560407,76.02524216743657,70.2449711973813,57.234815547736915,64.54614139765329,-0.31512411786026595
0.0,0.20000000298023224,0.20000000298023224,0.6000000238418579,67.03521741005437,80.05792797815626,76.00430147346184,70.24920137119312,57.324987084804214,64.56237971075831,-0.29269928535791134
0.0,0.20000000298023224,0.25,0.550000011920929,67.05163461983182,80.0719503540513,75.98091163693172,70.24788427288871,57.40249545515979,64.57524711434704,-0.2762820755804696
0.0,0.20000000298023224,0.30000001192092896,0.5,67.06236144999819,80.08161363610552,75.95605220404396,70.24076713241043,57.46564195736204,64.5869845061764,-0.26555524541408415
0.0,0.20000000298023224,0.3499999940395355,0.44999998807907104,67.06867951760248,80.0878079217972,75.93240586867881,70.23116432859416,57.516720009217124,64.59442786391978,-0.25923717780981237
0.0,0.20000000298023224,0.4000000059604645,0.4000000059604645,67.0726874454351,80.09230527121647,75.90651042251983,70.21960961057097,57.564316880675484,64.60031286797411,-0.25522924997719576
0.0,0.20000000298023224,0.44999998807907104,0.3499999940395355,67.07520162471748,80.09567668237916,75.88037834564513,70.2074615889282,57.61021357862788,64.6027529856687,-0.2527150706947978
0.0,0.20000000298023224,0.5,0.30000001192092896,67.07411783735486,80.09637502264049,75.85144067593109,70.19004961343495,57.64786734687048,64.60711371318295,-0.2537988580574191
0.0,0.20000000298023224,0.550000011920929,0.25,67.06949632336388,80.09432615954724,75.8224959400185,70.16938246506281,57.675327730670375,64.6107791577038,-0.25842037204840684
0.0,0.20000000298023224,0.6000000238418579,0.20000000298023224,67.06214528590439,80.09025212440936,75.79184087197383,70.14612781156421,57.69821285040335,64.61239960967619,-0.2657714095078867
0.0,0.20000000298023224,0.6499999761581421,0.15000000596046448,67.05344365711066,80.08513434481998,75.76156783084679,70.12320736617012,57.71926942360063,64.60973000782512,-0.27447303830161474
0.0,0.20000000298023224,0.699999988079071,0.10000000149011612,67.04174115661985,80.07777904402411,75.73062873933021,70.09729067574774,57.73613873768518,64.60290647371629,-0.2861755387924325
0.0,0.20000000298023224,0.75,0.05000000074505806,67.02775702042901,80.06864711628758,75.69984058405376,70.06839581189939,57.74569505419608,64.59709663156674,-0.3001596749832802
0.0,0.20000000298023224,0.800000011920929,0.0,67.0032288544267,80.05244065130296,75.64589448064586,70.04011406294237,57.76751817622496,64.55938869789357,-0.32468784098559356
0.0,0.25,0.0,0.75,66.96385560532872,79.99681689800713,76.12981528644858,70.32134386778914,57.068567415242164,64.33569585183498,-0.36406109008356724
0.0,0.25,0.05000000074505806,0.699999988079071,67.04305579413654,80.05635220875642,76.16913683508993,70.32083411267656,57.17507929897838,64.50717292980124,-0.2848609012757519
0.0,0.25,0.10000000149011612,0.6499999761581421,67.07237879812742,80.08000171679612,76.15428336634693,70.33091147048395,57.275217570141656,64.52910278553709,-0.2555378972848632
0.0,0.25,0.15000000596046448,0.6000000238418579,67.09560676624997,80.09915351684216,76.13456727637849,70.33510601076651,57.366361009186626,64.54639276866827,-0.23230992916231097
0.0,0.25,0.20000000298023224,0.550000011920929,67.11338398678063,80.11418708203446,76.11217691077687,70.33475258450548,57.4464464066545,64.56016004518567,-0.21453270863165397
0.0,0.25,0.25,0.5,67.12638569803289,80.12557722183291,76.08761475612008,70.33016436429746,57.51458300106972,64.57318067064433,-0.2015309973793844
0.0,0.25,0.30000001192092896,0.44999998807907104,67.133630603148,80.13259731599058,76.0611197131425,70.32050999767152,57.57001956391724,64.58287313786077,-0.19428609226427307
0.0,0.25,0.3499999940395355,0.4000000059604645,67.1366300626238,80.13637285505044,76.03355965392673,70.30773436158339,57.61565877067181,64.58956746431325,-0.1912866327884899
0.0,0.25,0.4000000059604645,0.3499999940395355,67.13811558065954,80.13897948764675,76.00576720509287,70.29427753243056,57.65781669036818,64.59460089474656,-0.1898011147527412
0.0,0.25,0.44999998807907104,0.30000001192092896,67.13754872822373,80.14006638035261,75.97673029199919,70.27966405115036,57.697488081956664,64.59631248778874,-0.19036796718855387
0.0,0.25,0.5,0.25,67.13360980661453,80.138594858364,75.9463948867471,70.26041464787923,57.72808165531463,64.59954803651713,-0.19430688879775726
0.0,0.25,0.550000011920929,0.20000000298023224,67.12729163238919,80.13536335374336,75.91547642342277,70.23897319796883,57.75631840232703,64.59839850583808,-0.20062506302309657
0.0,0.25,0.6000000238418579,0.15000000596046448,67.11788184495745,80.12975760954366,75.88443320780547,70.21515472839641,57.777276603588746,64.59466284003918,-0.21003485045483217
0.0,0.25,0.6499999761581421,0.10000000149011612,67.10490844793614,80.12147311298821,75.8522540915143,70.18847821588402,57.791838949738796,64.58706253460743,-0.2230082474761419
0.0,0.25,0.699999988079071,0.05000000074505806,67.09155977700864,80.11287825168374,75.82057403588458,70.16035108340762,57.804231435147656,64.5810825535947,-0.23635691840363515
0.0,0.25,0.75,0.0,67.06611177870006,80.0960257946229,75.76491275650086,70.13105515568604,57.82415841855204,64.5443207840613,-0.26180491671221606
