method,mIoU,mDice,delta_vs_official,class0_iou,class1_iou,class2_iou,class3_iou
official_fusion,67.32791669541228,80.26795300665916,0.0,76.44911124908873,70.57178048719899,57.82677955014249,64.4639954952189
image_oracle,69.33401834686772,81.69162148263047,2.0061016514554386,78.46703170758744,72.9475073001694,60.246379444985564,65.67515493472848
image_class_oracle,68.92923762783728,81.40871020026952,1.6013209324249988,78.06185838207882,72.22675912215915,59.62195080179592,65.80638220531522
pixel_oracle,74.04136058901967,84.91928946913866,6.713443893607396,82.87791053261529,77.90353903354097,66.76834304248057,68.61564974744189
