class_id,cam56,cam28_1,cam28_2,camdeep,best_branch,preference_gap_vs_cam28_1
0,73.0719762120944,76.27812694570595,74.78989953906593,73.66740602461992,cam28_1,0.0
1,67.98951585234971,70.48815815341712,69.48742902344902,68.50579075485511,cam28_1,0.0
2,53.83122327991832,57.551143618941204,57.4119289332044,55.33932227945563,cam28_1,0.0
3,50.96764323263474,63.79282271144034,64.3035571930727,62.33067988543773,cam28_2,0.5107344816323689
