prediction,mIoU,mDice,class0_iou,class0_dice,class1_iou,class1_dice,class2_iou,class2_dice,class3_iou,class3_dice
cam56,61.465089644249296,75.723689038453,73.0719762120944,84.44114155436341,67.98951585234971,80.94495124577588,53.83122327991832,69.9873824470141,50.96764323263474,67.5212809066586
cam28_1,67.02756285737614,80.0460875104426,76.27812694570595,86.54292879932832,70.48815815341712,82.68979959298635,57.551143618941204,73.05709409274291,63.79282271144034,77.89452755671282
cam28_2,66.49820367219802,79.69824414096327,74.78989953906593,85.57691232307188,69.48742902344902,81.99714801719632,57.4119289332044,72.94482612885885,64.3035571930727,78.274090094726
camdeep,64.9607997360921,78.54783984325977,73.66740602461992,84.83734249382002,68.50579075485511,81.30971695153008,55.33932227945563,71.24959922240438,62.33067988543773,76.79470070528455
official_fusion,67.32791669541228,80.26795300665916,76.44911124908873,86.65287199000676,70.57178048719899,82.74731058751566,57.82677955014249,73.27879300961165,64.4639954952189,78.39283643950256
