branch,class_id,mean_entropy,mean_max_confidence,activation_mass,activation_p95,peakiness,foreground_coverage
cam56,0,1.3582840176091955,0.34194381062584117,0.26927240842713424,0.7563,2.8086797913342787,1.0
cam56,1,1.3582840176091955,0.34194381062584117,0.25010196850148947,0.7222,2.8876220985021073,1.0
cam56,2,1.3582840176091955,0.34194381062584117,0.06577495437775334,0.4067,6.1832036527496115,1.0
cam56,3,1.3582840176091955,0.34194381062584117,0.026241059571626858,0.1953,7.442531999959636,1.0
cam28_1,0,1.3576207189381349,0.344738634362797,0.21319260954752686,0.7403,3.472446661480068,1.0
cam28_1,1,1.3576207189381349,0.344738634362797,0.2482730395858952,0.6921,2.787656578732094,1.0
cam28_1,2,1.3576207189381349,0.344738634362797,0.08618507348095632,0.5851,6.788877800754062,1.0
cam28_1,3,1.3576207189381349,0.344738634362797,0.03460702653348333,0.3049,8.810346985503951,1.0
cam28_2,0,1.358173715858875,0.34093085801165257,0.17954950106752546,0.7135,3.973834268652868,1.0
cam28_2,1,1.358173715858875,0.34093085801165257,0.26736126995050447,0.7624,2.851572225197082,1.0
cam28_2,2,1.358173715858875,0.34093085801165257,0.08715166430646619,0.5851,6.713583010952994,1.0
cam28_2,3,1.358173715858875,0.34093085801165257,0.04469227727430564,0.4068,9.102241679939175,1.0
camdeep,0,1.3728917474128521,0.3050954153518564,0.10379783513202397,0.5231,5.039603657808614,1.0
camdeep,1,1.3728917474128521,0.3050954153518564,0.14292125760039817,0.5546,3.8804581663146047,1.0
camdeep,2,1.3728917474128521,0.3050954153518564,0.054043199088760784,0.3643,6.740902439780588,1.0
camdeep,3,1.3728917474128521,0.3050954153518564,0.036924073994051496,0.2806,7.599376061575554,1.0
