branch,bin,count,mean_confidence,pixel_accuracy,minimum_confidence,maximum_confidence
cam56,0,15863935,0.27534058690071106,0.6779152209083056,0.25,0.28594160079956055
cam56,1,15863935,0.29317817091941833,0.725236834366757,0.28594160079956055,0.29988494515419006
cam56,2,15863935,0.3060656487941742,0.7505748100959818,0.29988494515419006,0.3121400475502014
cam56,3,15863935,0.31818366050720215,0.7754485252240381,0.3121400773525238,0.3242703378200531
cam56,4,15863935,0.3305685222148895,0.7988458727295592,0.3242703378200531,0.33702707290649414
cam56,5,15863934,0.34388068318367004,0.8211278488677525,0.33702707290649414,0.3509727418422699
cam56,6,15863934,0.35861605405807495,0.8435218527762407,0.3509727418422699,0.3665946424007416
cam56,7,15863934,0.37541463971138,0.8666348460602521,0.3665946424007416,0.3848198652267456
cam56,8,15863934,0.3960590660572052,0.8865578361584208,0.3848198652267456,0.40876758098602295
cam56,9,15863934,0.4296545684337616,0.9032041484791855,0.40876758098602295,0.4753669202327728
cam28_1,0,15863935,0.2778056859970093,0.6876237200921461,0.25,0.28846096992492676
cam28_1,1,15863935,0.2957579493522644,0.73191121874869,0.28846096992492676,0.30259594321250916
cam28_1,2,15863935,0.3089759945869446,0.7699366519088738,0.30259594321250916,0.31526419520378113
cam28_1,3,15863935,0.3215097188949585,0.8024821080015772,0.31526419520378113,0.3277629017829895
cam28_1,4,15863935,0.3341156244277954,0.8317835392038608,0.3277629017829895,0.34056058526039124
cam28_1,5,15863934,0.34729471802711487,0.858122329555834,0.34056058526039124,0.35422244668006897
cam28_1,6,15863934,0.3616608679294586,0.8803696485373679,0.35422244668006897,0.369417667388916
cam28_1,7,15863934,0.37810811400413513,0.8976495993994932,0.369417667388916,0.3874511420726776
cam28_1,8,15863934,0.398753821849823,0.9083454961423818,0.3874511420726776,0.4116572439670563
cam28_1,9,15863934,0.4326128363609314,0.9115873780110281,0.4116572439670563,0.4753669202327728
cam28_2,0,15863935,0.2692260146141052,0.7633486899687877,0.25,0.2811151444911957
cam28_2,1,15863935,0.2892150580883026,0.7711137243061069,0.2811151444911957,0.2966553866863251
cam28_2,2,15863935,0.3034350574016571,0.7862651353526096,0.2966553866863251,0.310059517621994
cam28_2,3,15863935,0.3165704905986786,0.8038023983330743,0.310059517621994,0.3230884373188019
cam28_2,4,15863935,0.3297313451766968,0.8218329815395738,0.3230884373188019,0.3364836275577545
cam28_2,5,15863934,0.3435935080051422,0.8362838625022015,0.3364836275577545,0.3509463667869568
cam28_2,6,15863934,0.3588981330394745,0.8480417278589283,0.3509463667869568,0.3672342300415039
cam28_2,7,15863934,0.376690536737442,0.8572736119552691,0.3672342300415039,0.38687649369239807
cam28_2,8,15863934,0.3990843594074249,0.860059301810005,0.38687649369239807,0.4128698706626892
cam28_2,9,15863934,0.434437096118927,0.8616208942876338,0.4128698706626892,0.4753669202327728
camdeep,0,15863935,0.2552633583545685,0.7715738875632054,0.25,0.25951066613197327
camdeep,1,15863935,0.26305192708969116,0.8030833459668109,0.25951066613197327,0.2665275037288666
camdeep,2,15863935,0.2700783908367157,0.8090324374122814,0.2665275037288666,0.27374473214149475
camdeep,3,15863935,0.27773118019104004,0.8126974171288524,0.27374473214149475,0.2819194495677948
camdeep,4,15863935,0.2866150438785553,0.8176033247740866,0.2819194793701172,0.2916202247142792
camdeep,5,15863934,0.29737669229507446,0.8224144149868501,0.2916202247142792,0.3035753667354584
camdeep,6,15863934,0.31089937686920166,0.8295137259143918,0.3035753667354584,0.31894487142562866
camdeep,7,15863934,0.3289960026741028,0.8305697061019038,0.31894487142562866,0.3404846787452698
camdeep,8,15863934,0.3563676178455353,0.8249700862345998,0.3404846787452698,0.37582337856292725
camdeep,9,15863934,0.4104045629501343,0.8054287795196324,0.37582337856292725,0.4753669202327728
