fold,train_images,heldout_images,train_groups,heldout_groups,group_overlap,official_mIoU,probe_mIoU,delta_mIoU,official_mDice,probe_mDice
0,2731,687,19,3,0,64.83750812078733,64.42428215740831,-0.41322596337901585,78.42379629821927,78.09123037622797
1,2732,686,18,4,0,59.807739333497246,59.56784069991242,-0.239898633584823,72.62705308353785,72.3649275870228
2,2745,673,17,5,0,61.995794274678694,61.93487200326558,-0.060922271413110796,76.13838549538107,76.08264410251748
3,2737,681,17,5,0,82.18340184795744,82.10884683070067,-0.07455501725677216,89.99071843233813,89.9477056833538
4,2727,691,17,5,0,63.23014470624375,63.20472450508645,-0.02542020115730015,77.42770363171762,77.40543887111806
