w56,w28_1,w28_2,wdeep,mIoU,mDice,class0_iou,class1_iou,class2_iou,class3_iou,delta_vs_official
0.20000000298023224,0.44999998807907104,0.30000001192092896,0.05000000074505806,67.49086674556978,80.37770022610265,76.79303472929733,70.71165538388445,57.80104412417854,64.65773274491879,0.16295005015749542
0.20000000298023224,0.4000000059604645,0.3499999940395355,0.05000000074505806,67.48895003441153,80.37779428251254,76.75677303505157,70.69471371608996,57.82586862300041,64.6784447635042,0.1610333389992502
0.20000000298023224,0.44999998807907104,0.3499999940395355,0.0,67.48759297736763,80.37702834251836,76.75717967145714,70.6958306415656,57.84175936120255,64.65560223524523,0.15967628195534544
0.20000000298023224,0.4000000059604645,0.30000001192092896,0.10000000149011612,67.48741633559601,80.3752402611887,76.78232481393368,70.71027612214502,57.78920611636449,64.66785828994084,0.15949964018372453
0.20000000298023224,0.44999998807907104,0.25,0.10000000149011612,67.48703189234963,80.37349004190628,76.81513656317493,70.7237970442421,57.75938980420323,64.6498041577783,0.15911519693735388
0.15000000596046448,0.5,0.25,0.10000000149011612,67.48674695419795,80.37534779073935,76.76757205015134,70.69997398645424,57.795885563161995,64.6835562170242,0.15883025878566936
0.15000000596046448,0.5,0.30000001192092896,0.05000000074505806,67.48656083755574,80.37654771614415,76.74315478471439,70.68517435991579,57.82969622287172,64.68821798272107,0.15864414214346034
0.15000000596046448,0.44999998807907104,0.30000001192092896,0.10000000149011612,67.48639664026086,80.37651870698757,76.73312985440818,70.68675897784178,57.821705117492925,64.70399261130062,0.15847994484858852
0.20000000298023224,0.5,0.25,0.05000000074505806,67.48539201184083,80.37228085732302,76.82036343156956,70.71911035042022,57.7635519922446,64.63854227312895,0.15747531642854584
0.15000000596046448,0.44999998807907104,0.25,0.15000000596046448,67.4841061850125,80.37342598726033,76.75761384031127,70.70030648531913,57.7829882899797,64.69551612443989,0.1561894896002114
