epoch,max,mean,mean_reliability,mean_suppression,min,p05,p25,p50,p75,p95,pixels,source,std
0,0.6019372940063477,0.06836991698940352,,,8.293985160889861e-07,0.010736508341506126,0.031040106434375048,0.05500161461532116,0.09055514447391033,0.1721468478441238,2679712,Reconstructed-init,0.05327932491764893
25,0.9998006820678711,0.19209928421916123,1.0,0.0,2.018289181615618e-11,0.0023671420407481497,0.0330557469278574,0.11583903059363365,0.2834821864962578,0.6516293257474898,2679712,Phase0-C0,0.20692734447070094
1,0.9719781875610352,0.32406636101004405,0.6759338974952698,0.3240661025047302,7.638049282832071e-06,0.09103341065347198,0.2525358125567436,0.31137095391750336,0.36504995077848434,0.6856740325689316,2679712,GS,0.15083253535143326
5,0.9980006814002991,0.17813970357422615,0.8218599557876587,0.1781400442123413,8.149379482347285e-08,0.004911043052561582,0.03891592752188444,0.11428060010075569,0.2599659785628319,0.5727822691202161,2679712,GS,0.18206780588327684
10,0.9986709952354431,0.1820544971012685,0.8179452419281006,0.18205475807189941,4.608323944665926e-09,0.004227472306229174,0.04067530948668718,0.12154880166053772,0.2682035565376282,0.5705082803964612,2679712,GS,0.18238619114502175
15,0.9978151917457581,0.17967358693787952,0.8203262090682983,0.17967379093170166,6.25671667253691e-11,0.0035746839013881984,0.0384581508114934,0.12037095427513123,0.26855194568634033,0.5553394377231593,2679712,GS,0.1798815526433921
20,0.9985706210136414,0.18042291098690647,0.8195770382881165,0.18042296171188354,1.688406532640574e-11,0.002270092093385756,0.0335193881765008,0.11663853749632835,0.2713705748319626,0.5737249344587325,2679712,GS,0.1868238539036344
25,0.9993718266487122,0.1814344813373994,0.818565845489502,0.18143415451049805,3.4729838362806964e-12,0.001416555017931387,0.027440569829195738,0.11004241928458214,0.2749338895082474,0.6000730425119398,2679712,GS,0.19624123113531103
1,0.9718865156173706,0.3239792816753063,0.6760207414627075,0.3239792585372925,1.4755363736185245e-05,0.09063660465180876,0.2524324506521225,0.31127703189849854,0.3650469332933426,0.6862278282642362,2679712,RCS,0.15091960775428961
5,0.9978393912315369,0.17885976050312202,0.8211402297019958,0.17885977029800415,1.0618104084869628e-07,0.0050673456862568855,0.03949000779539347,0.1153353676199913,0.2607622817158699,0.5733909398317331,2679712,RCS,0.18206902591132515
10,0.9985585808753967,0.18214696409501743,0.8178529739379883,0.18214702606201172,7.1570087634142965e-09,0.004298539855517447,0.040948848240077496,0.12205240875482559,0.26816780865192413,0.5694855064153671,2679712,RCS,0.1820379811420356
15,0.9979844093322754,0.17912187727556333,0.8208779692649841,0.17912203073501587,5.0761169573254605e-11,0.003528567508328706,0.038097153417766094,0.11919393017888069,0.26739414781332016,0.5562626391649246,2679712,RCS,0.18020143127957014
20,0.9985430240631104,0.17990582228280202,0.820094108581543,0.17990589141845703,1.0655278742666141e-11,0.0022136604646220805,0.032867648638784885,0.11521541699767113,0.2702536880970001,0.5759329885244369,2679712,RCS,0.18758312632611435
25,0.9993817806243896,0.1807557227713384,0.8192446827888489,0.18075531721115112,2.3192747635597533e-12,0.0013672043394763024,0.026680666487663984,0.10823039337992668,0.2733306884765625,0.6032077342271804,2679712,RCS,0.19718855503729973
1,0.9576291441917419,0.32879376270307775,,,6.39339632471092e-05,0.09727173671126366,0.2641860842704773,0.32248926162719727,0.3709050342440605,0.6516416847705835,2679712,Phase1-DD,0.141605883536318
5,0.9992902278900146,0.2012431432549082,,,2.2095969143265393e-07,0.007639463827945293,0.046728081069886684,0.1208464652299881,0.2640117481350899,0.7574107855558395,2679712,Phase1-DD,0.21969659180472864
10,0.9989722371101379,0.20416667063301078,,,2.301346135880067e-08,0.0069206881569698455,0.048268187791109085,0.1268473118543625,0.2742837369441986,0.7401896119117737,2679712,Phase1-DD,0.21705733907085456
15,0.9997398853302002,0.2092214228006374,,,3.0466260070305395e-10,0.0054293553577736044,0.04349975846707821,0.12127324566245079,0.2764798030257225,0.7985461831092834,2679712,Phase1-DD,0.23423527104462633
20,0.9999112486839294,0.20691903883656862,,,4.761394750696368e-11,0.003955021873116494,0.03935404494404793,0.11887726187705994,0.2803494855761528,0.7890958368778227,2679712,Phase1-DD,0.2331962314274374
25,0.9999405741691589,0.2067974901148647,,,8.027643653985006e-12,0.0025834896601736545,0.032110659405589104,0.11148568242788315,0.28504205495119095,0.799432635307312,2679712,Phase1-DD,0.24075348601556842
