effective_context_scale,epoch,gamma_context,gamma_veto,mean_reliability,variant
1.5721968412399292,25,1.5721968412399292,0.567997932434082,1.0,Phase0-C0
0.13781531346562836,1,0.20388874411582947,0.1651681512594223,0.6759338974952698,GS
1.1130998213782846,5,1.3543667793273926,0.7082067728042603,0.8218599557876587,GS
1.2654343631023153,10,1.5470893383026123,0.7465232610702515,0.8179452419281006,GS
1.2807860994055886,15,1.5613131523132324,0.7332301139831543,0.8203262090682983,GS
1.2795157769808014,20,1.5611903667449951,0.7248669862747192,0.8195770382881165,GS
1.2715168910483499,25,1.553347110748291,0.7209362983703613,0.818565845489502,GS
0.13726166146468977,1,0.20304356515407562,0.16493089497089386,0.6760207414627075,RCS
1.0996118878291838,5,1.339128017425537,0.7110074758529663,0.8211402297019958,RCS
1.2512685212906263,10,1.5299431085586548,0.7613276839256287,0.8178529739379883,RCS
1.265768822804361,15,1.5419695377349854,0.7539592385292053,0.8208779692649841,RCS
1.2634430953439733,20,1.5406074523925781,0.7484757900238037,0.820094108581543,RCS
1.2553687625951326,25,1.5323489904403687,0.7454093098640442,0.8192446827888489,RCS
