CAM28_1_IoU,CAM28_2_IoU,CAM56_IoU,CAMdeep_IoU,Final_IoU,class,variant
0.7627821407008087,0.7478923600388698,0.7307392837467102,0.7366602665487106,0.7644844979262158,0,C0
0.7049215818697608,0.6949226639669458,0.679908070855248,0.6850841564716784,0.7057632264357394,1,C0
0.5757686599623305,0.5744265290137589,0.5385410989472734,0.5536701776902987,0.578542093438836,2,C0
0.6379219175525168,0.6430853447469272,0.5096727756025762,0.6232975041791838,0.6446638529335553,3,C0
0.7620659218187404,0.7468915308967151,0.7308423919968882,0.7355031771672451,0.7642359982970582,0,GS
0.7056635342438602,0.694039207635106,0.6800813360768702,0.6838202192169253,0.7060463079473309,1,GS
0.5707035099517218,0.5730721807206036,0.5379742940952911,0.5536123305320496,0.5748226108291974,2,GS
0.6327558723858988,0.6374014204876576,0.5062767336828182,0.6169792608965446,0.6385682013701843,3,GS
0.7602093039945096,0.7465936197285309,0.7303699692789457,0.7349813285068799,0.7631905773879246,0,RCS
0.7036798914531049,0.6938905089815333,0.6796678672120524,0.683569480773256,0.7052363124701314,1,RCS
0.565631195559797,0.5744085496734643,0.5384925650988203,0.5547744986378862,0.5745688899906615,2,RCS
0.6311948993763147,0.6385852152339867,0.5074146588277453,0.6187516262477863,0.6398154194990626,3,RCS
