epoch,gamma_context_28_1,gamma_context_28_2,gamma_context_56,gamma_veto_28_1,gamma_veto_28_2,gamma_veto_56,loss_cls,lr_backbone_weight,lr_scratch_weight,optimizer_global_step,optimizer_momentum,train_accuracy,train_exact_match,val_mean_dice,val_mean_iou,variant
1,0.20388874411582947,0.8035595417022705,0.1002827063202858,0.1651681512594223,0.3931274712085724,0.05920698866248131,0.4167263689558288,0.0096395778991375,0.09639577899137501,1171,0.0005,0.7039164304013557,0.39807856532877883,,,GS
2,0.5814131498336792,0.9648078680038452,0.23367170989513397,0.4087769687175751,0.44948485493659973,0.13659125566482544,0.33214543747097686,0.00927734178871898,0.0927734178871898,2342,0.0005,0.7540480614859085,0.4889410760034159,,,GS
3,1.0199131965637207,1.0125768184661865,0.48121386766433716,0.5850973725318909,0.47167137265205383,0.25857338309288025,0.29754645173158734,0.008913526845035089,0.08913526845035089,3513,0.0005,0.7725722630230574,0.5234415029888984,,,GS
4,1.2160650491714478,1.0587950944900513,0.8079850077629089,0.6552187204360962,0.4929622709751129,0.38341090083122253,0.2739805360821757,0.008548053896321633,0.08548053896321633,4684,0.0005,0.7836347395388609,0.5443210930828352,,,GS
5,1.3543667793273926,1.087320327758789,1.0204886198043823,0.7082067728042603,0.507306694984436,0.45768553018569946,0.2597934290779441,0.008180835826588701,0.08180835826588702,5855,0.0005,0.7928362724167412,0.5628522630230572,,,GS
6,1.437500238418579,1.1111385822296143,1.1443861722946167,0.7325803637504578,0.5193102955818176,0.5057547092437744,0.24904592951121848,0.00781177633935498,0.07811776339354981,7026,0.0005,0.7998209479077748,0.5774124679760888,,,GS
7,1.4798808097839355,1.1435723304748535,1.2410199642181396,0.7413531541824341,0.5326377749443054,0.5440133810043335,0.23977486967378758,0.007440768453370394,0.07440768453370393,8197,0.0005,0.8064287361229784,0.5883432963279248,,,GS
8,1.5071691274642944,1.1662334203720093,1.3203279972076416,0.7451150417327881,0.5421950817108154,0.5757977962493896,0.23400840051885755,0.007067692653980677,0.07067692653980677,9368,0.0005,0.8111931041844656,0.5984628522630231,,,GS
9,1.5314680337905884,1.178537368774414,1.385107398033142,0.7470852136611938,0.5481829643249512,0.6023523211479187,0.22645397678361195,0.006692414596220688,0.06692414596220689,10539,0.0005,0.8180034927412554,0.6122117847993168,,,GS
10,1.5470893383026123,1.1919987201690674,1.4299710988998413,0.7465232610702515,0.5544239282608032,0.6244990229606628,0.22112481805705086,0.006314782215834666,0.06314782215834666,11710,0.0005,0.8234260546541502,0.624466268146883,,,GS
