context_after_rms,context_before_rms,context_pixels,context_rms_ratio,frozen_c0_q_mean_feature,frozen_c0_q_mean_full,mean_reliability,prediction_accuracy_delta_vs_c0,prediction_pixels,quintile,variant
0.40886572003364563,0.4750799536705017,495829,0.8606250734738855,0.007807930465787649,0.008310876786708832,0.8494850993156433,-0.00014224087977670358,31727869,Q1,GS
0.3949342370033264,0.46611931920051575,495828,0.8472814164422847,0.04428283870220184,0.04497762769460678,0.8353467583656311,-0.0001995721616627803,31727872,Q2,GS
0.377869188785553,0.45280778408050537,495829,0.8345024137623285,0.1138918399810791,0.11276477575302124,0.823233962059021,-0.00023827633921939977,31727867,Q3,GS
0.3581746816635132,0.43719708919525146,495829,0.8192522103081821,0.2395002245903015,0.23253433406352997,0.8087754249572754,-0.0004303156950124826,31727869,Q4,GS
0.3302440643310547,0.41490793228149414,495828,0.795945410142221,0.5409819483757019,0.5259067416191101,0.7835040092468262,-0.0014931983453788952,31727868,Q5,GS
0.4682021737098694,0.47145894169807434,495829,0.9930921492835094,0.007807930465787649,0.008310876786708832,0.9927117228507996,-0.00019323705604054278,31727869,Q1,RCS
0.44124874472618103,0.4593849778175354,495828,0.9605206222077249,0.04428283870220184,0.04497762769460678,0.9562827348709106,-0.0003467928766228003,31727872,Q2,RCS
0.397752970457077,0.44527915120124817,495829,0.893266548375423,0.1138918399810791,0.11276477575302124,0.8849039077758789,-0.00046807432721525215,31727867,Q3,RCS
0.3320036232471466,0.42959704995155334,495829,0.7728256590323128,0.2395002245903015,0.23253433406352997,0.7581474184989929,-0.0010853234423024124,31727869,Q4,RCS
0.22488804161548615,0.40787473320961,495828,0.5513654642096069,0.5409819483757019,0.5259067416191101,0.51756352186203,-0.0028198554028275712,31727868,Q5,RCS
