GS_minus_C0,RCS_minus_C0,RCS_minus_GS,replicate
-0.0009975445734755617,-0.0015727791420960813,-0.0005752345686205196,0
-0.002421929604055184,-0.002098118593129361,0.000323811010925823,1
-0.0011886341283831037,-0.0021173884524130493,-0.0009287543240299456,2
-0.00260070516083144,-0.002954571579270704,-0.0003538664184392637,3
-0.0036455162172409628,-0.004079048171165334,-0.00043353195392437094,4
-0.003041947022271674,-0.0029622695646505104,7.96774576211634e-05,5
-0.0014365944561266497,-0.0017812002144856898,-0.00034460575835904006,6
-0.002583998856423131,-0.002774626859939233,-0.00019062800351610232,7
-0.0010537328401117874,-0.0012261219604642326,-0.00017238912035244525,8
-0.0013437597431497084,-0.0016855470362318048,-0.00034178729308209643,9
-0.0025482302840322824,-0.0019065846465601277,0.0006416456374721546,10
-0.0019045073841879034,-0.0031407139946000306,-0.0012362066104121272,11
-0.0021464540696894963,-0.003176248329028075,-0.001029794259338579,12
-0.0017396398618767517,-0.002194487881335916,-0.0004548480194591642,13
-0.001684759573413963,-0.0020672892623697647,-0.00038252968895580164,14
-0.0027590474550245325,-0.0030014461486260746,-0.0002423986936015421,15
-0.002130553105755051,-0.0026770282182864147,-0.0005464751125313638,16
-0.0021057071347108103,-0.0020781852194176054,2.7521915293204913e-05,17
-0.0034801213196163916,-0.004184706121228232,-0.0007045848016118406,18
-0.003835728872271682,-0.0034095037084532764,0.0004262251638184056,19
-0.0019000950677944273,-0.0017633263547919276,0.0001367687130024997,20
-0.0016976627553001444,-0.0023908507211327645,-0.0006931879658326201,21
-0.002031692830654408,-0.002604312928385699,-0.0005726200977312912,22
-0.0015504949340274798,-0.0018051549950649504,-0.0002546600610374705,23
-0.0028767582080886367,-0.0029761597036290777,-9.940149554044098e-05,24
-0.0011176223575423139,-0.0016956291915910526,-0.0005780068340487388,25
-0.0038311205905366963,-0.002998926706031191,0.0008321938845055055,26
-0.0018337045998554347,-0.002284323348812345,-0.00045061874895691023,27
-0.0017347993739402767,-0.002519598819360036,-0.0007847994454197593,28
-0.0023817277422581995,-0.003091284015852569,-0.0007095562735943695,29
-0.0023204093655102564,-0.0024103132712562925,-8.990390574603602e-05,30
