class,delta_fp_n,delta_fp_mean,delta_fp_median,delta_fp_ci95,delta_fn_n,delta_fn_mean,delta_fn_median,delta_fn_ci95
pooled,6102,-2.8939655004354856,0.0,"[-7.811661122058156, 0.24882769187139683]",6102,0.022728140170260556,0.0,"[0.01787270903331121, 0.027661577361096625]"
0,2046,-5.631719964782576,0.0,"[-18.60545895032012, 1.929541138994896]",2046,0.015123115405362405,0.0,"[0.006845789321193263, 0.02343378835579548]"
1,2713,-1.0508347814295549,0.0,"[-2.8784800769724415, 0.24137610888863245]",2713,0.05396672478065838,1.9929846938771538e-05,"[0.04667262484895495, 0.06162368987658833]"
2,952,-3.358938930032434,0.0,"[-12.672776035799862, 1.7479848825841067]",952,-0.028670289774353184,0.0,"[-0.04098111585378558, -0.01652603515266944]"
3,391,-0.2246900570407302,0.0,"[-1.356751674866265, 0.41729355725190553]",391,-0.029085399655200832,0.0,"[-0.047206920545562074, -0.011092188671137043]"
