metric,observed,ci95_low,ci95_high,resamples,finite_resamples,seed,resampling_images,aggregation
Shallow_Wrong__mean_B_family,0.15521049567741335,0.1499954305952812,0.16060491777492095,10000,10000,42,3418,pooled_target_mean
Top20_Shallow_Wrong__mean_B_S,0.3207036591838381,0.314115499471988,0.32730416333359286,10000,10000,42,3418,pooled_target_mean
Top20_Shallow_Wrong__mean_B_D,0.1878760430238827,0.1776685181253379,0.1981396755840682,10000,10000,42,3418,pooled_target_mean
Top20_Shallow_Wrong__mean_B_family,0.25428985111288643,0.24596647780006198,0.26260870790109136,10000,10000,42,3418,pooled_target_mean
class0__mean_B_S,0.09407914156022691,0.09110371478204303,0.09704082404735483,10000,10000,42,3418,pooled_target_mean
class0__mean_B_D,0.02430500390794323,0.022137336327066586,0.026456048006115982,10000,10000,42,3418,pooled_target_mean
class0__mean_B_family,0.05919207273307572,0.05796395559505717,0.06045471579171957,10000,10000,42,3418,pooled_target_mean
class1__mean_B_S,0.10958293376699386,0.10635948829286415,0.11281564137588358,10000,10000,42,3418,pooled_target_mean
class1__mean_B_D,0.0642713936019264,0.06170622246778852,0.06685700371170342,10000,10000,42,3418,pooled_target_mean
class1__mean_B_family,0.08692716368416416,0.08514401994699908,0.08876162885895761,10000,10000,42,3418,pooled_target_mean
class2__mean_B_S,0.1284669629372178,0.12344966854184697,0.133682749202197,10000,10000,42,3418,pooled_target_mean
class2__mean_B_D,0.10325808246465079,0.09747113502749577,0.1089085152116109,10000,10000,42,3418,pooled_target_mean
class2__mean_B_family,0.11586252270267881,0.11315049174874578,0.1185647380619788,10000,10000,42,3418,pooled_target_mean
class3__mean_B_S,0.3491765561731999,0.33602776338957213,0.36164854305352917,10000,10000,42,3418,pooled_target_mean
class3__mean_B_D,0.2586366270179832,0.23736477612939344,0.27966158516560985,10000,10000,42,3418,pooled_target_mean
class3__mean_B_family,0.3039065916190977,0.28743251069352976,0.3200526029898711,10000,10000,42,3418,pooled_target_mean
boundary__mean_B_S,0.15881903544048334,0.1556876092339768,0.16210240298755443,10000,10000,42,3418,pooled_target_mean
boundary__mean_B_D,0.033166418054380725,0.02927111159139958,0.037079223095178256,10000,10000,42,3418,pooled_target_mean
boundary__mean_B_family,0.09599272675053422,0.09355901016188672,0.09852689384224397,10000,10000,42,3418,pooled_target_mean
interior__mean_B_S,0.11668388846705786,0.1136390672498084,0.11972987004443279,10000,10000,42,3418,pooled_target_mean
interior__mean_B_D,0.0680622251133529,0.06522821764964569,0.07098909633541188,10000,10000,42,3418,pooled_target_mean
interior__mean_B_family,0.09237305679112036,0.08993988709356601,0.09488497800435533,10000,10000,42,3418,pooled_target_mean
Q1__mean_B_S,-0.02519409631212549,-0.02701596349545142,-0.023364478335627863,10000,10000,42,3418,pooled_target_mean
Q1__mean_B_D,0.046669154497965264,0.04474298048174297,0.048602139259921094,10000,10000,42,3418,pooled_target_mean
Q1__mean_B_family,0.010737529092919886,0.010626468193583304,0.010848240045153643,10000,10000,42,3418,pooled_target_mean
Q2__mean_B_S,0.04743280859546921,0.04568972588305742,0.049167466149485826,10000,10000,42,3418,pooled_target_mean
