group,targets,deep_win_count,shallow_win_count,both_wrong_count,T_SS_mean,T_SD_mean,T_DS_mean,T_DD_mean,B_S_mean,B_D_mean,B_family_mean,old_mean,old_median,dsrc_mean,sym_mean,sym_median,wD_sym_mean,bias_shrink,old_auroc,old_image_auroc,old_balanced_accuracy,old_deep_win_recall,old_shallow_win_recall,dsrc_auroc,dsrc_image_auroc,dsrc_balanced_accuracy,dsrc_deep_win_recall,dsrc_shallow_win_recall,sym_auroc,sym_image_auroc,sym_balanced_accuracy,sym_deep_win_recall,sym_shallow_win_recall,ctx_S_auroc,ctx_S_image_auroc,ctx_S_balanced_accuracy,ctx_S_deep_win_recall,ctx_S_shallow_win_recall,ctx_D_auroc,ctx_D_image_auroc,ctx_D_balanced_accuracy,ctx_D_deep_win_recall,ctx_D_shallow_win_recall,ctx_sym_auroc,ctx_sym_image_auroc,ctx_sym_balanced_accuracy,ctx_sym_deep_win_recall,ctx_sym_shallow_win_recall,shallow_accuracy,shallow_miou,deep_accuracy,deep_miou,fixed_average_accuracy,fixed_average_miou,anchor_old_accuracy,anchor_old_miou,anchor_sym_accuracy,anchor_sym_miou,ctx_S_accuracy,ctx_S_miou,ctx_D_accuracy,ctx_D_miou,ctx_sym_accuracy,ctx_sym_miou,anchor_sym_minus_fixed_average_accuracy,anchor_sym_minus_fixed_average_miou,anchor_sym_minus_anchor_old_accuracy,anchor_sym_minus_anchor_old_miou,pair_support,ctx_sym_Both_Wrong_rescue
class0,965133,43802,88423,111834,0.885069517942691,0.7909903763824645,0.7928025913767098,0.8171075952853324,0.09407914156022691,0.02430500390794323,0.05919207273307572,-0.09226692655946181,-0.05505555868148804,0.026117218903655762,-0.033074853781306646,-0.013213157653808594,0.48586019324534463,0.6415308125030095,0.8667098402958917,0.8259125212928503,0.7368613581592712,0.5262316789187709,0.9474910373997716,0.7746308274812183,0.7400464928889574,0.6958812983883729,0.8337290534678782,0.5580335433088676,0.8387099641985727,0.7902943396694886,0.7689559328478761,0.7433222227295557,0.7945896429661966,0.841996393814596,0.8071503123539497,0.6928621143547707,0.43454636774576505,0.9511778609637764,0.7524745218282979,0.7229197092106939,0.6882201835266584,0.74357335281494,0.6328670142383769,0.8065669767929092,0.7686069293503407,0.7356512040548882,0.6238984521254737,0.8474039559843027,0.8387413962635202,0.20968534906588004,0.792508390035363,0.19812709750884075,0.8096241657885493,0.20240604144713734,0.827660021986607,0.20691500549665176,0.8206682395068866,0.20516705987672165,0.9165109886409438,0.22912774716023596,0.8388097806209093,0.20970244515522732,0.8748928904099228,0.2187232226024807,0.011044073718337266,0.0027610184295843165,-0.006991782479720432,-0.001747945619930108,DEFINED,0.4342686481749736
class1,1044692,121742,82309,133582,0.8615121761375142,0.7519292423728957,0.7439596565548637,0.8082310501583285,0.10958293376699386,0.0642713936019264,0.08692716368416416,-0.11755251957996896,-0.08445674180984497,0.05630180778176063,-0.030625355898520237,-0.016700387001037598,0.4863671884235955,0.7394751435128724,0.8278215950387913,0.7816740523146933,0.6521464398750566,0.35612196283944736,0.9481709169106659,0.8339393570041839,0.7717865860375901,0.7515746512548271,0.8818320711011812,0.621317231408473,0.8635758825217744,0.7969253775500648,0.7813787501790543,0.7229222454042155,0.8398352549538932,0.8115806896808319,0.7677721938861826,0.6225027745671037,0.2894235350166746,0.9555820141175327,0.8167558797630154,0.7700243087611679,0.740705661633548,0.8093098519820604,0.6721014712850356,0.8371034826323609,0.7853702458758068,0.7339177092304603,0.5902400157710568,0.8775954026898638,0.755598779353149,0.18889969483828725,0.7933448327353899,0.19833620818384748,0.8014955604139785,0.20037389010349463,0.82443533596505,0.2061088339912625,0.8192768777783308,0.2048192194445827,0.8407272191229568,0.2101818047807392,0.8507560122983616,0.2126890030745904,0.858944071554104,0.214736017888526,0.01778131736435229,0.004445329341088072,-0.005158458186719228,-0.001289614546679807,DEFINED,0.407547424054139
class2,323515,74850,11749,101570,0.7900357550580858,0.6615687921182231,0.653672252298705,0.7569303347648987,0.1284669629372178,0.10325808246465079,0.11586252270267881,-0.13636350276212136,-0.12026351690292358,0.09536154264119234,-0.020500980067094297,-0.027459383010864258,0.4903607547758053,0.8496593432375336,0.31992072379218106,0.27545820587409536,0.4122524914782611,0.20692050768203074,0.6175844752744915,0.6785158099556562,0.5674210666753466,0.5774646077697427,0.8582231128924516,0.2967061026470338,0.5371673713131145,0.45143658967003714,0.5278452771858582,0.6308884435537743,0.42480211081794195,0.33593609439209227,0.2918171553699121,0.42612037306945727,0.17243820975283902,0.6798025363860755,0.6695748833042144,0.5609007463454062,0.5890230280403631,0.7995457581830328,0.3785002978976934,0.5219134555319395,0.4432162775782328,0.5284635853259558,0.5080293921175685,0.5488977785343433,0.4546775265443643,0.11366938163609107,0.6497256695980094,0.16243141739950234,0.6335007650340788,0.1583751912585197,0.6174891426981748,0.1543722856745437,0.6341035191567624,0.1585258797891906,0.49427383583450535,0.12356845895862634,0.661459283186251,0.16536482079656276,0.6201752623525957,0.15504381558814892,0.0006027541226836242,0.00015068853067090604,0.016614376458587654,0.0041535941146469135,DEFINED,0.21754455055626662
class3,145803,74336,418,46691,0.8657083726515565,0.5165318165161932,0.5080334841998091,0.7666701112307271,0.3491765561731999,0.2586366270179832,0.3039065916190977,-0.35767488845312706,-0.3889440894126892,0.2501382947117905,-0.053768296773986486,-0.05248147249221802,0.4772640930692251,0.8496727139463136,0.05169245113870655,0.07167241339580452,0.40857627310213857,0.006147761515281963,0.8110047846889952,0.9052716252031382,0.584859582748404,0.7419090056888984,0.9264017434352131,0.5574162679425837,0.5847058944309763,0.3408509823356585,0.5678179910382343,0.4538178002582867,0.6818181818181818,0.0625787836220693,0.08243900630793483,0.4218955970253776,0.006470619888075764,0.8373205741626795,0.8953585987174232,0.588905955748074,0.7799190459663815,0.8851969436074042,0.6746411483253588,0.5358167949947169,0.34432748431976185,0.5194433988593368,0.2254896685320706,0.8133971291866029,0.16992791643518995,0.04248197910879749,0.6768996522705294,0.16922491306763235,0.6544035445086864,0.1636008861271716,0.4946811793996008,0.1236702948499002,0.6446369416267155,0.16115923540667887,0.09895543987435101,0.024738859968587754,0.7324883575783763,0.18312208939459407,0.641461423976187,0.16036535599404675,-0.009766602881970954,-0.0024416507204927385,0.14995576222711465,0.03748894055677866,DEFINED,0.1540982202137457
