group,context,targets,different_from_both,correct_third_class,wrong_third_class,rescue_rate,rescue_precision,intrusion_rate,harm_rate,equals_shallow,equals_deep,accuracy,miou
Both_Wrong,ctx_S,393677,161462,132889,28573,0.3375584552818681,0.8230357607362723,0.41013826055370267,0.07257980527183452,0.5307650688254585,0.5075683872819595,0.3375584552818681,0.15081537027900313
Both_Wrong,ctx_D,393677,155388,132095,23293,0.33554157342186613,0.8500978196514531,0.3947093683400351,0.05916779491816895,0.4960183094262555,0.5742093137267353,0.33554157342186613,0.2029525210011548
Both_Wrong,ctx_sym,393677,154221,132298,21923,0.336057224577509,0.857846856135027,0.3917450092334579,0.05568778465594891,0.5179017316226247,0.5615466486485113,0.336057224577509,0.1864786505890526
Top20_Both_Wrong,ctx_S,93112,43557,35960,7597,0.38620156370822234,0.8255848658080217,0.4677914769310078,0.08158991322278546,0.3772016496262566,0.3106581321419366,0.38620156370822234,0.17720893157041312
Top20_Both_Wrong,ctx_D,93112,34954,30423,4531,0.32673554429074664,0.8703724895577044,0.3753973709081536,0.04866182661740699,0.28827648423404073,0.5558467222269955,0.32673554429074664,0.1883828378524973
Top20_Both_Wrong,ctx_sym,93112,38849,33684,5165,0.3617578829796374,0.8670493448994826,0.4172287138070281,0.05547083082739067,0.3170912449523155,0.46683563880058426,0.3617578829796374,0.19777196380201414
