group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
Shallow_Wrong,old,708407,314730,-0.17930659012592395,nan,1.0,314730,0,1.0,nan,1.0,0,0.261652845295968,nan,0.20738893925657298,0.261652845295968,nan,0
Shallow_Wrong,dsrc,708407,314730,0.13111440120647444,nan,1.0,314730,0,1.0,nan,1.0,0,0.8800495662949195,nan,0.46809912997627207,0.8800495662949195,nan,0
Top20_Shallow_Wrong,old,313673,220561,-0.24642565459169657,nan,1.0,220561,0,1.0,nan,1.0,0,0.22299499911589085,nan,0.18233516839978497,0.22299499911589085,nan,0
Top20_Shallow_Wrong,dsrc,313673,220561,0.26215404758938554,nan,1.0,220561,0,1.0,nan,1.0,0,0.8993113016353752,nan,0.4734933661801706,0.8993113016353752,nan,0
class0,old,965133,132225,-0.09226692655946181,0.8667098402958917,0.7736885563482216,43802,88423,0.3312686708262432,0.8259125212928503,0.7909462370763976,1654,0.8079410096426546,0.7368613581592712,0.7565946691525005,0.5262316789187709,0.9474910373997716,0
class0,dsrc,965133,132225,0.026117218903655762,0.7746308274812183,0.596464203020262,43802,88423,0.3312686708262432,0.7400464928889574,0.7262940449768793,1654,0.649362828512006,0.6958812983883729,0.6460333035909062,0.8337290534678782,0.5580335433088676,0
class1,old,1044692,204051,-0.11755251957996896,0.8278215950387913,0.8631794370542314,121742,82309,0.5966253534655552,0.7816740523146933,0.8387213049575234,2204,0.5949395004190129,0.6521464398750566,0.5828853527712112,0.35612196283944736,0.9481709169106659,0
class1,dsrc,1044692,204051,0.05630180778176063,0.8339393570041839,0.8496187208576045,121742,82309,0.5966253534655552,0.7717865860375901,0.8073110050042831,2204,0.7767469897231575,0.7515746512548271,0.7584103043720363,0.8818320711011812,0.621317231408473,0
class2,old,323515,86599,-0.13636350276212136,0.31992072379218106,0.801854901060016,74850,11749,0.8643286873982379,0.27545820587409536,0.7469853616365524,723,0.2626358272035474,0.4122524914782611,0.2559121136406147,0.20692050768203074,0.6175844752744915,0
class2,dsrc,323515,86599,0.09536154264119234,0.6785158099556562,0.9252871960305807,74850,11749,0.8643286873982379,0.5674210666753466,0.8115272600221886,723,0.7820413630642387,0.5774646077697427,0.5708228346635185,0.8582231128924516,0.2967061026470338,0
class3,old,145803,74754,-0.35767488845312706,0.05169245113870655,0.9796444550396655,74336,418,0.9944083259758675,0.07167241339580452,0.9618835297861983,107,0.010648259624903015,0.40857627310213857,0.010645794454491648,0.006147761515281963,0.8110047846889952,0
class3,dsrc,145803,74754,0.2501382947117905,0.9052716252031382,0.999401068843924,74336,418,0.9944083259758675,0.584859582748404,0.9755286385119931,107,0.9243384969366187,0.7419090056888984,0.5183364721859135,0.9264017434352131,0.5574162679425837,0
boundary,old,201144,51796,-0.16634848209109315,0.5285647821773048,0.5032507023476379,25404,26392,0.49046258398331916,0.5305319167922461,0.6108852620677525,1838,0.5115839060931346,0.5046105794262863,0.43156067830623396,0.13903322311447017,0.8701879357381025,0
boundary,dsrc,201144,51796,0.02563697137661057,0.5731548269387731,0.5383321759102331,25404,26392,0.49046258398331916,0.5654364227689838,0.6313633964396895,1838,0.5511236388910341,0.5536046491426645,0.5446199029672919,0.6836718626987875,0.4235374355865414,0
interior,old,2277999,445833,-0.12057149440875001,0.6521162559651945,0.7906368786739685,289326,156507,0.6489559992194387,0.7464410084439812,0.8423746862918438,3155,0.5052788824515009,0.6040865096969221,0.4936253475301637,0.27241934703414145,0.9357536723597027,0
interior,dsrc,2277999,445833,0.06417461916714479,0.8497719140907457,0.9001218040506784,289326,156507,0.6489559992194387,0.8101258253172925,0.8430601608953507,3155,0.7909553577236319,0.7458341490448022,0.7570335592643056,0.8972923276857248,0.5943759704038797,0
Q1,old,495830,726,-0.022376413525131776,0.7730417198808004,0.7561631763496173,348,378,0.4793388429752066,0.7865079365079365,0.9652144041696278,84,0.6887052341597796,0.6825852946542601,0.6787182881266987,0.5344827586206896,0.8306878306878307,0
Q1,dsrc,495830,726,-0.0009013553405241768,0.8013592410144135,0.78780719902592,348,378,0.4793388429752066,0.751984126984127,0.9564417495854062,84,0.7286501377410468,0.7317779602262361,0.728088336783989,0.8074712643678161,0.656084656084656,0
Q2,old,495828,8527,-0.0690765678712799,0.7819226037898207,0.7747721593564075,4105,4422,0.4814119854579571,0.7583519541170921,0.8966034549218825,1089,0.6893397443415035,0.6813001485761316,0.670084707140373,0.4650426309378806,0.8975576662143826,0
Q2,dsrc,495828,8527,0.007114434628722197,0.8052216219313134,0.7937662874236316,4105,4422,0.4814119854579571,0.7638829669089968,0.8935623368170834,1089,0.7076345725343028,0.7120716591992975,0.7050903988924353,0.8314250913520097,0.5927182270465853,0
