group,field,targets,mean,std,median,p05,p25,p50,p75,p95,ci95_low,ci95_high
all,B_S,2479143,0.12010250207781879,0.15047118652861935,0.11409273743629456,-0.10003119111061096,0.010339081287384033,0.11409273743629456,0.21275538206100464,0.37653953433036796,0.11715943318461731,0.12304392229404369
all,B_D,2479143,0.06523097164589665,0.1537257681162071,0.0647236704826355,-0.17766665816307067,-0.021474778652191162,0.0647236704826355,0.13948506116867065,0.3217847943305969,0.06248989748783891,0.0680616794120561
all,B_family,2479143,0.09266673686295016,0.10549348174100578,0.06089004874229431,0.0015426337718963627,0.022598400712013245,0.06089004874229431,0.12482506036758423,0.30040095746517176,0.09035649397052148,0.09505339649823633
hard_disagreement,B_S,587701,0.2787887320467808,0.1265886873749145,0.25894954800605774,0.10684150457382202,0.19498157501220703,0.25894954800605774,0.34172725677490234,0.5328037738800049,0.2740004285794319,0.28365940061161704
hard_disagreement,B_D,587701,0.10591321607157922,0.20569346854146975,0.07945990562438965,-0.17812222242355347,-0.04006749391555786,0.07945990562438965,0.21414989233016968,0.5359829664230347,0.09887559386328958,0.11317752657609813
hard_disagreement,B_family,587701,0.19235097406422566,0.14927422695166015,0.1622723639011383,0.008356809616088867,0.08597943186759949,0.1622723639011383,0.25864365696907043,0.5188289880752563,0.18654344775956233,0.19834000766817955
adjudication,B_S,497629,0.27514204026554545,0.12970961599799374,0.253055214881897,0.10177490711212159,0.18946510553359985,0.253055214881897,0.3371862769126892,0.5407922029495239,0.2698769079294799,0.280507370339584
adjudication,B_D,497629,0.11851099263262706,0.20552350361334093,0.09124898910522461,-0.16450358629226683,-0.02902740240097046,0.09124898910522461,0.2247357964515686,0.5477903127670287,0.11031744134164312,0.1269539890611238
adjudication,B_family,497629,0.19682651645857485,0.1534566405228003,0.1653662621974945,0.007616555690765381,0.08669762313365936,0.1653662621974945,0.26511090993881226,0.5302008867263794,0.19017667818350095,0.2037094990092777
Deep_Win,B_S,314730,0.3045271945986903,0.13551924120832062,0.2772565484046936,0.12660056352615356,0.21082846820354462,0.2772565484046936,0.3753898814320564,0.5799531698226928,0.2975133567496997,0.31146534648391105
Deep_Win,B_D,314730,0.167242406905481,0.21277777680070128,0.13611140847206116,-0.13713844716548917,0.019338950514793396,0.13611140847206116,0.2825393080711365,0.5814509719610214,0.15619149666297272,0.17825141055897428
