group,field,targets,mean,std,median,p05,p25,p50,p75,p95
all,T_SS,2479143,0.8616025669069378,0.09989810262255627,0.8878591060638428,0.6582486271858216,0.8233602941036224,0.8878591060638428,0.9312041997909546,0.9668606400489808
all,T_SD,2479143,0.7415000648320003,0.18458195056437743,0.7567439675331116,0.3979072481393814,0.6287561058998108,0.7567439675331116,0.894810140132904,0.9884083211421967
all,T_DS,2479143,0.7373169799999403,0.17471710200810636,0.7815711498260498,0.37491053640842437,0.6435750126838684,0.7815711498260498,0.8716642558574677,0.9415022075176239
all,T_DD,2479143,0.8025479516477118,0.19738098343242189,0.8586355447769165,0.40127778649330137,0.6865537464618683,0.8586355447769165,0.9748627245426178,0.9996390283107758
hard_disagreement,T_SS,587701,0.830055253573072,0.10649527217545476,0.8557837605476379,0.6154380440711975,0.7849058508872986,0.8557837605476379,0.9047358632087708,0.9502537846565247
hard_disagreement,T_SD,587701,0.5512665215368305,0.15338301029268098,0.5748909711837769,0.2575296461582184,0.462674081325531,0.5748909711837769,0.6583584547042847,0.7663975358009338
hard_disagreement,T_DS,587701,0.6079212323091283,0.19778217803874193,0.6405811905860901,0.24643737077713013,0.4600808024406433,0.6405811905860901,0.7693814039230347,0.878977358341217
hard_disagreement,T_DD,587701,0.7138344483823588,0.20691513734539588,0.7382193803787231,0.32255181670188904,0.5799710750579834,0.7382193803787231,0.8828698396682739,0.9956538081169128
adjudication,T_SS,497629,0.8323994324945069,0.10604987681240717,0.8580108284950256,0.6189244270324707,0.7880403399467468,0.8580108284950256,0.9066132307052612,0.9513278126716613
adjudication,T_SD,497629,0.5572573922451637,0.15511278605023185,0.582389235496521,0.259750509262085,0.4677850306034088,0.582389235496521,0.6654056310653687,0.7738155484199524
adjudication,T_DS,497629,0.6188090433171058,0.19388224150008512,0.6514304280281067,0.2696800589561462,0.47456464171409607,0.6514304280281067,0.7776309847831726,0.8823438048362732
adjudication,T_DD,497629,0.7373200359489843,0.19983413038991585,0.7636464834213257,0.35343353152275087,0.6125136017799377,0.7636464834213257,0.9039722681045532,0.9969615697860718
Deep_Win,T_SS,314730,0.8146487158684441,0.11371562680643997,0.8396482467651367,0.5864050447940826,0.7631043344736099,0.8396482467651367,0.8956227600574493,0.9488406240940094
Deep_Win,T_SD,314730,0.510121521289045,0.1493055313702732,0.5355522930622101,0.22310288846492768,0.4195452630519867,0.5355522930622101,0.6206085383892059,0.7115411698818207
Deep_Win,T_DS,314730,0.6446418129198147,0.18479434687426782,0.6812352240085602,0.31880232095718386,0.4987279549241066,0.6812352240085602,0.7972969263792038,0.8926378875970841
Deep_Win,T_DD,314730,0.8118842198207505,0.1651809617293372,0.8443123996257782,0.4889673009514809,0.7158261984586716,0.8443123996257782,0.9527183771133423,0.9990249663591385
Shallow_Win,T_SS,182899,0.8629446134070365,0.08290004649884565,0.881901741027832,0.7014308929443359,0.8322038948535919,0.881901741027832,0.9181328117847443,0.95437051653862
Shallow_Win,T_SD,182899,0.6383681291328408,0.1292279550135468,0.6540061235427856,0.3940061569213867,0.5742043256759644,0.6540061235427856,0.7226229310035706,0.8224431574344635
Shallow_Win,T_DS,182899,0.5743563804974045,0.20096719776323646,0.6030554175376892,0.1960359573364258,0.4399832636117935,0.6030554175376892,0.7345588207244873,0.8539820671081544
Shallow_Win,T_DD,182899,0.6090110479831617,0.18886324819944275,0.6311209201812744,0.26427516639232634,0.48226596415042877,0.6311209201812744,0.7461349070072174,0.8958350181579592
Both_Wrong,T_SS,393677,0.8057568533812105,0.1188520038889359,0.8377781510353088,0.5605709195137024,0.7525780200958252,0.8377781510353088,0.8903266787528992,0.9387866735458373
Both_Wrong,T_SD,393677,0.6161818495179329,0.16015057259165913,0.6339333057403564,0.3139101147651673,0.5275383591651917,0.6339333057403564,0.7200806736946106,0.8584576725959777
Both_Wrong,T_DS,393677,0.6190155120615197,0.1756864539663722,0.6423562169075012,0.27267217040061953,0.5142499208450317,0.6423562169075012,0.7492818832397461,0.8684578418731688
Both_Wrong,T_DD,393677,0.6108693357394751,0.20774450439689252,0.6258010864257812,0.24020328223705295,0.4683637022972107,0.6258010864257812,0.7618733048439026,0.9454842686653135
