group,targets,deep_win_count,shallow_win_count,both_wrong_count,T_SS_mean,T_SD_mean,T_DS_mean,T_DD_mean,B_S_mean,B_D_mean,B_family_mean,old_mean,old_median,dsrc_mean,sym_mean,sym_median,wD_sym_mean,bias_shrink,old_auroc,old_image_auroc,old_balanced_accuracy,old_deep_win_recall,old_shallow_win_recall,dsrc_auroc,dsrc_image_auroc,dsrc_balanced_accuracy,dsrc_deep_win_recall,dsrc_shallow_win_recall,sym_auroc,sym_image_auroc,sym_balanced_accuracy,sym_deep_win_recall,sym_shallow_win_recall,ctx_S_auroc,ctx_S_image_auroc,ctx_S_balanced_accuracy,ctx_S_deep_win_recall,ctx_S_shallow_win_recall,ctx_D_auroc,ctx_D_image_auroc,ctx_D_balanced_accuracy,ctx_D_deep_win_recall,ctx_D_shallow_win_recall,ctx_sym_auroc,ctx_sym_image_auroc,ctx_sym_balanced_accuracy,ctx_sym_deep_win_recall,ctx_sym_shallow_win_recall,shallow_accuracy,shallow_miou,deep_accuracy,deep_miou,fixed_average_accuracy,fixed_average_miou,anchor_old_accuracy,anchor_old_miou,anchor_sym_accuracy,anchor_sym_miou,ctx_S_accuracy,ctx_S_miou,ctx_D_accuracy,ctx_D_miou,ctx_sym_accuracy,ctx_sym_miou,anchor_sym_minus_fixed_average_accuracy,anchor_sym_minus_fixed_average_miou,anchor_sym_minus_anchor_old_accuracy,anchor_sym_minus_anchor_old_miou,pair_support
Deep_Win,314730,314730,0,0,0.8146487158684441,0.510121521289045,0.6446418129198147,0.8118842198207505,0.3045271945986903,0.167242406905481,0.23588480076418844,-0.1700069029558259,-0.14231762290000916,0.30176269851592535,0.06587789778654793,0.06175357103347778,0.5221766931105994,0.6124987117220024,nan,nan,nan,0.261652845295968,nan,nan,nan,nan,0.8800495662949195,nan,nan,nan,nan,0.6403139198678233,nan,nan,nan,nan,0.21496838560035586,nan,nan,nan,nan,0.8157627172497061,nan,nan,nan,nan,0.489222508181616,nan,0.0,0.0,1.0,1.0,0.9169573920503289,0.8418903450585404,0.8206558002097035,0.6866011547502373,0.9201792012200934,0.8478858877948626,0.5841165443395927,0.3830534483936971,0.897385060210339,0.8109859609531072,0.8570616083627236,0.7472429655019376,0.0032218091697645557,0.00599554273632219,0.09952340101038992,0.16128473304462532,DEFINED
Shallow_Win,182899,0,182899,0,0.8629446134070365,0.6383681291328408,0.5743563804974045,0.6090110479831617,0.22457648428508248,0.034654667479972756,0.1296155758875178,-0.2885882328798134,-0.26828283071517944,-0.029357081143782555,-0.1589726570678304,-0.14640122652053833,0.43234317577213427,0.4491367510975255,nan,nan,nan,nan,0.9262926533223255,nan,nan,nan,nan,0.5697242740528926,nan,nan,nan,nan,0.7909392615596587,nan,nan,nan,nan,0.9354671157305398,nan,nan,nan,nan,0.6342790283161746,nan,nan,nan,nan,0.8417377897090744,1.0,1.0,0.0,0.0,0.2259553086676253,0.09803527926794998,0.46097572977435636,0.1951911163966964,0.37286152466661926,0.15516535081453697,0.7231149432200286,0.328537977258725,0.4927911032865133,0.2163809646833989,0.6041695143221122,0.2687289979769063,0.14690621599899395,0.05713007154658699,-0.0881142051077371,-0.04002576558215942,DEFINED
Both_Wrong,393677,0,0,393677,0.8057568533812105,0.6161818495179329,0.6190155120615197,0.6108693357394751,0.18957500386140047,-0.008146176328419583,0.09071441376264382,-0.18674134131292489,-0.16191715002059937,-0.005312513782726048,-0.09602692750080477,-0.07963746786117554,0.45745577543747423,0.485775770467189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0033377616675599538,0.0011611051866417762,0.003916916660104603,0.001337213774646431,0.003650200545116936,0.0012675339358879222,0.3375584552818681,0.15081537027900313,0.33554157342186613,0.2029525210011548,0.336057224577509,0.1864786505890526,0.00031243887755698233,0.00010642874924614602,-0.00026671611498766713,-6.967983875850884e-05,DEFINED
Both_Correct,1587837,0,0,0,0.8846008340705015,0.8303123270269932,0.8037882569742997,0.8705138479809935,0.05428850704339441,0.06672559100511251,0.06050704902393908,-0.08081257709484573,-0.058315932750701904,0.040201520954200806,-0.020305528040580424,-0.012689948081970215,0.49232987416466795,0.7487331024714153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9372523754012534,0.7222843613749116,0.9537956351942927,0.8698144590026572,0.9593805913327376,0.8972536750545844,0.0,0.0,0.0,0.0,DEFINED
