group,estimator,targets,accuracy,miou,dice,nll,brier,iou_class0,iou_class1,iou_class2,iou_class3
all,shallow,2479143,0.7142532721993043,0.4363486817386499,0.5817299492959925,0.7848371842367721,0.4062494586450678,0.6261773260311272,0.5868296236822933,0.37557864312177486,0.1568091341194043
all,deep,2479143,0.767429309241137,0.5662856277940953,0.7173329225242939,1.7849332844531678,0.4095896352365379,0.694273268505836,0.630486511651967,0.5178261726448561,0.42255655837372197
all,fixed_average,2479143,0.7740868517870894,0.573520035544036,0.7235312365126652,0.6812924483897358,0.34149795408607586,0.6993988747249914,0.6409637927061812,0.5142909481460662,0.4394265265989048
all,anchor_old,2479143,0.7792918762653062,0.56908695657968,0.7184048030759485,0.6698779013971249,0.3348317503878732,0.7013353257715503,0.6512152429918908,0.5136758576178269,0.410121399937452
all,anchor_sym,2479143,0.7853834974424629,0.5931706913402506,0.7405183228140985,0.6596629256396159,0.3269900010684523,0.7088930476832324,0.654297157194087,0.5220203726935673,0.4874721877901157
all,ctx_S,2479143,0.7813946190276236,0.489692042270629,0.6142602017599895,0.6439726177343044,0.3363639825665609,0.7254256331190132,0.6699059783491638,0.46526886695006736,0.09816769066427167
all,ctx_D,2479143,0.8144475732138081,0.643650105847837,0.7805134988548161,0.5176574073649537,0.2702365078007881,0.7480424895725725,0.6880742965218408,0.5642862040049996,0.5741974332919348
all,ctx_sym,2479143,0.8212043435977675,0.6472309551401759,0.7826692046051809,0.5337117158448691,0.2788098459285263,0.7566390554601728,0.7003003856080253,0.5510857682778776,0.5808986112146282
hard_disagreement,shallow,587701,0.31121097292670935,0.1344965977371325,0.22393422074530975,1.3954454572422748,0.7827148121213594,0.2365010163688884,0.21836448821279056,0.0785865261130137,0.004534360253837392
hard_disagreement,deep,587701,0.535527419555182,0.3728211319963243,0.5370581772692382,2.6802282653444105,0.7608170327597384,0.23960002844436665,0.3515141365610274,0.4570294611509693,0.4431409018289339
hard_disagreement,fixed_average,587701,0.5636114282602889,0.4010113567284591,0.5694212700971695,1.0222303381842879,0.5689174498239973,0.304101674749695,0.3852241573581993,0.4451358732148453,0.46958372159109685
hard_disagreement,anchor_old,587701,0.5855681715702372,0.4153503503595657,0.5859825896194005,1.0014138130034678,0.5528570809608704,0.3531598006297338,0.43520172475583363,0.4389786851286524,0.43406119092404294
hard_disagreement,anchor_sym,587701,0.6112649119194965,0.45165507444734787,0.6192369746738459,0.9637166094037678,0.5229031225775578,0.35770620517963425,0.4378690391082162,0.46274000212156574,0.5483050513799755
