step,equivariance_scheduled,iteration_seconds,peak_memory_allocated_bytes,lr_group0
1,False,1.8558259150013328,3909641216,0.01
2,False,0.11572199399233796,4229570048,0.009999692569927526
3,False,0.11355484699015506,4228718080,0.00999938513880487
4,True,0.19427891899249516,6591479808,0.009999077706631991
5,False,0.1145307410042733,4308990464,0.00999877027340885
6,False,0.11312460401677527,4228324864,0.009998462839135405
7,False,0.11262147399247624,4228718080,0.009998155403811621
8,True,0.19642240199027583,6591479808,0.009997847967437457
9,False,0.12620610199519433,4308990464,0.009997540530012873
10,False,0.11320228999829851,4228324864,0.009997233091537829
11,False,0.11229181900853291,4228718080,0.009996925652012288
12,True,0.1936443639860954,6591479808,0.009996618211436208
13,False,0.11337689598440193,4308990464,0.009996310769809547
14,False,0.11361154401674867,4228324864,0.00999600332713227
15,False,0.11557678299141116,4228718080,0.009995695883404338
16,True,0.1972758150077425,6591479808,0.00999538843862571
17,False,0.11256889699143358,4308990464,0.009995080992796345
18,False,0.11383688499336131,4228324864,0.009994773545916203
19,False,0.11378734197933227,4228718080,0.009994466097985249
20,True,0.2033294689899776,6591479808,0.009994158649003439
21,False,0.11584130700794049,4308990464,0.009993851198970735
22,False,0.112879536987748,4228324864,0.009993543747887098
23,False,0.11241081199841574,4228718080,0.00999323629575249
24,True,0.19403881099424325,6591479808,0.009992928842566867
25,False,0.1131547609984409,4308990464,0.009992621388330193
26,False,0.1134465660143178,4228324864,0.009992313933042429
27,False,0.12501192197669297,4228718080,0.009992006476703532
28,True,0.1949799979920499,6591479808,0.009991699019313465
29,False,0.11249276500893757,4308990464,0.009991391560872188
30,False,0.11253601498901844,4228324864,0.00999108410137966
31,False,0.11290877099963836,4228718080,0.009990776640835844
32,True,0.19588627998018637,6591479808,0.0099904691792407
33,False,0.11375260699423961,4308990464,0.009990161716594188
34,False,0.11286294599995017,4228324864,0.009989854252896268
35,False,0.11236478501814418,4228718080,0.0099895467881469
36,True,0.19479961099568754,6591479808,0.009989239322346046
37,False,0.11337534297490492,4308990464,0.009988931855493665
