step,h_rms,semantic_rms,morphology_rms,reconstruction_rms,semantic_morphology_rms_ratio,reconstruction_cosine,residual_ratio,cross_covariance,eq_error_morphology,eq_error_semantic,semantic_student_response_rms,semantic_teacher_response_rms,semantic_response_rms_ratio,semantic_agreement,finite
0,0.8186295628547668,0.9192843437194824,0.703722357749939,0.8186295628547668,1.3063168074657578,1.0,0.0,0.015844818204641342,0.06257335841655731,0.04565878212451935,4.766129016876221,5.801452159881592,0.8215406911108056,0.8567123413085938,True
1,0.8172036409378052,0.9144861698150635,0.705536961555481,0.8164778351783752,1.2961562889598597,0.9999634027481079,0.008682413177954543,0.01613861694931984,0.0602448508143425,0.044802214950323105,4.734519958496094,5.831493854522705,0.811888013021458,0.8697887659072876,True
2,0.7935321927070618,0.8708178997039795,0.7056363821029663,0.7919809818267822,1.234088720181205,0.9998939633369446,0.014474264137821467,0.016226131469011307,0.061690449714660645,0.051483191549777985,4.332687854766846,5.199038028717041,0.8333633704608973,0.8425520062446594,True
4,0.7534732818603516,0.8296176195144653,0.6654454469680786,0.7510066628456116,1.24671018983321,0.9999235272407532,0.011581951352405416,0.013196399435400963,0.05725669488310814,0.04837723448872566,4.157501697540283,5.4795098304748535,0.7587360596411661,0.9352368712425232,True
8,0.6208754777908325,0.7340354323387146,0.4800790846347809,0.6200909614562988,1.5289885684055606,0.9996963739395142,0.024376870938759933,0.010862757451832294,0.10812494158744812,0.06421691924333572,3.97849178314209,4.890634059906006,0.8134920205454382,0.9477733969688416,True
16,0.6139528155326843,0.676686704158783,0.529666006565094,0.602454662322998,1.2775724622122662,0.9981346130371094,0.059487495120247244,0.010581737384200096,0.07910652458667755,0.06831029057502747,3.340372323989868,4.575644493103027,0.7300331852756824,0.9196353554725647,True
32,0.5546865463256836,0.5381122827529907,0.5682450532913208,0.5543333292007446,0.9469722255130149,0.9975272417068481,0.0692717305945305,0.009597106836736202,0.08137942850589752,0.09156113862991333,2.493182420730591,3.7572615146636963,0.6635637181494103,0.8490305542945862,True
64,0.631109893321991,0.7222627401351929,0.5189278721809387,0.6291057467460632,1.3918364744955614,0.9983708262443542,0.05707087146546668,0.012262153439223766,0.09554421156644821,0.06603718549013138,3.968724250793457,4.980254173278809,0.7968919080649661,0.9686165452003479,True
96,0.5598989725112915,0.6412733793258667,0.45744261145591736,0.5566478371620178,1.4018662959348351,0.998155415058136,0.060385835657693794,0.009742793627083302,0.09527517110109329,0.0731547549366951,3.4636096954345703,4.312671184539795,0.8031239914255992,0.9745434522628784,True
128,0.6731402277946472,0.7644395232200623,0.5638982653617859,0.6720837950706482,1.3556337555467697,0.9980936050415039,0.06121727839894836,0.012997581623494625,0.0811646357178688,0.06541046500205994,4.2720417976379395,5.547789573669434,0.7700439501009307,0.9869547486305237,True
