step,semantic_student_response_rms,semantic_teacher_response_rms,semantic_response_rms_ratio,semantic_agreement
0,4.766129016876221,5.801452159881592,0.8215406911108056,0.8567123413085938
1,4.734519958496094,5.831493854522705,0.811888013021458,0.8697887659072876
2,4.332687854766846,5.199038028717041,0.8333633704608973,0.8425520062446594
4,4.157501697540283,5.4795098304748535,0.7587360596411661,0.9352368712425232
8,3.97849178314209,4.890634059906006,0.8134920205454382,0.9477733969688416
16,3.340372323989868,4.575644493103027,0.7300331852756824,0.9196353554725647
32,2.493182420730591,3.7572615146636963,0.6635637181494103,0.8490305542945862
64,3.968724250793457,4.980254173278809,0.7968919080649661,0.9686165452003479
96,3.4636096954345703,4.312671184539795,0.8031239914255992,0.9745434522628784
128,4.2720417976379395,5.547789573669434,0.7700439501009307,0.9869547486305237
