loss,Top20_mean_G,Bottom80_mean_G,Top20_over_Bottom80,Q1_mean_G,Q2_mean_G,Q3_mean_G,Q4_mean_G,Q5_mean_G
U,0.0005667473836114064,0.00023687530735815891,2.392597987237547,3.537033074686995e-05,0.0001596780648292253,0.0002948780054283026,0.0004376543786475548,0.0005797647590840129
FA,0.001508416707420763,0.00026144565793985035,5.769522887879813,2.786960679775305e-06,4.773094689917246e-05,0.0002076370870291417,0.0006153870414534958,0.0016545610611667374
CCA,0.0013461074275563014,0.00025061254151171404,5.371269208781325,2.7947866525315947e-06,4.78917984182337e-05,0.00020700779205792068,0.0005974836953463434,0.0014704534032158162
