loss,stratum,targets,mean_G,rms,max_abs,finite
U,all,2479143,0.00030146889041860196,0.0002162902909887804,0.0012677806662395597,True
U,Top20,485451,0.0005667473836114064,0.0003146206380771591,0.0012675244361162186,True
U,Bottom80,1993692,0.00023687530735815891,0.00018458059679661386,0.0012677806662395597,True
U,Q1,495830,3.537033074686995e-05,6.423642726046266e-05,0.0012677806662395597,True
U,Q2,495828,0.0001596780648292253,0.00014334688239237787,0.0012607605895027518,True
U,Q3,495829,0.0002948780054283026,0.00020157147356207047,0.0012437242548912764,True
U,Q4,495828,0.0004376543786475548,0.0002598593398218701,0.0012502485187724233,True
U,Q5,495828,0.0005797647590840129,0.00031792302781537935,0.0012675244361162186,True
U,boundary,201144,0.00039587630604314057,0.00026134383068512977,0.0012499578297138214,True
U,interior,2277999,0.00029313285286617854,0.00021185226936672224,0.0012677806662395597,True
U,class0,965133,0.00025102863559245403,0.00019561926375083187,0.0012675244361162186,True
U,class1,1044692,0.00029602642738526185,0.000209749895459149,0.0012677806662395597,True
U,class2,323515,0.00038112498975326247,0.0002549813454714421,0.001265045371837914,True
U,class3,145803,0.0004976055205023263,0.00028748927137012606,0.0012607605895027518,True
U,Deep-Wrong,576576,0.0005431627290840741,0.0003318021783174617,0.0012677806662395597,True
U,Shallow-Wrong,708407,0.0005054861754831912,0.0003043732734741462,0.0012677806662395597,True
U,Both-Wrong,393677,0.00047053107303624583,0.0003098812968597426,0.0012677806662395597,True
U,Rect_Correct,2027414,0.00027233493788375747,0.00020137764612731968,0.0012677806662395597,True
U,Rect_Wrong,451729,0.0004322255680825956,0.00027337866930027586,0.0012607605895027518,True
FA,all,2479143,0.0005056200935982855,0.0005058470825898419,0.014579089358448982,True
FA,Top20,485451,0.001508416707420763,0.00098969502468731,0.014579089358448982,True
FA,Bottom80,1993692,0.00026144565793985035,0.0002822866356190413,0.010393641889095306,True
FA,Q1,495830,2.786960679775305e-06,5.602932859955775e-06,0.0003203358792234212,True
FA,Q2,495828,4.773094689917246e-05,4.580588039323063e-05,0.0013447431847453117,True
FA,Q3,495829,0.0002076370870291417,0.00015108719673389157,0.00270514702424407,True
FA,Q4,495828,0.0006153870414534958,0.00040206533937297255,0.00620100274682045,True
FA,Q5,495828,0.0016545610611667374,0.0010453680725880374,0.014579089358448982,True
FA,boundary,201144,0.0006500099840641165,0.0005731016832028897,0.011334731243550777,True
FA,interior,2277999,0.0004928706761806921,0.0004994736745452263,0.014579089358448982,True
FA,class0,965133,0.0004496204533352346,0.0005082754780740726,0.012993909418582916,True
FA,class1,1044692,0.0005070209375787762,0.000509662033730483,0.014579089358448982,True
FA,class2,323515,0.0005943899368890694,0.0004931405047109202,0.0075056604109704494,True
FA,class3,145803,0.0006693017356366051,0.0004898843680816849,0.009219875559210777,True
FA,Deep-Wrong,576576,0.0010199451574599884,0.0008182871958018027,0.014579089358448982,True
FA,Shallow-Wrong,708407,0.0009257339434934908,0.000692959495074606,0.013810770586133003,True
FA,Both-Wrong,393677,0.0006393471880254574,0.0005828992278553894,0.013810770586133003,True
FA,Rect_Correct,2027414,0.0004607857600509505,0.0004863320581618516,0.014579089358448982,True
FA,Rect_Wrong,451729,0.0007068419667003795,0.000585475915940747,0.009896859526634216,True
CCA,all,2479143,0.0004651258180452705,0.00044474114538834027,0.01453381683677435,True
CCA,Top20,485451,0.0013461074275563014,0.0008581006210146587,0.01453381683677435,True
CCA,Bottom80,1993692,0.00025061254151171404,0.00025819222320780215,0.010275306180119514,True
CCA,Q1,495830,2.7947866525315947e-06,5.593989698246057e-06,0.00031962047796696424,True
CCA,Q2,495828,4.78917984182337e-05,4.55272085533783e-05,0.0013426742516458035,True
CCA,Q3,495829,0.00020700779205792068,0.0001483457481320663,0.0026575697120279074,True
CCA,Q4,495828,0.0005974836953463434,0.00038184818634640977,0.005853313021361828,True
CCA,Q5,495828,0.0014704534032158162,0.0009050171635978535,0.01453381683677435,True
CCA,boundary,201144,0.0006120726077470184,0.0005230764127074583,0.013404923491179943,True
CCA,interior,2277999,0.0004521506301423044,0.00043715031579162264,0.01453381683677435,True
CCA,class0,965133,0.0004121041337974087,0.00044644833163595026,0.01453381683677435,True
CCA,class1,1044692,0.00045943867050513774,0.0004381684924835459,0.0135388458147645,True
CCA,class2,323515,0.0005570011019116919,0.0004531988719466789,0.007607339881360531,True
CCA,class3,145803,0.0006529906923012359,0.000460925193908466,0.009416880086064339,True
CCA,Deep-Wrong,576576,0.0009174662854615537,0.0007081662665924592,0.0135388458147645,True
CCA,Shallow-Wrong,708407,0.0008514464106530127,0.0006229558498285774,0.01453381683677435,True
CCA,Both-Wrong,393677,0.000601381900904775,0.0005342125516189272,0.0135388458147645,True
CCA,Rect_Correct,2027414,0.0004169018289386873,0.00041453867917050195,0.0135388458147645,True
CCA,Rect_Wrong,451729,0.0006815608723599903,0.0005605997137024355,0.01453381683677435,True
