loss,stratum,targets,images,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,gradient_norm,power
U,all,2479143,3416,0.17961085746163089,0.8203891425383691,0.0,-0.0001947693013847676,-0.0001265398459509015,0.00030146889041860196,SUFFICIENT
U,Top20,485451,3405,0.31244966021287424,0.6875503397871258,0.0,-0.0002779043220434438,-0.0004999082302674651,0.0005667473836114064,SUFFICIENT
U,Bottom80,1993692,3415,0.14726547530912498,0.8527345246908751,0.0,-0.00017452646602515587,-0.00010099461360368878,0.00023687530735815891,SUFFICIENT
U,Q1,495830,3403,0.0716273722848557,0.9283726277151443,0.0,-3.2240493500681316e-05,-7.602170626341831e-06,3.537033074686995e-05,SUFFICIENT
U,Q2,495828,3411,0.12304871850722428,0.8769512814927757,0.0,-0.00013353214073546856,-8.22508882265538e-05,0.0001596780648292253,SUFFICIENT
U,Q3,495829,3415,0.1682092011560437,0.8317907988439562,0.0,-0.00022567030168066252,-0.00020933894847985357,0.0002948780054283026,SUFFICIENT
U,Q4,495828,3413,0.22793993078244876,0.7720600692175512,0.0,-0.0002931662229643112,-0.0003706698480527848,0.0004376543786475548,SUFFICIENT
U,Q5,495828,3410,0.30722952314108926,0.6927704768589108,0.0,-0.0002892379413061357,-0.0005448946612887084,0.0005797647590840129,SUFFICIENT
U,boundary,201144,2151,0.4879539036710019,0.5120460963289981,0.0,2.1572027041486115e-05,-2.067641617031768e-06,0.00039587630604314057,SUFFICIENT
U,interior,2277999,3416,0.15238461474302667,0.8476153852569733,0.0,-0.0002138719261730008,-0.000136526272399351,0.00029313285286617854,SUFFICIENT
U,class0,965133,2018,0.11782832003464808,0.882171679965352,0.0,-0.00021714741681861977,-0.00010951948934234679,0.00025102863559245403,SUFFICIENT
U,class1,1044692,2676,0.1783444307030206,0.8216555692969794,0.0,-0.00016474018607857464,-0.0001385549403494224,0.00029602642738526185,SUFFICIENT
U,class2,323515,935,0.27926680370307405,0.720733196296926,0.0,-0.0002279604913226574,-0.00012165582302259281,0.00038112498975326247,SUFFICIENT
U,class3,145803,384,0.37652860366384777,0.6234713963361522,0.0,-0.0001881540124790595,-0.00034529584809206426,0.0004976055205023263,SUFFICIENT
U,Deep-Wrong,576576,3318,0.5080856643356644,0.4919143356643357,0.0,-0.00029285120560356657,2.241125685031875e-06,0.0005431627290840741,SUFFICIENT
U,Shallow-Wrong,708407,3407,0.48790455204423444,0.5120954479557656,0.0,-0.00016223495016631692,-3.0122133466647938e-05,0.0005054861754831912,SUFFICIENT
U,Both-Wrong,393677,3218,0.6453158299824475,0.3546841700175525,0.0,-0.00012799783564428717,8.593853999627754e-05,0.00047053107303624583,SUFFICIENT
U,Rect_Correct,2027414,3414,0.02610073719526451,0.9738992628047355,0.0,-0.00033599673971437404,-0.00020236271666362882,0.00027233493788375747,SUFFICIENT
U,Rect_Wrong,451729,2934,0.868582712201342,0.13141728779865805,0.0,0.000439076401799178,0.00034743716241791844,0.0004322255680825956,SUFFICIENT
FA,all,2479143,3416,0.17847699789806395,0.8215230021019361,0.0,-0.00033259982702774614,-5.113664155942388e-05,0.0005056200935982855,SUFFICIENT
FA,Top20,485451,3405,0.30810936634181413,0.6918906336581859,0.0,-0.0008541569705230272,-0.0007941824151203036,0.001508416707420763,SUFFICIENT
FA,Bottom80,1993692,3415,0.14691236158844997,0.85308763841155,0.0,-0.0002056040639575588,-3.2159867259906605e-05,0.00026144565793985035,SUFFICIENT
FA,Q1,495830,3403,0.07157291813726478,0.9284270818627353,0.0,-2.7879498564100195e-06,-2.786811421628954e-07,2.786960679775305e-06,SUFFICIENT
FA,Q2,495828,3411,0.12275426155844366,0.8772457384415564,0.0,-4.4465904312465096e-05,-2.277988642163109e-05,4.773094689917246e-05,SUFFICIENT
FA,Q3,495829,3415,0.16786432419241312,0.8321356758075868,0.0,-0.00017914251804313405,-0.0001432477292837575,0.0002076370870291417,SUFFICIENT
FA,Q4,495828,3413,0.22712513210226126,0.7728748678977387,0.0,-0.00046959542422743357,-0.00045484822476282716,0.0006153870414534958,SUFFICIENT
FA,Q5,495828,3410,0.3030688061182507,0.6969311938817493,0.0,-0.0009670089785442811,-0.0009921512100845575,0.0016545610611667374,SUFFICIENT
FA,boundary,201144,2151,0.4869595911386867,0.5130404088613133,0.0,2.330861203592337e-05,-2.5949713489126225e-08,0.0006500099840641165,SUFFICIENT
FA,interior,2277999,3416,0.15123843337947032,0.8487615666205297,0.0,-0.00036402602478596407,-5.889765452593565e-05,0.0004928706761806921,SUFFICIENT
FA,class0,965133,2018,0.11691549247616649,0.8830845075238335,0.0,-0.0004015191119530092,-4.0911683754529804e-05,0.0004496204533352346,SUFFICIENT
FA,class1,1044692,2676,0.17635437047474278,0.8236456295252572,0.0,-0.0003183564297305003,-6.0901176766492426e-05,0.0005070209375787762,SUFFICIENT
FA,class2,323515,935,0.2796346382702502,0.7203653617297497,0.0,-0.0002838791299629912,-3.599257252062671e-05,0.0005943899368890694,SUFFICIENT
FA,class3,145803,384,0.37673436074703537,0.6232656392529646,0.0,-8.655251183110809e-05,-0.00021257222397252917,0.0006693017356366051,SUFFICIENT
FA,Deep-Wrong,576576,3318,0.49966179653679654,0.5003382034632035,0.0,-0.0006888624408473639,-4.2934216182288765e-09,0.0010199451574599884,SUFFICIENT
FA,Shallow-Wrong,708407,3407,0.4806050758956363,0.5193949241043637,0.0,-0.0003395883688276441,-2.202589348598849e-05,0.0009257339434934908,SUFFICIENT
FA,Both-Wrong,393677,3218,0.6348503976610267,0.3651496023389733,0.0,-0.0001667242798510737,1.8573073248262517e-05,0.0006393471880254574,SUFFICIENT
FA,Rect_Correct,2027414,3414,0.027153802824682084,0.972846197175318,0.0,-0.0005731126969617908,-0.00011658860603347421,0.0004607857600509505,SUFFICIENT
FA,Rect_Wrong,451729,2934,0.8576336697444706,0.1423663302555293,0.0,0.0007468508163545948,0.00027678595506586134,0.0007068419667003795,SUFFICIENT
CCA,all,2479143,3416,0.17961085746163089,0.8203891425383691,0.0,-0.0002894912447622434,-5.164161484572105e-05,0.0004651258180452705,SUFFICIENT
CCA,Top20,485451,3405,0.31244966021287424,0.6875503397871258,0.0,-0.0006809434844218814,-0.0007766085909679532,0.0013461074275563014,SUFFICIENT
CCA,Bottom80,1993692,3415,0.14726547530912498,0.8527345246908751,0.0,-0.00019417517728792386,-3.277584619354457e-05,0.00025061254151171404,SUFFICIENT
CCA,Q1,495830,3403,0.0716273722848557,0.9283726277151443,0.0,-2.7955870297087686e-06,-2.8052292577740445e-07,2.7947866525315947e-06,SUFFICIENT
CCA,Q2,495828,3411,0.12304871850722428,0.8769512814927757,0.0,-4.4582961206922434e-05,-2.3279095330508426e-05,4.78917984182337e-05,SUFFICIENT
CCA,Q3,495829,3415,0.1682092011560437,0.8317907988439562,0.0,-0.00017803144334676787,-0.00014617446868214756,0.00020700779205792068,SUFFICIENT
CCA,Q4,495828,3413,0.22793993078244876,0.7720600692175512,0.0,-0.00045027256710532514,-0.00045807473361492157,0.0005974836953463434,SUFFICIENT
CCA,Q5,495828,3410,0.30722952314108926,0.6927704768589108,0.0,-0.0007717750463496863,-0.000953356153331697,0.0014704534032158162,SUFFICIENT
CCA,boundary,201144,2151,0.4879539036710019,0.5120460963289981,0.0,2.5796769649030534e-05,-2.0333992267751455e-08,0.0006120726077470184,SUFFICIENT
CCA,interior,2277999,3416,0.15238461474302667,0.8476153852569733,0.0,-0.00031733071807664843,-5.9437585150590166e-05,0.0004521506301423044,SUFFICIENT
CCA,class0,965133,2018,0.11782832003464808,0.882171679965352,0.0,-0.0003602749513608065,-4.1307393985334784e-05,0.0004121041337974087,SUFFICIENT
CCA,class1,1044692,2676,0.1783444307030206,0.8216555692969794,0.0,-0.0002557249417768656,-6.079203376430087e-05,0.00045943867050513774,SUFFICIENT
CCA,class2,323515,935,0.27926680370307405,0.720733196296926,0.0,-0.00026686024840313454,-3.7997870094841346e-05,0.0005570011019116919,SUFFICIENT
CCA,class3,145803,384,0.37652860366384777,0.6234713963361522,0.0,-0.00011309681038796113,-0.00023019610671326518,0.0006529906923012359,SUFFICIENT
CCA,Deep-Wrong,576576,3318,0.5080856643356644,0.4919143356643357,0.0,-0.0005923223684102629,2.4271923138030616e-08,0.0009174662854615537,SUFFICIENT
CCA,Shallow-Wrong,708407,3407,0.48790455204423444,0.5120954479557656,0.0,-0.0002547468225610887,-1.0124145774170756e-05,0.0008514464106530127,SUFFICIENT
CCA,Both-Wrong,393677,3218,0.6453158299824475,0.3546841700175525,0.0,-0.000146139189046688,2.3383674488286488e-05,0.000601381900904775,SUFFICIENT
CCA,Rect_Correct,2027414,3414,0.02610073719526451,0.9738992628047355,0.0,-0.0005191883939572721,-0.00011968411126872525,0.0004169018289386873,SUFFICIENT
CCA,Rect_Wrong,451729,2934,0.868582712201342,0.13141728779865805,0.0,0.000741417145086737,0.00029649323550984263,0.0006815608723599903,SUFFICIENT
