estimator,targets,accuracy,miou,dice,nll,brier,class0_iou,class1_iou,class2_iou,class3_iou,class0_dice,class1_dice,class2_dice,class3_dice
rect,2479143,0.8177882437600412,0.6378947428983854,0.7753121873355475,0.8406937072652404,0.30371638102639614,0.7498909397899333,0.6976348659269049,0.5722529719253359,0.5318001939513676,0.8570716297096257,0.8218903604409631,0.7279400734406898,0.6943466857509113
fixed,2479143,0.7740868517870894,0.573520035544036,0.7235312365126652,0.6812924483897358,0.34149795408607586,0.6993988747249914,0.6409637927061812,0.5142909481460662,0.4394265265989048,0.8231132609619658,0.781204065019791,0.6792498479578292,0.6105577721110745
teacher,2479143,0.7853834974424629,0.5931706913402506,0.7405183228140985,0.6596629256396159,0.3269900010684523,0.7088930476832324,0.654297157194087,0.5220203726935673,0.4874721877901157,0.8296517428569185,0.7910273608930865,0.6859571423078016,0.6554370451985871
