stratum,teacher,targets,mean,median,positive_fraction,negative_fraction
all,fixed,2479143,-0.12313412937894883,-0.07282634382762387,0.16397279221085673,0.8360259976935578
all,teacher,2479143,-0.11774502745615255,-0.07400889563612945,0.16516675318850102,0.8348320367159136
all,teacher-minus-fixed,2479143,0.005389101922796276,-1.1801719665527344e-05,0.4356481251787412,0.5589560586057359
Top20,fixed,485451,-0.20599558407271368,-0.276477268466896,0.2761535149788547,0.7238464850211452
Top20,teacher,485451,-0.18431303377786054,-0.2600472026266234,0.2814146020916632,0.7185853979083368
Top20,teacher-minus-fixed,485451,0.021682550294853224,0.012171685695648193,0.6607299191885484,0.33926184105089907
Bottom80,fixed,1993692,-0.1029579055477135,-0.05786022049366374,0.13665751781117644,0.8633409774428548
Bottom80,teacher,1993692,-0.10153615204466486,-0.059209292027852245,0.1368611600989521,0.8631373351550791
Bottom80,teacher-minus-fixed,1993692,0.0014217535030486843,-3.236532211303711e-05,0.3808421762238099,0.6124501678293337
Q1,fixed,495830,-0.018945860278968614,-0.006362091333721898,0.06930601214125809,0.9306879373978985
Q1,teacher,495830,-0.019005767495451006,-0.006410253888276374,0.06935441582800557,0.930639533711151
Q1,teacher-minus-fixed,495830,-5.990721648239943e-05,-2.1219253540039062e-05,0.11204041707843414,0.8610491499102515
Q2,fixed,495828,-0.0748784293811581,-0.045012847590192084,0.11613301386771219,0.8838669861322878
Q2,teacher,495828,-0.07529817474745942,-0.04594625874973279,0.11636091547875473,0.8836390845212453
Q2,teacher-minus-fixed,495828,-0.0004197453663013323,-0.0003434419631958008,0.28793452568229305,0.7120090031220504
Q3,fixed,495829,-0.12897715551928438,-0.108355824191542,0.15603161573849048,0.8439683842615096
Q3,teacher,495829,-0.129326528515689,-0.11048429707234786,0.15631397114731085,0.8436860288526892
Q3,teacher-minus-fixed,495829,-0.00034937299640459493,-0.0001633763313293457,0.47655139170964184,0.5234405409929633
Q4,fixed,495828,-0.17794204663176963,-0.19130746187192382,0.20739651653395935,0.7926034834660406
Q4,teacher,495828,-0.17482942142876387,-0.19155370234358238,0.20760828351767144,0.7923917164823285
Q4,teacher-minus-fixed,495828,0.0031126252030057133,0.0029616355895996094,0.6181478254556015,0.38185015771598213
Q5,fixed,495828,-0.21492756355890522,-0.29729988075356645,0.27099720064215815,0.7290027993578418
Q5,teacher,495828,-0.19026562001578903,-0.27455687205001433,0.27619658429939414,0.7238034157006058
