path,pooled_L2,L2_fraction,squared_energy_share,mean_per_image_L2,zero_gradient_images
context,208.23696707394782,0.6184795019542502,0.3825168943375774,3.287296019601509,0
semantic,8.209462029323563,0.024382721562619166,0.0005945171108002136,0.13087779732441687,0
head,264.44532119297594,0.7854225541398862,0.6168885885516224,4.192923393761485,0
