step,state,loss_total,loss_sshr,loss_sem,loss_eq,loss_orth,loss_rec,equivariance_scheduled,finite
0,start,0.40178585052490234,0.16958370804786682,1.157049536705017,0.06257335841655731,0.015844818204641342,0.0,False,True
1,training_pre_update,0.40178585052490234,0.16958370804786682,1.157049536705017,,0.015844818204641342,0.0,False,True
2,training_pre_update,0.3661200702190399,0.22407865524291992,0.705822765827179,,0.01453501358628273,0.0015010833740234375,False,True
