step,cross_covariance,semantic_rms,morphology_rms
0,0.015844818204641342,0.9192843437194824,0.703722357749939
1,0.014417575672268867,0.7493375539779663,0.6374488472938538
2,0.015338481403887272,0.7394002079963684,0.6602311134338379
