parameter,grad_nonzero,mean_grad_norm,end_update_norm,end_relative_update,measurable_update
p_sem.weight,True,0.6383252441883087,0.11877956241369247,0.00742372265085578,True
p_morph.weight,True,0.03232729434967041,0.005070057697594166,0.00031687860609963536,True
u_sem.weight,True,0.038701850920915604,0.006175455637276173,0.0003859659773297608,True
u_morph.weight,True,0.03458279836922884,0.005511225201189518,0.0003444515750743449,True
semantic_classifier.weight,True,0.38080431520938873,0.07254554331302643,0.02556457184255123,True
semantic_classifier.bias,True,0.029982044361531734,0.011195926927030087,11195926528.0,True
