step,h_rms,semantic_rms,morphology_rms,reconstruction_rms,semantic_morphology_rms_ratio,reconstruction_cosine,residual_ratio,cross_covariance,eq_error_morphology,eq_error_semantic,semantic_logit_mean,semantic_logit_std,semantic_probability_mean,finite
0,0.8186295628547668,0.9192843437194824,0.703722357749939,0.8186295628547668,1.3063168074657578,1.0,0.0,0.015844818204641342,0.06257335841655731,0.04565878212451935,0.7284164428710938,1.3232463598251343,0.6351480484008789,True
1,0.6976162791252136,0.7493375539779663,0.6374488472938538,0.6955069303512573,1.1755257808652968,0.9984278082847595,0.0565130759336613,0.014417575672268867,0.06215658783912659,0.05290134251117706,0.24125443398952484,0.8465503454208374,0.5541432499885559,True
2,0.7028167843818665,0.7394002079963684,0.6602311134338379,0.7006624341011047,1.1199111840544065,0.9969591498374939,0.07732331181370132,0.015338481403887272,0.062207963317632675,0.06013921648263931,-0.08173065632581711,0.7922605276107788,0.4852035641670227,True
