score,positive,negative,prevalence,auroc,auprc,image_auroc,eligible_images,nonempty_images,excluded_no_dual_label_images
q,88290,168626,0.34365317847078425,0.6094467468305328,0.47265394020021473,0.6164876107503775,2547,3250,871
delta_accept,88290,168626,0.34365317847078425,0.6218126394519216,0.45285350086634923,0.6194651862662568,2547,3250,871
