score,positive,negative,prevalence,auroc,auprc,image_auroc,eligible_images,nonempty_images,excluded_no_dual_label_images
teacher_maxconf_minus_rect_maxconf,88290,168626,0.34365317847078425,0.621862885725805,0.42036074469883067,0.6345299784212106,2547,3250,871
teacher_entropy_minus_rect_entropy,88290,168626,0.34365317847078425,0.36540727882590923,0.2636387883631572,0.3518094870289311,2547,3250,871
JS_teacher_rect,88290,168626,0.34365317847078425,0.3572664950300603,0.2676324810731394,0.34366343044801295,2547,3250,871
