metric,estimate,ci_low,ci_high,resamples,valid_resamples,seed
winner:all:image_auroc,0.6194651862662568,0.6089239650524488,0.630020311790116,10000,10000,42
gradient:all:image_auroc,0.52368436400221,0.5169215060210319,0.5305303279216113,10000,10000,42
winner:class0:image_auroc,0.5516669348725792,0.5298595668513509,0.5732728535712044,10000,10000,42
winner:class1:image_auroc,0.708263979402462,0.6928952552431416,0.7234701030955363,10000,10000,42
winner:class2:image_auroc,0.40395333916810977,0.37831636516250144,0.429693396103445,10000,10000,42
winner:class3:image_auroc,0.6654745985209054,0.6232952904605448,0.7072219985373224,10000,10000,42
delta-minus-q:image_auroc,0.0029775755158792895,-0.006820363666016279,0.01293019878202684,10000,10000,42
HA:all:mean_dm,-0.00023451145301277225,-0.0002438205214578088,-0.00022511817655534934,10000,10000,42
HA:Top20:mean_dm,-0.0004777687534691819,-0.0005123690226286297,-0.00044372537333667533,10000,10000,42
HA:class0:mean_dm,-0.00028442744639912287,-0.0002986110894892318,-0.0002705234098039077,10000,10000,42
HA:class1:mean_dm,-0.00017822393302175803,-0.00019399273112747132,-0.00016227050533229828,10000,10000,42
HA:class2:mean_dm,-0.00030343972656369806,-0.0003304625271949438,-0.00027582904243432554,10000,10000,42
HA:class3:mean_dm,-0.00015445973234636752,-0.0002057903550030995,-9.940203918270314e-05,10000,10000,42
HA:Rect_Correct:harm_rate,0.8432559901431084,0.8412664532983904,0.8452679445912037,10000,10000,42
HA:Rect_Wrong:benefit_rate,0.7337408047745441,0.7282123517147723,0.7391998633352964,10000,10000,42
HA:all:active_fraction,0.8382445062668834,0.836472138947684,0.8400687740900382,10000,10000,42
HA-CCA:all:mean_dm,5.49797917494711e-05,5.171889114874352e-05,5.82920665208481e-05,10000,10000,42
HA-CCA:all:harm_rate,-0.12430545555460093,-0.12634061479193415,-0.12226071252360346,10000,10000,42
HA-CCA:Top20:mean_dm,0.00020317473095269974,0.0001880955861258108,0.00021919226226701344,10000,10000,42
HA-CCA:Top20:harm_rate,-0.1916485906919545,-0.1986309118925155,-0.18486898219804498,10000,10000,42
HA-CCA:Rect_Correct:mean_dm,6.135804534782514e-05,5.806180080270261e-05,6.46906095477573e-05,10000,10000,42
HA-CCA:Rect_Correct:harm_rate,-0.1306432726616271,-0.1327992768218354,-0.1284709690417677,10000,10000,42
HA-CCA:Rect_Wrong:mean_dm,2.6353423637498365e-05,1.9411041717480728e-05,3.349000056967094e-05,10000,10000,42
HA-CCA:Rect_Wrong:harm_rate,-0.0958605712717138,-0.09940996858099807,-0.09245594671825458,10000,10000,42
Accepted:teacher-rect_accuracy_delta,-0.012850026562367669,-0.015128697058156065,-0.010563169952414358,10000,10000,42
Accepted:NetRepair_rate,-0.012850026562367669,-0.015128697058156065,-0.010563169952414358,10000,10000,42
Accepted:NetRepair_count,-26704.0,-31438.175000000017,-21953.875000000015,10000,10000,42
winner:Teacher-Win_recall,0.6991392003624419,0.6867690767533574,0.7110034772806764,10000,10000,42
winner:Rect-Win_recall,0.47557909219218863,0.46422420303504836,0.4870304576176321,10000,10000,42
winner:zero-sign_BA,0.5873591462773153,0.579101582043145,0.595715420929621,10000,10000,42
