stratum,targets,acceptance_rate,mean_delta,teacher_rect_accuracy_delta,HA_mean_dm,definition
Corrected_by_CH,305318,0.631521888653797,0.015022710066391371,-0.23727719951001905,-0.0007651089039090578,"frozen raw -> FULL HFRM transition, not isolated CH"
Still_Wrong,378130,0.7986406791315156,0.050525654491752475,0.12029989686086795,0.0007159788687465785,"frozen raw -> FULL HFRM transition, not isolated CH"
Harmed_by_CH,69617,0.6273754973641495,0.014733995221558337,0.28728615137107316,0.0006816894549046499,"frozen raw -> FULL HFRM transition, not isolated CH"
Stable_Correct,1726078,0.8919915554221768,0.031008226136422998,-0.042512563163425984,-0.0003858320256987104,"frozen raw -> FULL HFRM transition, not isolated CH"
