stratum,loss,targets,active_fraction,zero_rate,mean_gradient_norm
all,U,2479143,1.0,0.0,0.00030146889041860196
all,CCA,2479143,1.0,0.0,0.0004651258180452705
all,HA,2479143,0.8382445062668834,0.16175549373311665,0.0004170846881820066
all,SA,2479143,0.8382445062668834,0.16175549373311665,0.000518772918696003
Top20,U,485451,1.0,0.0,0.0005667473836114064
Top20,CCA,485451,1.0,0.0,0.0013461074275563014
Top20,HA,485451,0.7418833208706955,0.2581166791293045,0.001191763917203727
Top20,SA,485451,0.7418833208706955,0.2581166791293045,0.00164428731650226
Bottom80,U,1993692,1.0,0.0,0.00023687530735815891
Bottom80,CCA,1993692,1.0,0.0,0.00025061254151171404
Bottom80,HA,1993692,0.8617078264847329,0.13829217351526715,0.00022845534803928502
Bottom80,SA,1993692,0.8617078264847329,0.13829217351526715,0.000244717502950017
Q1,U,495830,1.0,0.0,3.537033074686995e-05
Q1,CCA,495830,1.0,0.0,2.7947866525315947e-06
Q1,HA,495830,0.9704071960147631,0.029592803985236876,3.1950735400508074e-06
Q1,SA,495830,0.9704071960147631,0.029592803985236876,2.923651330407331e-06
Q2,U,495828,1.0,0.0,0.0001596780648292253
Q2,CCA,495828,1.0,0.0,4.78917984182337e-05
Q2,HA,495828,0.9097106254588284,0.09028937454117153,5.305351830460029e-05
Q2,SA,495828,0.9097106254588284,0.09028937454117153,5.463945986094229e-05
Q3,U,495829,1.0,0.0,0.0002948780054283026
Q3,CCA,495829,1.0,0.0,0.00020700779205792068
Q3,HA,495829,0.8326277809486738,0.16737221905132615,0.00020944461926138372
Q3,SA,495829,0.8326277809486738,0.16737221905132615,0.00021409995360551542
Q4,U,495828,1.0,0.0,0.0004376543786475548
Q4,CCA,495828,1.0,0.0,0.0005974836953463434
Q4,HA,495828,0.748515614285599,0.25148438571440096,0.0005232248832765251
Q4,SA,495828,0.748515614285599,0.25148438571440096,0.0005180974764215905
Q5,U,495828,1.0,0.0,0.0005797647590840129
Q5,CCA,495828,1.0,0.0,0.0014704534032158162
Q5,HA,495828,0.729960792855587,0.270039207144413,0.0012965074347905366
Q5,SA,495828,0.729960792855587,0.270039207144413,0.0018041067474935737
Rect_Correct,U,2027414,1.0,0.0,0.00027233493788375747
Rect_Correct,CCA,2027414,1.0,0.0,0.0004169018289386873
Rect_Correct,HA,2027414,0.8536066141399833,0.14639338586001674,0.00036449686708738433
Rect_Correct,SA,2027414,0.8536066141399833,0.14639338586001674,0.00039978530002643403
Rect_Wrong,U,451729,1.0,0.0,0.0004322255680825956
Rect_Wrong,CCA,451729,1.0,0.0,0.0006815608723599903
Rect_Wrong,HA,451729,0.7692975213014883,0.2307024786985117,0.0006531051445103202
Rect_Wrong,SA,451729,0.7692975213014883,0.2307024786985117,0.0010528036404724322
Teacher-Win,U,88290,1.0,0.0,0.0008153202160892333
Teacher-Win,CCA,88290,1.0,0.0,0.0014851377083845171
Teacher-Win,HA,88290,0.6991392003624419,0.3008607996375581,0.0014424590097627127
Teacher-Win,SA,88290,0.6991392003624419,0.3008607996375581,0.003097445654791852
Rect-Win,U,168626,1.0,0.0,0.0009396065116559126
Rect-Win,CCA,168626,1.0,0.0,0.0015483713190397096
Rect-Win,HA,168626,0.5244209078078114,0.47557909219218863,0.0010682095527015712
Rect-Win,SA,168626,0.5244209078078114,0.47557909219218863,0.0015303661847336915
class0,U,965133,1.0,0.0,0.00025102863559245403
