stratum,quantity,count,mean,std,median,min,max
all,R_S,2479143,0.7780817083483099,0.12201351592803786,0.7983154058456421,0.16534702479839325,0.9978228211402893
all,R_D,2479143,0.8169378459796435,0.17360588624620676,0.8586686253547668,0.0027755380142480135,1.0
all,T_S,2479143,0.8553110664996576,0.09685216870349592,0.8763958811759949,0.13681328296661377,0.9988170862197876
all,T_D,2479143,0.8028273341017823,0.1499103269132802,0.8230010867118835,0.02540389634668827,0.9999984502792358
all,S_R,2479143,0.7975097771529998,0.1269012891903661,0.8111727237701416,0.11223627626895905,0.9989097714424133
all,S_T,2479143,0.829069200318121,0.11244103163378717,0.8454757928848267,0.09940437972545624,0.9987704753875732
all,delta,2479143,0.03155942316496499,0.0708961072248461,0.022327721118927002,-0.8131639957427979,0.7804721593856812
Top20,R_S,485451,0.7193679070796543,0.13753347120235543,0.7575733661651611,0.16988550126552582,0.9843111038208008
Top20,R_D,485451,0.7399283746031614,0.18963888081561284,0.752522349357605,0.0027755380142480135,1.0
Top20,T_S,485451,0.8383225743305246,0.07000038176159472,0.84833163022995,0.14854833483695984,0.9809749722480774
Top20,T_D,485451,0.7250490754452142,0.10780746970107397,0.7436723709106445,0.03552904725074768,0.9883663058280945
Top20,S_R,485451,0.7296481408286747,0.11176792747063306,0.7359471321105957,0.11223627626895905,0.9894997477531433
Top20,S_T,485451,0.7816858249378532,0.07969058717537583,0.793387770652771,0.10570432245731354,0.9666344523429871
Top20,delta,485451,0.052037684109700326,0.0962019902237256,0.04234445095062256,-0.7206310033798218,0.7348443865776062
Bottom80,R_S,1993692,0.7923781360511196,0.11341376678172094,0.8091766238212585,0.16534702479839325,0.9978228211402893
Bottom80,R_D,1993692,0.8356891500372334,0.16408925107358138,0.8842607736587524,0.016491618007421494,1.0
Bottom80,T_S,1993692,0.8594476535512171,0.10190131519983314,0.8864941000938416,0.13681328296661377,0.9988170862197876
Bottom80,T_D,1993692,0.8217658328483739,0.1525893174495524,0.859219491481781,0.02540389634668827,0.9999984502792358
Bottom80,S_R,1993692,0.8140336430336272,0.12485603181219179,0.8360253572463989,0.1144041195511818,0.9989097714424133
Bottom80,S_T,1993692,0.8406067432092629,0.11616944667615657,0.8680837750434875,0.09940437972545624,0.9987704753875732
Bottom80,delta,1993692,0.02657310017531428,0.06220655433513849,0.02009415626525879,-0.8131639957427979,0.7804721593856812
Q1,R_S,495830,0.8226447785529734,0.12448910807955642,0.8574542999267578,0.16534702479839325,0.9969755411148071
Q1,R_D,495830,0.8754121741625832,0.16652153764555638,0.9542139768600464,0.016491618007421494,1.0
Q1,T_S,495830,0.841739072124128,0.12490960342942498,0.8802672624588013,0.13681328296661377,0.9988170862197876
Q1,T_D,495830,0.875348764965833,0.1678223493333285,0.9537999033927917,0.02540389634668827,0.9999984502792358
Q1,S_R,495830,0.8490284763884999,0.1367807683684119,0.8998157978057861,0.11581560969352722,0.9984681010246277
Q1,S_T,495830,0.8585439185767935,0.13771619831750892,0.9103755950927734,0.09940437972545624,0.9987704753875732
Q1,delta,495830,0.009515442186971234,0.03611520773178438,0.006678074598312378,-0.8131639957427979,0.3927696645259857
Q2,R_S,495828,0.795133126942591,0.1145845377825205,0.8156529068946838,0.17302535474300385,0.996772050857544
Q2,R_D,495828,0.8394205377602196,0.16616801148230811,0.895100474357605,0.018050100654363632,1.0
Q2,T_S,495828,0.8541225445283148,0.11146642082921819,0.8875809907913208,0.1713414043188095,0.9962171912193298
Q2,T_D,495828,0.8338663802169809,0.16177361586815076,0.8893188238143921,0.03857532516121864,0.9925130009651184
Q2,S_R,495828,0.8172768323574064,0.12863125509459575,0.8478124737739563,0.11223627626895905,0.9983813762664795
Q2,S_T,495828,0.843994462388298,0.12646412498057363,0.8815408945083618,0.1633874773979187,0.9923170208930969
Q2,delta,495828,0.026717630030906523,0.05996621642479612,0.025374948978424072,-0.7364392280578613,0.46831846237182617
Q3,R_S,495829,0.7809893287858087,0.10493838619695074,0.7948516011238098,0.21479831635951996,0.9978228211402893
Q3,R_D,495829,0.8238301869954754,0.15809354507740217,0.8573564887046814,0.04443085938692093,1.0
Q3,T_S,495829,0.8677644342503049,0.09154843832961615,0.8919488191604614,0.2560881972312927,0.9923447966575623
Q3,T_D,495829,0.805876804019405,0.14180050327608926,0.841060221195221,0.05963673070073128,0.9792847037315369
Q3,S_R,495829,0.8024097578142473,0.11619335562357,0.8166635036468506,0.15776987373828888,0.9989097714424133
Q3,S_T,495829,0.8368206191745288,0.10721463716915233,0.8606588840484619,0.1983417272567749,0.9807568788528442
Q3,delta,495829,0.034410861360581954,0.06813079000814055,0.03591066598892212,-0.7206310033798218,0.47593051195144653
Q4,R_S,495828,0.7662138112727362,0.10654069226712978,0.7835533618927002,0.2016158103942871,0.9967498779296875
Q4,R_D,495828,0.8035646307113845,0.15633113466146178,0.8184331655502319,0.03420832008123398,1.0
Q4,T_S,495828,0.8687726297433848,0.075023387158347,0.8836351633071899,0.17903746664524078,0.9888715744018555
Q4,T_D,495828,0.7712633491357689,0.12067555323951581,0.7918140888214111,0.061352603137493134,0.9521848559379578
Q4,S_R,495828,0.7848892209843705,0.10818524758395581,0.7920459508895874,0.1628882884979248,0.9982625246047974
Q4,S_T,495828,0.8200179893930283,0.08931383087295339,0.8331454396247864,0.1562265157699585,0.9636166095733643
Q4,delta,495828,0.03512876840856762,0.07424217032981033,0.033251821994781494,-0.6858330965042114,0.5033950805664062
Q5,R_S,495828,0.725427310571136,0.13508495249934355,0.7621349096298218,0.1691502034664154,0.9895861148834229
Q5,R_D,495828,0.7424614505025122,0.1903234154943944,0.7559243440628052,0.0027755380142480135,1.0
Q5,T_S,495828,0.8441566814806172,0.06495043970389044,0.8520628213882446,0.194011852145195,0.9834174513816833
Q5,T_D,495828,0.727781073494101,0.10247033516463924,0.7457391023635864,0.06921669840812683,0.9581902623176575
Q5,S_R,495828,0.7339443805293011,0.11309724652329697,0.7395781874656677,0.11324432492256165,0.9935644865036011
Q5,S_T,495828,0.7859688775337761,0.07545108987823074,0.7960550785064697,0.1577259600162506,0.9446073770523071
Q5,delta,495828,0.05202449700479053,0.0955420008962869,0.03965085744857788,-0.7129964828491211,0.7804721593856812
Rect_Correct,R_S,2027414,0.7891232135032947,0.12032391094445316,0.8104729652404785,0.21399544179439545,0.9978228211402893
Rect_Correct,R_D,2027414,0.8520174959775516,0.15259787736840563,0.9020137190818787,0.009465067647397518,1.0
Rect_Correct,T_S,2027414,0.8674935053333817,0.08948197627887614,0.8878389000892639,0.16665373742580414,0.9988170862197876
Rect_Correct,T_D,2027414,0.8309751777572351,0.13595364702097298,0.8550825119018555,0.029423387721180916,0.9999984502792358
Rect_Correct,S_R,2027414,0.8205703547312363,0.11660518341037841,0.8408206105232239,0.15930253267288208,0.9989097714424133
