stratum,Teacher_Win,Rect_Win,eligible_images,image_auroc,balanced_accuracy,acceptance_rate,accepted_accuracy_delta,HA_benefit_rate,HA_harm_rate,HA_mean_dm,power
class0,15861,72985,1011,0.5516669348725792,0.530857156202314,0.8340581039089949,-0.03634016872531762,0.08997101953823981,0.7440870843707551,-0.00028442744639912287,SUFFICIENT
class1,47261,58098,1589,0.708263979402462,0.658333319912688,0.8365039648049377,0.01184246511856769,0.14391035826827428,0.6925936065366635,-0.00017822393302175792,SUFFICIENT
class2,12741,30816,645,0.40395333916810977,0.43364245753095276,0.8330772916248087,-0.05103649916701606,0.2144320974297946,0.6186451941950142,-0.00030343972656369806,SUFFICIENT
class3,12427,6727,215,0.6654745985209054,0.5866950010508224,0.8898925262168816,0.04589630748599219,0.3147328930131753,0.5751596332037063,-0.00015445973234636752,SUFFICIENT
