epoch,step,loss,loss_deep,loss_pca,loss_mask,loss_pca_stage1,loss_pca_stage2,loss_pca_stage3,loss_mask_stage1,loss_mask_stage2,loss_mask_stage3,lr,gradient_tensors,gradient_norm
1,100,0.5503937119245529,0.4693047514557838,0.5473416948318481,0.7156236451864243,0.5522100028395652,0.5445922592282295,0.5470440140366555,0.6759154653549194,0.7038828271627426,0.738551382124424,0.009969559322186503,143,3.57779598236084
1,200,0.5010524225234986,0.42179283022880554,0.477948494553566,0.6826755324006081,0.48317739330232146,0.47933443866670133,0.47502535216510294,0.6160507416725158,0.6854672411084175,0.707650399953127,0.009938800674687083,143,2.439511775970459
1,300,0.46919340451558433,0.3942851042747498,0.440447142769893,0.6477562646071117,0.44516805067658427,0.4421191395322482,0.43755556697646775,0.5688747653365135,0.6573975898822149,0.6735240476330121,0.009908031446639737,143,3.0007150173187256
1,400,0.44523804500699043,0.37672814916819336,0.41628687392920255,0.6112090066820383,0.42148314490914346,0.41767429761588576,0.413375896923244,0.5235786490887403,0.6256933851540089,0.6375705038756132,0.00987725159787102,143,5.322925090789795
1,500,0.4283847507238388,0.36510412821173666,0.40015065267682076,0.5831800916790962,0.40506103736162186,0.4016762536466122,0.39727112436294554,0.4881613183915615,0.6014007437825203,0.6102551916241645,0.009846461087915275,143,2.256452798843384
1,600,0.4148752617339293,0.35609223579367,0.3867269418636958,0.5605896314481894,0.39246510754028957,0.3879172568271558,0.38371747304995857,0.4588536020865043,0.5823504623770713,0.588227527141571,0.00981565987601148,143,2.9401068687438965
1,700,0.40364878364971707,0.34858552187681197,0.3753035807609558,0.5421205084238734,0.3808280100779874,0.3768268261211259,0.37217984878591126,0.43399448454380035,0.5668587522421564,0.5705279544421604,0.009784847921100064,143,3.0227785110473633
1,800,0.39358565643429755,0.3413897793367505,0.36578312892466786,0.5257799359038472,0.3714194830879569,0.36762716233730314,0.36242215456441046,0.41245799655094745,0.5529578544571996,0.5548019439727068,0.009754025181819658,143,1.701555609703064
1,900,0.3850096060335636,0.3352435604731242,0.35796928574641546,0.5115820155872239,0.3636886000798808,0.3594347863727146,0.35480224726928605,0.3947156703637706,0.5404920983976788,0.5409824877646234,0.009723191616503814,143,1.493038296699524
1,1000,0.3774058172404766,0.32991153706610205,0.3515317579358816,0.49826843485236166,0.3574396534413099,0.35303378306329253,0.3482673726975918,0.3779770367443562,0.5290573524832726,0.527911627560854,0.00969234718317767,143,2.3050622940063477
1,1100,0.3706687148457224,0.3255292248590426,0.3458298418467695,0.48578656584024427,0.3518173612789674,0.3473744474757801,0.342508059062741,0.36270240734246645,0.5182406058365648,0.5155477894436229,0.009661491839554568,143,2.220942258834839
2,1200,0.2836028841035119,0.26272251020217763,0.2710224924416378,0.3379440287063862,0.27687026149240035,0.2710880498433935,0.2686440405146829,0.18659415404344426,0.3869811090929755,0.36906172283764543,0.009630625543032624,143,1.9696276187896729
2,1300,0.2877748055282489,0.2725547710361407,0.28061832857224367,0.3253713508909063,0.2885664249806441,0.28089374985343724,0.27727383236552394,0.17438356682311656,0.37215641695399615,0.3576954189659089,0.009599748250691247,143,3.6494088172912598
2,1400,0.2851965782033304,0.2702058003198632,0.2787491927110472,0.32162551855155996,0.28639361906520144,0.27910298271731,0.275479141476373,0.17371401366448297,0.3683279023940907,0.3527686828869399,0.009568859919287602,143,3.175741672515869
2,1500,0.28500028235390557,0.27146930254339086,0.27994125755362237,0.31712126682051045,0.2870842299019312,0.2802663377987215,0.27688901284907724,0.16736986877617502,0.3655475804689807,0.3479660275678142,0.009537960505253035,143,2.121958017349243
2,1600,0.28416548172632855,0.2732060570052732,0.2805187794225755,0.3097310336458655,0.28734449729635997,0.2811835860803133,0.2773896003867085,0.16136260155267093,0.3584434811399255,0.3398509287820274,0.009507049964689426,143,1.4341331720352173
2,1700,0.28293941008008044,0.2732812071708515,0.28061228413099604,0.3045829426645106,0.2874794650280633,0.28123423964179534,0.2774922305221594,0.1574627146800885,0.35334050556775076,0.33417648738971956,0.009476128253365504,143,1.7323870658874512
2,1800,0.27979057342619507,0.27070476666732507,0.27739263684836785,0.3003601246115134,0.2843069514594321,0.27793806334083904,0.27429964734516765,0.15308377599204478,0.34908745060001156,0.33003425991402524,0.009445195326713098,143,1.6608433723449707
2,1900,0.27709105353296537,0.2684370678924893,0.2753172193657714,0.29617286055503395,0.2822750875386518,0.2757202002982544,0.2722922758862315,0.14948471048936268,0.3447642512568394,0.3256932777877698,0.00941425113982334,143,2.5028889179229736
2,2000,0.27572201541091335,0.26764972953730237,0.2748265575765844,0.29276204634057884,0.28173099410584235,0.2749622844528088,0.2719833385761023,0.14579352266879794,0.34164549644016384,0.3222193772420377,0.009383295647442802,143,3.0491087436676025
2,2100,0.2730116920848452,0.26463482966816976,0.27212515746045807,0.29065195362778345,0.27910029609859055,0.27218176427711327,0.2693011294027833,0.14229899364151663,0.3402869939900317,0.32021210484599655,0.009352328803969578,143,1.6064884662628174
2,2200,0.2716938938992596,0.2637580146956954,0.27143149344346496,0.28782805491988234,0.27822801355630944,0.27144824350714336,0.2687028268147604,0.1392069491870028,0.3377058066507354,0.3173498377797671,0.009321350563449314,143,3.1112542152404785
2,2300,0.2704415632307899,0.2628807827724726,0.270681130585151,0.2853235584560805,0.2775544207757611,0.2707864558860409,0.26786861089582037,0.1363686870113741,0.3356117979813931,0.31473255509871945,0.009290360879571167,143,2.6743881702423096
3,2400,0.24916771054267883,0.24709140201067104,0.25425286179986495,0.2482351694127609,0.2596446345078534,0.25686569460507097,0.2505284409070837,0.1035802249379199,0.29562715004230367,0.2776619517083826,0.009259359705663705,143,1.372920036315918
3,2500,0.25173788357384597,0.24829132751196245,0.25695503465359726,0.25341384480648405,0.2628024764641931,0.25749089182177676,0.2542945326694959,0.1049025367143788,0.3051921506471272,0.2817513760697993,0.009228346994690753,143,1.7900193929672241
3,2600,0.2505371807388557,0.2472604569769645,0.25673966612233673,0.2508881414352461,0.2630600218278493,0.25731660385233485,0.2538653507597687,0.10293477835754554,0.30239453646101694,0.2791656413397124,0.009197322699247173,143,1.1168228387832642
3,2700,0.24830554848193456,0.2451412412207886,0.2543148980501977,0.24862481245781456,0.26022479539560206,0.25501086190342903,0.2515333516720953,0.09891753561545018,0.3004712252643521,0.27739986719032905,0.00916628677155456,143,3.813777446746826
3,2800,0.24679468046694863,0.24363927862009108,0.252855334203186,0.24704483008280592,0.2586758975346276,0.25305861018305265,0.2504051345274438,0.09833144753618271,0.2988494494726564,0.2754474033369768,0.009135239163456906,143,2.159614086151123
3,2900,0.24736612224717722,0.24434494985581298,0.2540688883900429,0.24670570068675557,0.26031781157552125,0.2540688861201527,0.25156931215930584,0.09748574838002202,0.2989407663223564,0.2750526343515697,0.00910417982641616,143,2.6567819118499756
3,3000,0.24663048501389728,0.24323078785035024,0.25313355598179765,0.2469268079314913,0.259036423236494,0.2529923023605057,0.2508571531770802,0.09572651058627932,0.3000579223399104,0.275528250313095,0.009073108711507752,143,1.4238330125808716
3,3100,0.24514686421424858,0.24237236345191746,0.25205589226375785,0.24378683703084106,0.25796414438959475,0.2520364157875169,0.24970426970704565,0.0940173394796205,0.296419538616505,0.2721150075933235,0.009042025769416021,143,1.5808460712432861
3,3200,0.24399928289242,0.24149009134698582,0.25092586601426553,0.24209108214069913,0.2570483602131858,0.2509832655303267,0.2484424209747559,0.09303028634282606,0.29452773178374014,0.2702534030992668,0.009010930950429593,143,1.7254972457885742
3,3300,0.24404363386286326,0.2419557891910534,0.25122895862494976,0.24103399770556014,0.2573883273951818,0.25103998578509357,0.2488785869051121,0.09221303679383436,0.2936371519757213,0.26900048211745775,0.008979824204436663,143,2.799217939376831
3,3400,0.24373950001507266,0.24211715416021518,0.25114276935478463,0.239580922096348,0.257213559663645,0.2510231940431383,0.2487861905915976,0.0911054853191476,0.29222264088732536,0.26738605798980913,0.008948705480920225,143,1.9556598663330078
3,3500,0.2429202515599744,0.24142188746128262,0.2503228083523135,0.2385144225725444,0.2563931945010067,0.2503564767282141,0.24787444493931193,0.09017675970753394,0.2912080675517957,0.266233293259185,0.008917574728953215,143,2.6996967792510986
4,3600,0.23186638848534946,0.23185698619519157,0.24536231382824908,0.21838927268981934,0.2551058815128502,0.244046191888294,0.24225455214237346,0.07332849549664848,0.2728185419036054,0.24375601506781305,0.008886431897193573,143,2.3626294136047363
4,3700,0.23101244858879458,0.23377928934632775,0.24235153086682693,0.21413968734562716,0.2502996621125522,0.24144235707540562,0.23971777624465565,0.07722751482484494,0.2659794712130399,0.2378006792642216,0.008855276933879238,143,1.4121997356414795
4,3800,0.2320073073022457,0.23625747127400043,0.2455828279672184,0.20993146149746633,0.25210480241409994,0.24530260026039563,0.2431421686703735,0.07744086176182959,0.2600683133257391,0.2328455840149823,0.008824109786823055,143,1.798024296760559
4,3900,0.23148342724456344,0.23649985928483094,0.24565765577385285,0.20727633833115108,0.25172552085200023,0.24561800672949438,0.24325429209212,0.07657700101784803,0.2565147281848183,0.23001303310080093,0.008792930403407596,143,1.5385363101959229
4,4000,0.2308592751346819,0.23585825260476165,0.24478792988176953,0.20693266963934262,0.25083345104414334,0.24514984682171742,0.2421525638451077,0.07573585149887528,0.2563506898143208,0.22976057788307416,0.008761738730579907,143,1.4787975549697876
4,4100,0.22990674168836117,0.23462429591906742,0.244070713194103,0.20630766466589964,0.25016295205439987,0.2442212714298011,0.24154347497366965,0.07536346196265196,0.25553736080505984,0.22914752148383724,0.008730534714846172,143,1.3038986921310425
4,4200,0.22894668494509818,0.23300734144978474,0.24288249876908688,0.20688956136526498,0.24871978175648782,0.24320771815214615,0.24035244660649932,0.07522729938250615,0.2562311090192767,0.22994953090273484,0.008699318302266265,143,1.624720811843872
4,4300,0.22901254533547458,0.23349667062185317,0.24285492785701002,0.20620191483515796,0.2487147397526186,0.24309267536316922,0.24036834714638383,0.07483250247326406,0.2554951473180645,0.229173733875288,0.008668089438448249,143,2.064544439315796
4,4400,0.22809491819768238,0.23272577534600875,0.2420248047710137,0.204903319578832,0.24785349786012795,0.24223808352882725,0.23956535273602206,0.07510432014882296,0.2536839946953259,0.22755450788116777,0.008636848068542763,143,2.053378105163574
4,4500,0.22642755487286453,0.23108148012449917,0.24022386035114798,0.20332340079358766,0.24597759324426952,0.24043869240758628,0.23779345996745813,0.07369904391460022,0.2520236858480969,0.22595296615947946,0.00860559413723731,143,1.3161526918411255
4,4600,0.22638220969919995,0.23146664511614584,0.24006729897217896,0.2025282504216947,0.2457978184495152,0.24041619478778875,0.23756574588487647,0.07364048646881204,0.2508747093756482,0.2250754743567715,0.008574327588750475,143,1.7642039060592651
5,4700,0.23201102763414383,0.2409601267427206,0.2526135202497244,0.19351033307611942,0.25438043288886547,0.2564416974782944,0.2496098317205906,0.0701313636964187,0.23839111998677254,0.21593344304710627,0.008543048366826027,143,2.0748565196990967
5,4800,0.21546567456218704,0.22215423822916788,0.23447514357494897,0.1830790744901731,0.24021713024583355,0.23338784303130775,0.2328307195084876,0.06347894270358415,0.2281450193760724,0.20387955427426716,0.008511756414726925,143,1.8518836498260498
5,4900,0.2128776483996599,0.21923978226604285,0.2310937730319522,0.18193725341310105,0.23656032058513826,0.23049270561723798,0.22926778646392953,0.06222576635061867,0.22750496816028049,0.2024812127498013,0.008480451675229232,143,1.7388272285461426
5,5000,0.21383849302707594,0.223014036641468,0.23374871685629403,0.17557717970560624,0.2395347419984733,0.23342377258629737,0.23162926518935947,0.06232637317874764,0.2189439760544632,0.1948574184899843,0.008449134090615918,143,1.1511845588684082
5,5100,0.2125024389869605,0.2249336728396324,0.2339734715373757,0.16616893728048757,0.23950954825760654,0.23363994468504992,0.23195914891906655,0.060132419771084994,0.2061467117164284,0.18459687403474861,0.008417803602670568,143,2.3166909217834473
5,5200,0.2115298604462729,0.2251338060627612,0.23462800633941971,0.16122382177516473,0.24032260175765485,0.23416526559307133,0.23262780460045318,0.060008439928466495,0.1988667402445346,0.1791242181157419,0.008386460152670968,143,1.5563777685165405
5,5300,0.2103800197893923,0.22475740026876137,0.2345050298669315,0.1575002469509453,0.24023627256369823,0.23430613502134362,0.23233186191117222,0.06010631198825484,0.19354051529345187,0.17483365472841572,0.0083551036813826,143,2.770263910293579
5,5400,0.2096034198603983,0.224936183552419,0.2345530312175358,0.15398827896521078,0.2402042785877955,0.23460209804623486,0.23226308431372297,0.06038687788678448,0.18872212704957864,0.17058852526187565,0.008323734129052008,143,2.0231635570526123
5,5500,0.20896240839661628,0.22508447210067042,0.23434560772433294,0.15133507991684417,0.23998434498321777,0.23438194300979376,0.2320683039907439,0.06026968578397132,0.1851525613581579,0.16747074345966764,0.008292351435400067,143,1.86577570438385
5,5600,0.2080469940378286,0.22466166384160258,0.23370266771635373,0.14916197883217355,0.2394295426240134,0.23381810091989008,0.23134265015284047,0.05950672548532681,0.18251581638888761,0.16501177263377015,0.008260955539615124,143,1.9718074798583984
5,5700,0.20720283994377833,0.22393692236423024,0.23309813006451047,0.14783938365482438,0.23874431657128212,0.23325529598491632,0.23074534816271441,0.05924796131732837,0.1806910969243627,0.16356491950875895,0.00822954638034602,143,1.6059398651123047
5,5800,0.20639392494567835,0.22341551544899155,0.2327542202246766,0.1459904476986884,0.23825801181937417,0.23284510462327884,0.23049816527273706,0.05886559115762832,0.1782009260174835,0.16151409837213682,0.008198123895695002,143,2.6511707305908203
6,5900,0.19551427596145207,0.2101061024599605,0.22417056461175283,0.13767433447970284,0.2310658958223131,0.2238131946987576,0.22162684831354354,0.0588252532399363,0.16810135261880027,0.15095775143967735,0.008166688023210498,143,2.070788621902466
6,6000,0.19996354158582358,0.21842256568629168,0.23031269157754963,0.1326963395394128,0.23678675710127273,0.2300758147547985,0.22786518674472284,0.05420334863251653,0.1614949241794389,0.14681438104859715,0.008135238699879773,143,2.164259195327759
6,6100,0.1997472165494549,0.21911897236595348,0.2292851389974964,0.1314657809478896,0.23546251116358505,0.22938126796970562,0.2267565054857001,0.053641167495931896,0.15965341055879786,0.14568304492502795,0.008103775862121455,143,1.5302960872650146
6,6200,0.19829072088435076,0.21735639839932538,0.22798470368851786,0.13046538214320721,0.23436582976061365,0.22820879963860996,0.22529778888692026,0.05428034665899864,0.1579783800503482,0.14443159362544183,0.008072299445777921,143,2.2016255855560303
6,6300,0.19803975211100633,0.21744131511181927,0.22805269322033678,0.12922368342621943,0.23372959836145465,0.22845600014657116,0.22553993990916885,0.05309870903160465,0.15694615871049045,0.14304018392321768,0.008040809386107562,143,1.7617374658584595
6,6400,0.19782042057689178,0.2174509480185465,0.22815465109610777,0.12822513287767356,0.23370569144640493,0.22838744234054462,0.22579455307317436,0.05311043609719757,0.15534623674023043,0.14199834512461215,0.008009305617776897,143,3.1244335174560547
6,6500,0.19839220479015232,0.21818187088929406,0.2288591076699338,0.12834596821041994,0.2342312646582145,0.22927882179271344,0.22645840859690378,0.053679043627813346,0.155181925391504,0.1421111594914466,0.007977788074852553,143,2.3395118713378906
6,6600,0.19744981979363715,0.2170982990888941,0.22814222316213903,0.1274604562344967,0.2334565673198476,0.2286815278582125,0.2256928950548172,0.05312165399050753,0.1540424032599334,0.14124680486501465,0.007946256690793095,143,1.4783542156219482
6,6700,0.19610104162312117,0.21611237706693673,0.2269045198633826,0.125274891296082,0.23228846814858137,0.22753180262781458,0.22437456328664307,0.0518387862067868,0.1512433989160865,0.13906822485860282,0.007914711398440716,143,0.9460998177528381
6,6800,0.1955450586540989,0.21591358480472414,0.22675210543410487,0.123600958216758,0.23219014952580133,0.22746513197346338,0.22414906407317156,0.05098425326129747,0.14889457593203853,0.13747146568758778,0.007883152130012765,143,1.0142207145690918
6,6900,0.19537610520729037,0.21623991291488756,0.22689436866621082,0.12213022495000557,0.23203875326226203,0.22768281675411753,0.22436353830201775,0.05019569508018391,0.14679152916350433,0.1361072505418764,0.00785157881709313,143,1.132995843887329
6,7000,0.1951937482021261,0.2162981891866334,0.22693826751417467,0.1212403454114256,0.23220083987478607,0.2275880415496868,0.2244433663362499,0.04983196290754856,0.14545804867968287,0.135273072631078,0.007819991390623464,143,2.1169023513793945
7,7100,0.18508650171192917,0.20506851314692884,0.21742718495629929,0.1127818002290017,0.2219160258568622,0.2172994385095867,0.2157082900002196,0.04550634787694828,0.13286647442224864,0.12764117363336924,0.0077883897808942405,143,1.800067663192749
7,7200,0.18704694299691024,0.20911856496642375,0.22140555824527794,0.1085450874919864,0.22578833444878973,0.2220571907772415,0.2192614608198062,0.044129579488573406,0.1268201905848651,0.12334622521938264,0.007756773917535647,143,1.6382594108581543
7,7300,0.1871955750143006,0.20889514442669213,0.22039581786324508,0.11059619499927889,0.2253485685010461,0.2209179914236939,0.21810140602127479,0.04422858659939392,0.13004451663824765,0.12547424173213706,0.007725143729508313,143,1.6044344902038574
7,7400,0.18740974842784877,0.2089015569358586,0.2207931407234248,0.11104273979357857,0.22575043637883216,0.2214806729300137,0.21839769553134147,0.043828628872605885,0.13096960219629308,0.1259722628675521,0.0076934991450938696,143,1.5828204154968262
7,7500,0.1883391394645353,0.21028052693240754,0.22219218573049654,0.11060331843573333,0.2274494676021584,0.22245318988015883,0.21993266284968782,0.04406291128132288,0.1304890714460033,0.12528802552712365,0.0076618400918853115,143,3.3794045448303223
