image_id,class,radius,boundary_pixels,interior_pixels,gcqm_interior_correctness,gcqm_interior_recall,gcqm_interior_precision,gcqm_interior_fn_density,gcqm_interior_fp_leakage,gcqm_interior_fn_islands,gcqm_interior_fp_islands,gcqm_boundary_precision,gcqm_boundary_recall,gcqm_boundary_f1,gcqm_boundary_accuracy,gcqm_boundary_fp_density,gcqm_boundary_fn_density,sshr_interior_correctness,sshr_interior_recall,sshr_interior_precision,sshr_interior_fn_density,sshr_interior_fp_leakage,sshr_interior_fn_islands,sshr_interior_fp_islands,sshr_boundary_precision,sshr_boundary_recall,sshr_boundary_f1,sshr_boundary_accuracy,sshr_boundary_fp_density,sshr_boundary_fn_density,pixel_interior_correctness,pixel_interior_recall,pixel_interior_precision,pixel_interior_fn_density,pixel_interior_fp_leakage,pixel_interior_fn_islands,pixel_interior_fp_islands,pixel_boundary_precision,pixel_boundary_recall,pixel_boundary_f1,pixel_boundary_accuracy,pixel_boundary_fp_density,pixel_boundary_fn_density
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+81,1,5,4668,15290,1.0,1.0,0.5575001823087581,0.0,0.4424998176912419,0,2,0.7232219365895458,1.0,0.8393833913475882,0.7232219365895458,0.27677806341045413,0.0,1.0,1.0,0.5868355402034159,0.0,0.39251075621672865,0,1,0.7232219365895458,1.0,0.8393833913475882,0.7232219365895458,0.27677806341045413,0.0,1.0,1.0,0.5575001823087581,0.0,0.4424998176912419,0,2,0.7232219365895458,1.0,0.8393833913475882,0.7232219365895458,0.27677806341045413,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+82,0,1,128,379,0.0,0.0,0.0,1.0,2.15633423180593e-05,1,1,,0.0,0.0,0.28125,0.0,0.71875,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.28125,0.0,0.71875,0.0,0.0,0.0,1.0,2.15633423180593e-05,1,1,,0.0,0.0,0.28125,0.0,0.71875
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+82,0,3,349,229,0.0,0.0,0.0,1.0,2.2603467371894848e-05,1,1,,0.0,0.0,0.30659025787965616,0.0,0.6934097421203438,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.30659025787965616,0.0,0.6934097421203438,0.0,0.0,0.0,1.0,2.2603467371894848e-05,1,1,,0.0,0.0,0.30659025787965616,0.0,0.6934097421203438
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+82,0,5,535,116,0.0,0.0,0.0,1.0,2.3697805583202996e-05,1,1,,0.0,0.0,0.3364485981308411,0.0,0.6635514018691588,0.0,0.0,,1.0,0.0,1,0,,0.0,0.0,0.3364485981308411,0.0,0.6635514018691588,0.0,0.0,0.0,1.0,2.3697805583202996e-05,1,1,,0.0,0.0,0.3364485981308411,0.0,0.6635514018691588
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+82,1,1,1054,45996,0.9999782589790417,0.9999782589790417,0.9918273170310951,2.1741020958344205e-05,0.008172506738544475,1,1,0.9667931688804554,1.0,0.9831162566328991,0.9667931688804554,0.03320683111954459,0.0,1.0,1.0,0.9918274932614555,0.0,0.008172506738544475,0,1,0.9667931688804554,1.0,0.9831162566328991,0.9667931688804554,0.03320683111954459,0.0,0.9999782589790417,0.9999782589790417,0.9918273170310951,2.1741020958344205e-05,0.008172506738544475,1,1,0.9667931688804554,1.0,0.9831162566328991,0.9667931688804554,0.03320683111954459,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+82,1,3,3099,44012,0.9999772789239298,0.9999772789239298,0.9948236889692585,2.2721076070162683e-05,0.00517619402816392,1,1,0.9690222652468539,1.0,0.984267453294002,0.9690222652468539,0.030977734753146177,0.0,1.0,1.0,0.9948238059718361,0.0,0.00517619402816392,0,1,0.9690222652468539,1.0,0.984267453294002,0.9690222652468539,0.030977734753146177,0.0,0.9999772789239298,0.9999772789239298,0.9948236889692585,2.2721076070162683e-05,0.00517619402816392,1,1,0.9690222652468539,1.0,0.984267453294002,0.9690222652468539,0.030977734753146177,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+82,1,5,5084,42082,0.9999762368708711,0.9999762368708711,0.9972509894068299,2.3763129128843685e-05,0.0027489454476515474,1,1,0.9702989771833203,1.0,0.9849256264350604,0.9702989771833203,0.02970102281667978,0.0,1.0,1.0,0.9972510545523484,0.0,0.0027489454476515474,0,1,0.9702989771833203,1.0,0.9849256264350604,0.9702989771833203,0.02970102281667978,0.0,0.9999762368708711,0.9999762368708711,0.9972509894068299,2.3763129128843685e-05,0.0027489454476515474,1,1,0.9702989771833203,1.0,0.9849256264350604,0.9702989771833203,0.02970102281667978,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+83,1,1,892,49284,0.9999797094391689,0.9999797094391689,1.0,2.029056083110137e-05,0.0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999797094391689,0.9999797094391689,1.0,2.029056083110137e-05,0.0,1,0,1.0,1.0,1.0,1.0,0.0,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+83,1,3,2652,47524,0.9999789580001683,0.9999789580001683,1.0,2.1041999831664002e-05,0.0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999789580001683,0.9999789580001683,1.0,2.1041999831664002e-05,0.0,1,0,1.0,1.0,1.0,1.0,0.0,0.0
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+83,1,5,4380,45796,0.9999781640317932,0.9999781640317932,1.0,2.1835968206830292e-05,0.0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.9999781640317932,0.9999781640317932,1.0,2.1835968206830292e-05,0.0,1,0,1.0,1.0,1.0,1.0,0.0,0.0
