index,official_local_q,exact_local_q,local_q_gain,class0_choice_index,class0_choice,class1_choice_index,class1_choice,class2_choice_index,class2_choice,class3_choice_index,class3_choice
2218,0.4361673891544342,0.6034402847290039,0.1672728955745697,4,camdeep,3,cam28_2,0,official_fusion,0,official_fusion
2219,0.4908601939678192,0.5493545532226562,0.058494359254837036,0,official_fusion,1,cam56,1,cam56,0,official_fusion
2220,0.15678982436656952,0.1611807942390442,0.00439096987247467,0,official_fusion,3,cam28_2,0,official_fusion,0,official_fusion
2221,0.2734820544719696,0.2734820544719696,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2222,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2223,0.6136542558670044,0.6443408727645874,0.030686616897583008,3,cam28_2,4,camdeep,0,official_fusion,0,official_fusion
2224,0.0,0.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2225,0.3722277283668518,0.4696320593357086,0.09740433096885681,4,camdeep,3,cam28_2,0,official_fusion,0,official_fusion
2226,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2227,0.9988042116165161,0.9988042116165161,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2228,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2229,0.28077414631843567,0.28077414631843567,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2230,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2231,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2232,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2233,0.4922373294830322,0.4922373294830322,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2234,0.8034405708312988,0.8479924201965332,0.044551849365234375,0,official_fusion,3,cam28_2,0,official_fusion,0,official_fusion
2235,0.49955156445503235,0.49955156445503235,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2236,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2237,0.17367887496948242,0.23719006776809692,0.0635111927986145,3,cam28_2,2,cam28_1,0,official_fusion,4,camdeep
2238,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2239,0.32197996973991394,0.32197996973991394,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2240,0.6365792155265808,0.7014309763908386,0.06485176086425781,0,official_fusion,4,camdeep,0,official_fusion,3,cam28_2
2241,0.43145686388015747,0.5072577595710754,0.07580089569091797,1,cam56,4,camdeep,0,official_fusion,0,official_fusion
2242,0.8940049409866333,0.9292421936988831,0.035237252712249756,0,official_fusion,3,cam28_2,0,official_fusion,0,official_fusion
2243,0.21544022858142853,0.33008620142936707,0.11464597284793854,0,official_fusion,4,camdeep,3,cam28_2,0,official_fusion
2244,0.35725247859954834,0.3577902615070343,0.0005377829074859619,0,official_fusion,1,cam56,0,official_fusion,0,official_fusion
2245,0.3954542279243469,0.5234315991401672,0.1279773712158203,1,cam56,4,camdeep,0,official_fusion,0,official_fusion
2246,0.6615272164344788,0.6840579509735107,0.022530734539031982,0,official_fusion,2,cam28_1,0,official_fusion,0,official_fusion
2247,0.2931758463382721,0.5529360771179199,0.2597602307796478,0,official_fusion,4,camdeep,1,cam56,0,official_fusion
2248,0.09996811300516129,0.09996811300516129,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2249,0.1642020046710968,0.22529922425746918,0.061097219586372375,0,official_fusion,3,cam28_2,0,official_fusion,0,official_fusion
2250,0.4055415093898773,0.47289079427719116,0.06734928488731384,0,official_fusion,3,cam28_2,1,cam56,0,official_fusion
2251,0.27978935837745667,0.4171050488948822,0.13731569051742554,0,official_fusion,0,official_fusion,4,camdeep,0,official_fusion
2252,0.44710618257522583,0.7339564561843872,0.2868502736091614,0,official_fusion,4,camdeep,0,official_fusion,3,cam28_2
2253,0.44630900025367737,0.44630900025367737,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2254,0.3729557991027832,0.39607739448547363,0.02312159538269043,0,official_fusion,2,cam28_1,2,cam28_1,0,official_fusion
2255,0.47640305757522583,0.47640305757522583,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2256,0.5483269691467285,0.5561828017234802,0.007855832576751709,3,cam28_2,0,official_fusion,0,official_fusion,4,camdeep
2257,0.4583313465118408,0.6223561763763428,0.16402482986450195,2,cam28_1,1,cam56,0,official_fusion,0,official_fusion
2258,0.48342832922935486,0.48342832922935486,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2259,0.831074595451355,0.8729870915412903,0.0419124960899353,0,official_fusion,2,cam28_1,2,cam28_1,0,official_fusion
2260,0.9722377061843872,0.9722377061843872,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2261,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2262,0.21277795732021332,0.31046244502067566,0.09768448770046234,0,official_fusion,3,cam28_2,4,camdeep,0,official_fusion
2263,0.1028180792927742,0.10537172853946686,0.0025536492466926575,0,official_fusion,4,camdeep,0,official_fusion,0,official_fusion
2264,0.0,0.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2265,0.4112723171710968,0.4112723171710968,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2266,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2267,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2268,0.3302117884159088,0.42191171646118164,0.09169992804527283,1,cam56,4,camdeep,0,official_fusion,0,official_fusion
2269,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
2270,0.780059814453125,0.8050832748413086,0.025023460388183594,0,official_fusion,1,cam56,2,cam28_1,0,official_fusion
2271,1.0,1.0,0.0,0,official_fusion,0,official_fusion,0,official_fusion,0,official_fusion
