index,choice_index,local_q,w56,w28_1,w28_2,wdeep
0,260,0.18004216253757477,0.0,0.0,0.0,1.0
1,98,0.8191887140274048,0.20000000298023224,0.800000011920929,0.0,0.0
2,285,0.39079758524894714,1.0,0.0,0.0,0.0
3,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
4,0,0.9770807027816772,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
5,169,0.6928229928016663,0.0,0.0,0.699999988079071,0.30000001192092896
6,285,0.4254016876220703,1.0,0.0,0.0,0.0
7,17,0.33388659358024597,0.0,0.699999988079071,0.0,0.30000001192092896
8,260,0.4860903024673462,0.0,0.0,0.0,1.0
9,260,0.40752846002578735,0.0,0.0,0.0,1.0
10,0,0.4139728248119354,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
11,21,0.22794723510742188,0.0,0.800000011920929,0.20000000298023224,0.0
12,158,0.8490257859230042,0.5,0.30000001192092896,0.0,0.20000000298023224
13,7,0.8634207844734192,0.10000000149011612,0.5,0.20000000298023224,0.20000000298023224
14,0,0.8592953085899353,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
15,261,0.7304273247718811,0.0,0.0,1.0,0.0
16,281,0.793543815612793,0.800000011920929,0.20000000298023224,0.0,0.0
17,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
18,114,0.4423515796661377,0.4000000059604645,0.6000000238418579,0.0,0.0
19,170,0.8982581496238708,0.0,0.0,0.800000011920929,0.20000000298023224
20,275,0.761140763759613,0.699999988079071,0.0,0.30000001192092896,0.0
21,81,0.4342643618583679,0.0,1.0,0.0,0.0
22,259,0.48243504762649536,0.699999988079071,0.30000001192092896,0.0,0.0
23,52,0.7834370136260986,0.10000000149011612,0.5,0.0,0.4000000059604645
24,0,0.4812460243701935,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
25,260,0.5549991726875305,0.0,0.0,0.0,1.0
26,273,0.8465860486030579,0.6000000238418579,0.0,0.4000000059604645,0.0
27,0,0.10673761367797852,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
28,0,0.25934046506881714,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
29,0,0.46955716609954834,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
30,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
31,163,0.4307214915752411,0.5,0.5,0.0,0.0
32,260,0.5057293772697449,0.0,0.0,0.0,1.0
33,166,0.519981324672699,0.0,0.0,0.4000000059604645,0.6000000238418579
34,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
35,231,0.4931739866733551,0.10000000149011612,0.10000000149011612,0.800000011920929,0.0
36,0,0.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
37,15,0.23712901771068573,0.0,0.6000000238418579,0.0,0.4000000059604645
38,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
39,271,0.6426103115081787,0.5,0.0,0.5,0.0
40,223,0.527067244052887,0.6000000238418579,0.4000000059604645,0.0,0.0
41,90,0.4112342298030853,0.10000000149011612,0.8999999761581421,0.0,0.0
42,285,0.05311432480812073,1.0,0.0,0.0,0.0
43,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
44,81,0.4791144132614136,0.0,1.0,0.0,0.0
45,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
46,0,0.05045240744948387,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
47,0,0.4850825071334839,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
48,260,0.4009105861186981,0.0,0.0,0.0,1.0
49,98,0.8768800497055054,0.20000000298023224,0.800000011920929,0.0,0.0
50,285,0.24605010449886322,1.0,0.0,0.0,0.0
51,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
52,260,0.1833132952451706,0.0,0.0,0.0,1.0
53,167,0.4363526701927185,0.0,0.0,0.5,0.5
54,0,0.42597058415412903,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
55,81,0.3581746816635132,0.0,1.0,0.0,0.0
56,260,0.6258724927902222,0.0,0.0,0.0,1.0
57,0,0.49557557702064514,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
58,12,0.6125097274780273,0.0,0.4000000059604645,0.4000000059604645,0.20000000298023224
59,90,0.33021748065948486,0.10000000149011612,0.8999999761581421,0.0,0.0
60,0,0.30911192297935486,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
61,0,0.18956606090068817,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
62,175,0.5077453851699829,0.10000000149011612,0.0,0.20000000298023224,0.699999988079071
63,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
64,0,0.3597835600376129,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
65,242,0.5389689207077026,0.4000000059604645,0.10000000149011612,0.0,0.5
66,81,0.47264182567596436,0.0,1.0,0.0,0.0
67,0,0.3141143321990967,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
68,285,0.4925937056541443,1.0,0.0,0.0,0.0
69,165,0.6700953245162964,0.0,0.0,0.30000001192092896,0.699999988079071
70,278,0.7855958342552185,0.800000011920929,0.0,0.20000000298023224,0.0
71,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
72,0,0.4719686806201935,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
73,260,0.26139581203460693,0.0,0.0,0.0,1.0
74,261,0.6051314473152161,0.0,0.0,1.0,0.0
75,98,0.4770573079586029,0.20000000298023224,0.800000011920929,0.0,0.0
76,259,0.5237369537353516,0.699999988079071,0.30000001192092896,0.0,0.0
77,163,0.22079940140247345,0.5,0.5,0.0,0.0
78,0,0.4305345118045807,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
79,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
80,260,0.1464734673500061,0.0,0.0,0.0,1.0
81,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
82,260,0.5122268199920654,0.0,0.0,0.0,1.0
83,285,0.8111681342124939,1.0,0.0,0.0,0.0
84,229,0.74953293800354,0.10000000149011612,0.0,0.800000011920929,0.10000000149011612
85,260,0.12554267048835754,0.0,0.0,0.0,1.0
86,0,0.9999203085899353,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
87,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
88,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
89,285,0.3310224711894989,1.0,0.0,0.0,0.0
90,0,1.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
91,0,0.4154376685619354,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
92,0,0.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
93,165,0.6958466172218323,0.0,0.0,0.30000001192092896,0.699999988079071
94,81,0.1379404366016388,0.0,1.0,0.0,0.0
95,169,0.3634031414985657,0.0,0.0,0.699999988079071,0.30000001192092896
96,285,0.4331294000148773,1.0,0.0,0.0,0.0
97,0,0.0,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224
