signal_set,signal,scope,scope_id,branch,samples,positive_fraction,auroc_relative_gain_positive
A,cam_class0_mean,branch,1,cam28_1,3418,0.2864248098303101,0.4034471754319177
A,cam_class0_mean,branch,2,cam28_2,3418,0.2393212404915155,0.3590626763212338
A,cam_class0_mean,branch,3,camdeep,3418,0.21181977764774723,0.37804262182792125
A,cam_class0_std,all,-1,all,13672,0.24049151550614395,0.4999572088727182
A,cam_class0_std,fold,0,all,2748,0.23071324599708878,0.4122154690526429
A,cam_class0_std,fold,1,all,2744,0.20298833819241982,0.6054217881245387
A,cam_class0_std,fold,2,all,2692,0.23068350668647847,0.49909298797674506
A,cam_class0_std,fold,3,all,2724,0.19823788546255505,0.4295762108262108
A,cam_class0_std,fold,4,all,2764,0.3386396526772793,0.5347008897679029
A,cam_class0_std,branch,0,cam56,3418,0.22440023405500292,0.5576518565477001
A,cam_class0_std,branch,1,cam28_1,3418,0.2864248098303101,0.5222654422662715
A,cam_class0_std,branch,2,cam28_2,3418,0.2393212404915155,0.4733653846153847
A,cam_class0_std,branch,3,camdeep,3418,0.21181977764774723,0.4413837071946253
A,cam_class0_max,all,-1,all,13672,0.24049151550614395,0.49804092202490075
A,cam_class0_max,fold,0,all,2748,0.23071324599708878,0.48875231668701075
A,cam_class0_max,fold,1,all,2744,0.20298833819241982,0.5107190440656761
A,cam_class0_max,fold,2,all,2692,0.23068350668647847,0.5017669822741937
A,cam_class0_max,fold,3,all,2724,0.19823788546255505,0.48134751051417723
A,cam_class0_max,fold,4,all,2764,0.3386396526772793,0.501912030802895
A,cam_class0_max,branch,0,cam56,3418,0.22440023405500292,0.5013202565069784
A,cam_class0_max,branch,1,cam28_1,3418,0.2864248098303101,0.5037084640509326
A,cam_class0_max,branch,2,cam28_2,3418,0.2393212404915155,0.488268760579274
A,cam_class0_max,branch,3,camdeep,3418,0.21181977764774723,0.4978679344727592
A,cam_class0_p90,all,-1,all,13672,0.24049151550614395,0.4212710183222176
A,cam_class0_p90,fold,0,all,2748,0.23071324599708878,0.34719453306632364
A,cam_class0_p90,fold,1,all,2744,0.20298833819241982,0.5441325803938566
