replicate,sampling_unit,sampled_slides,delta_mIoU
152,source_slide,22,-0.7296503431883705
153,source_slide,22,-0.8099429843219985
154,source_slide,22,-0.48239911455403295
155,source_slide,22,-0.8373925263227444
156,source_slide,22,-0.6420056437111521
157,source_slide,22,-0.640162216124851
158,source_slide,22,-0.6524466583626154
159,source_slide,22,-0.5255838643850486
160,source_slide,22,-0.8504303442973704
161,source_slide,22,-0.770416109182015
162,source_slide,22,-0.6006519836144419
163,source_slide,22,-0.90382260968771
164,source_slide,22,-0.5354689112935906
165,source_slide,22,-0.9306067100670612
166,source_slide,22,-1.1183819397331152
167,source_slide,22,-0.8480752977956585
168,source_slide,22,-0.7484836132918282
169,source_slide,22,-0.6971704038352677
170,source_slide,22,-0.6456422029564202
171,source_slide,22,-1.0371030652089108
172,source_slide,22,-0.12525261911514596
173,source_slide,22,-0.8736082997043981
174,source_slide,22,-0.914111206027135
175,source_slide,22,-0.8169473722786869
176,source_slide,22,-0.2045265183373779
177,source_slide,22,-0.7230714055328935
178,source_slide,22,-0.6772062692367964
179,source_slide,22,-0.7042043107442053
180,source_slide,22,-0.7284911873665201
181,source_slide,22,-0.9145229145148148
182,source_slide,22,-0.6507180798329126
183,source_slide,22,-0.7842554925324707
184,source_slide,22,-0.6924796217270046
185,source_slide,22,-0.8825159374754588
186,source_slide,22,-0.6661320087142486
187,source_slide,22,-1.062295999270757
188,source_slide,22,-0.8992601424368307
189,source_slide,22,-0.8504897089997465
190,source_slide,22,-0.6467969907997473
191,source_slide,22,-0.8561768418664961
192,source_slide,22,-0.5685656366410385
193,source_slide,22,-0.6832277945405307
194,source_slide,22,-0.5276155348301392
195,source_slide,22,-0.6997356556857737
196,source_slide,22,-0.8305654895435
197,source_slide,22,-0.6550928749958995
198,source_slide,22,-0.6168560772494169
199,source_slide,22,-0.8482886580805649
200,source_slide,22,-0.7908011630725964
201,source_slide,22,-0.7867897388055267
202,source_slide,22,-0.6672165570273281
203,source_slide,22,-0.8531339424106776
204,source_slide,22,-0.934551138248696
205,source_slide,22,-0.8165262016348929
206,source_slide,22,-0.7130944593241151
207,source_slide,22,-0.49764933828605473
208,source_slide,22,-0.6237370086130567
209,source_slide,22,-0.9688552830324326
210,source_slide,22,-0.40332654902244247
211,source_slide,22,-0.7761631602961949
212,source_slide,22,-0.5242160322807998
213,source_slide,22,-0.6190619345615156
214,source_slide,22,-0.87467306741843
215,source_slide,22,-0.6828525204124025
216,source_slide,22,-0.6307580611862873
217,source_slide,22,-0.6286789680256422
218,source_slide,22,-0.46858447690235616
219,source_slide,22,-0.6581371730582819
220,source_slide,22,-0.8274772911432304
221,source_slide,22,-0.7258563695236364
222,source_slide,22,-0.5460960587964192
223,source_slide,22,-0.46259882152349663
224,source_slide,22,-0.6914248250233901
225,source_slide,22,-0.4380018807677355
226,source_slide,22,-0.6499070862841405
227,source_slide,22,-0.8816424906185949
228,source_slide,22,-0.591218308129049
