source_group,patches,candidate,candidate_index,mIoU,mDice,selected
TCGA-EW-A1PH-DX1,230,cam28_2,3,52.94292787166533,68.89724983414675,False
TCGA-EW-A1PH-DX1,230,camdeep,4,50.907816576925455,66.94981248510541,False
TCGA-OL-A66I-DX1,63,official_fusion,0,59.94586374829202,56.206718411698105,False
TCGA-OL-A66I-DX1,63,cam56,1,52.46614074557311,51.19603006913527,False
TCGA-OL-A66I-DX1,63,cam28_1,2,60.46653806521663,56.5150319922878,True
TCGA-OL-A66I-DX1,63,cam28_2,3,57.07392447366727,54.44634629829282,False
TCGA-OL-A66I-DX1,63,camdeep,4,57.36098865304147,54.6578011759845,False
TCGA-GM-A2DB-DX1,547,official_fusion,0,72.50613564259079,83.73864890891338,True
TCGA-GM-A2DB-DX1,547,cam56,1,65.84468293538376,79.29746657030601,False
TCGA-GM-A2DB-DX1,547,cam28_1,2,71.79772281564584,83.25758225521285,False
TCGA-GM-A2DB-DX1,547,cam28_2,3,72.30637953739247,83.59223198719825,False
TCGA-GM-A2DB-DX1,547,camdeep,4,70.54047442938165,82.357443153026,False
TCGA-GM-A2DH-DX1,133,official_fusion,0,50.91872902446685,62.441190320531504,True
TCGA-GM-A2DH-DX1,133,cam56,1,46.26053696428895,58.018769076564624,False
TCGA-GM-A2DH-DX1,133,cam28_1,2,50.61892860223299,62.01528268183259,False
TCGA-GM-A2DH-DX1,133,cam28_2,3,50.071241622783866,61.84109241589798,False
TCGA-GM-A2DH-DX1,133,camdeep,4,49.15741175881397,61.23278673199337,False
TCGA-OL-A5D6-DX1,90,official_fusion,0,74.95582038742143,64.22174398572922,False
TCGA-OL-A5D6-DX1,90,cam56,1,72.60083049594996,63.065019832573896,False
TCGA-OL-A5D6-DX1,90,cam28_1,2,75.253269370107,64.37327342240573,True
TCGA-OL-A5D6-DX1,90,cam28_2,3,72.66086488033436,63.04604045271813,False
TCGA-OL-A5D6-DX1,90,camdeep,4,70.9105381912078,62.19341142726131,False
TCGA-LL-A73Y-DX1,48,official_fusion,0,68.48793779977895,60.879881858044584,False
TCGA-LL-A73Y-DX1,48,cam56,1,70.63416499722027,62.03545525898281,True
TCGA-LL-A73Y-DX1,48,cam28_1,2,69.21020882981503,61.27151591146733,False
TCGA-LL-A73Y-DX1,48,cam28_2,3,66.159874928199,59.61841437781261,False
TCGA-LL-A73Y-DX1,48,camdeep,4,65.60149839565649,59.31389071510902,False
TCGA-GM-A2DI-DX1,27,official_fusion,0,57.5274528454324,36.5085762096587,True
TCGA-GM-A2DI-DX1,27,cam56,1,45.2082660847117,31.089934667045803,False
TCGA-GM-A2DI-DX1,27,cam28_1,2,57.52412473207438,36.510002376544314,False
TCGA-GM-A2DI-DX1,27,cam28_2,3,55.75521033561299,35.77352810379645,False
TCGA-GM-A2DI-DX1,27,camdeep,4,56.79072346553,36.19100076726265,False
TCGA-LL-A5YO-DX1,96,official_fusion,0,53.57007962571997,52.095258812329234,False
TCGA-LL-A5YO-DX1,96,cam56,1,52.03351977343188,51.19323505300336,False
TCGA-LL-A5YO-DX1,96,cam28_1,2,54.06452884106474,52.444805994381795,True
