method,override_rate,oracle_override_opportunity,override_precision,harmful_override_rate,mean_positive_override_gain,mean_harmful_override_loss,best_branch_top1_accuracy,best_branch_top2_accuracy,pairwise_ranking_accuracy,relative_utility_mae,predicted_true_spearman
Linear-A,0.6863662960795787,0.47747220596840256,0.21611253196930946,0.2755997659449971,0.01622651673844385,0.012038793072753018,0.30836746635459333,0.5754827384435343,0.39033547883752684,0.027422236186373225,0.20984118088284526
Linear-B,0.6933879461673493,0.47747220596840256,0.2160337552742616,0.2791105909888824,0.016075536717309546,0.012273072727821159,0.31187829139847867,0.5781158572264482,0.39131070801638385,0.027478939056432245,0.21008953169712868
Linear-C,0.6772966647162083,0.47747220596840256,0.22289416846652269,0.26887068461088354,0.01647012637760443,0.013240502924294545,0.32182562902282036,0.5839672322995904,0.39433391847084065,0.029089541025004252,0.20764753895456187
MLP-A,0.7056758338209479,0.47747220596840256,0.24958540630182421,0.318314803978935,0.027585759818994058,0.024837799010342946,0.2776477472205968,0.5383265067290813,0.37648722449775696,0.03738039336066508,0.12358105587237632
MLP-B,0.751316559391457,0.47747220596840256,0.23792834890965733,0.34610883557636046,0.02675193988743588,0.025996018670907124,0.24897600936220013,0.5181392627267408,0.3788765359859567,0.037463088710133645,0.11740571652201107
MLP-C,0.7802808660035109,0.47747220596840256,0.23959505061867267,0.3487419543592744,0.030890160770765826,0.027596913798065267,0.26857811585722646,0.529256875365711,0.3807782328847279,0.04827918415962869,0.08627053879463786
