image_id,class1,class2,distance,contact_pixels,noncontact_boundary_pixels,gcqm_contact_accuracy,gcqm_noncontact_boundary_accuracy,gcqm_1_to_2,gcqm_2_to_1,gcqm_other_intrusion,gcqm_background_intrusion,sshr_contact_accuracy,sshr_noncontact_boundary_accuracy,sshr_1_to_2,sshr_2_to_1,sshr_other_intrusion,sshr_background_intrusion,pixel_contact_accuracy,pixel_noncontact_boundary_accuracy,pixel_1_to_2,pixel_2_to_1,pixel_other_intrusion,pixel_background_intrusion,gcqm_0_to_1,gcqm_1_to_0,sshr_0_to_1,sshr_1_to_0,pixel_0_to_1,pixel_1_to_0,gcqm_0_to_2,gcqm_2_to_0,sshr_0_to_2,sshr_2_to_0,pixel_0_to_2,pixel_2_to_0,gcqm_1_to_3,gcqm_3_to_1,sshr_1_to_3,sshr_3_to_1,pixel_1_to_3,pixel_3_to_1,gcqm_0_to_3,gcqm_3_to_0,sshr_0_to_3,sshr_3_to_0,pixel_0_to_3,pixel_3_to_0,gcqm_2_to_3,gcqm_3_to_2,sshr_2_to_3,sshr_3_to_2,pixel_2_to_3,pixel_3_to_2
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+162,0,1,5,2769,4163,0.49476345250993137,0.673072303627192,,,0,0,0.49476345250993137,0.673072303627192,,,0,0,0.49476345250993137,0.673072303627192,,,0,0,0.0,1399.0,0.0,1399.0,0.0,1399.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+163,0,1,1,492,1275,0.5,0.7929411764705883,,,0,0,0.5,0.23215686274509803,,,0,0,0.5020325203252033,0.792156862745098,,,0,0,146.0,100.0,0.0,246.0,143.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+163,0,1,3,1466,3681,0.5020463847203275,0.7878293941863624,,,0,0,0.5,0.2352621570225482,,,0,0,0.5020463847203275,0.7861994023363217,,,0,0,434.0,296.0,0.0,733.0,428.0,302.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+163,0,1,5,2434,5778,0.4991783073130649,0.7789892696434753,,,0,0,0.5012325390304027,0.2431637244721357,,,0,0,0.4987674609695974,0.777950848044306,,,0,0,719.0,500.0,0.0,1214.0,711.0,509.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+164,0,1,1,95,888,0.5052631578947369,0.9279279279279279,,,0,0,0.4842105263157895,0.9279279279279279,,,0,0,0.5052631578947369,0.9279279279279279,,,0,0,47.0,0.0,44.0,5.0,47.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+164,0,1,3,281,2615,0.5160142348754448,0.9346080305927342,,,0,0,0.45195729537366547,0.9346080305927342,,,0,0,0.5160142348754448,0.9346080305927342,,,0,0,136.0,0.0,133.0,21.0,136.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+164,0,1,5,471,4271,0.5286624203821656,0.942636384921564,,,0,0,0.4564755838641189,0.942636384921564,,,0,0,0.5286624203821656,0.942636384921564,,,0,0,222.0,0.0,219.0,37.0,222.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+168,0,1,1,259,728,0.0,0.3076923076923077,,,259,0,0.07722007722007722,0.41620879120879123,,,235,0,0.0,0.3076923076923077,,,259,0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+168,0,1,3,772,2083,0.0,0.3226116178588574,,,772,0,0.07772020725388601,0.4301488238118099,,,700,0,0.0,0.3226116178588574,,,772,0,0.0,0.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+168,0,1,5,1284,3280,0.0,0.34146341463414637,,,1284,0,0.0778816199376947,0.44390243902439025,,,1164,0,0.0,0.34146341463414637,,,1284,0,0.0,0.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+168,1,3,1,448,988,0.5,0.6082995951417004,,,0,0,0.5,0.6285425101214575,,,0,0,0.5,0.6082995951417004,,,0,0,,,,,,,,,,,,,224.0,0.0,224.0,0.0,224.0,0.0,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+168,1,3,3,1338,2875,0.5022421524663677,0.6194782608695653,,,0,0,0.5022421524663677,0.6403478260869565,,,0,0,0.5022421524663677,0.6194782608695653,,,0,0,,,,,,,,,,,,,666.0,0.0,666.0,0.0,666.0,0.0,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+168,1,3,5,2213,4638,0.5070040668775418,0.6317378180250108,,,0,0,0.5070040668775418,0.6532988357050453,,,0,0,0.5070040668775418,0.6317378180250108,,,0,0,,,,,,,,,,,,,1091.0,0.0,1091.0,0.0,1091.0,0.0,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+169,0,1,1,187,887,0.5026737967914439,0.8635851183765502,,,0,0,0.5026737967914439,0.8635851183765502,,,0,0,0.5026737967914439,0.8635851183765502,,,0,0,0.0,93.0,0.0,93.0,0.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+169,0,1,3,559,2594,0.5116279069767442,0.8750963762528913,,,0,0,0.5116279069767442,0.8750963762528913,,,0,0,0.5116279069767442,0.8750963762528913,,,0,0,0.0,273.0,0.0,273.0,0.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+169,0,1,5,927,4213,0.52319309600863,0.8865416567766438,,,0,0,0.52319309600863,0.8865416567766438,,,0,0,0.52319309600863,0.8865416567766438,,,0,0,0.0,442.0,0.0,442.0,0.0,442.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+17,0,1,1,448,1030,0.43973214285714285,0.5650485436893203,,,54,0,0.5,0.5213592233009708,,,0,0,0.43973214285714285,0.5660194174757281,,,54,0,0.0,197.0,0.0,224.0,0.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+17,0,1,3,1344,3020,0.4427083333333333,0.5721854304635762,,,164,0,0.5,0.5268211920529802,,,0,0,0.44345238095238093,0.5731788079470199,,,161,0,0.0,585.0,0.0,672.0,0.0,587.0,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+17,0,1,5,2240,4922,0.4450892857142857,0.5796424217797643,,,274,0,0.5,0.5318976026005688,,,0,0,0.4459821428571429,0.5804550995530272,,,269,0,0.0,969.0,0.0,1120.0,0.0,972.0,,,,,,,,,,,,,,,,,,,,,,,,
