image_id,class,radius,boundary_pixels,interior_pixels,gcqm_interior_correctness,gcqm_interior_recall,gcqm_interior_precision,gcqm_interior_fn_density,gcqm_interior_fp_leakage,gcqm_interior_fn_islands,gcqm_interior_fp_islands,gcqm_boundary_precision,gcqm_boundary_recall,gcqm_boundary_f1,gcqm_boundary_accuracy,gcqm_boundary_fp_density,gcqm_boundary_fn_density,sshr_interior_correctness,sshr_interior_recall,sshr_interior_precision,sshr_interior_fn_density,sshr_interior_fp_leakage,sshr_interior_fn_islands,sshr_interior_fp_islands,sshr_boundary_precision,sshr_boundary_recall,sshr_boundary_f1,sshr_boundary_accuracy,sshr_boundary_fp_density,sshr_boundary_fn_density,pixel_interior_correctness,pixel_interior_recall,pixel_interior_precision,pixel_interior_fn_density,pixel_interior_fp_leakage,pixel_interior_fn_islands,pixel_interior_fp_islands,pixel_boundary_precision,pixel_boundary_recall,pixel_boundary_f1,pixel_boundary_accuracy,pixel_boundary_fp_density,pixel_boundary_fn_density
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,1,830,38558,1.0,1.0,0.9983946141895391,0.0,0.001605385810460901,0,1,0.980722891566265,1.0,0.9902676399026764,0.980722891566265,0.01927710843373494,0.0,1.0,1.0,0.9983946141895391,0.0,0.001605385810460901,0,1,0.980722891566265,1.0,0.9902676399026764,0.980722891566265,0.01927710843373494,0.0,1.0,1.0,0.9983946141895391,0.0,0.001605385810460901,0,1,0.980722891566265,1.0,0.9902676399026764,0.980722891566265,0.01927710843373494,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,3,2454,36961,1.0,1.0,0.9995943314582432,0.0,0.0004056685417568152,0,1,0.9824775876120619,1.0,0.9911613566289825,0.9824775876120619,0.01752241238793806,0.0,1.0,1.0,0.9995943314582432,0.0,0.0004056685417568152,0,1,0.9824775876120619,1.0,0.9911613566289825,0.9824775876120619,0.01752241238793806,0.0,1.0,1.0,0.9995943314582432,0.0,0.0004056685417568152,0,1,0.9824775876120619,1.0,0.9911613566289825,0.9824775876120619,0.01752241238793806,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,5,4032,35405,1.0,1.0,1.0,0.0,0.0,0,0,0.9838789682539683,1.0,0.991873984248031,0.9838789682539683,0.016121031746031748,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.9838789682539683,1.0,0.991873984248031,0.9838789682539683,0.016121031746031748,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0.9838789682539683,1.0,0.991873984248031,0.9838789682539683,0.016121031746031748,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,1,53,62,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.32075471698113206,0.0,0.6792452830188679,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.32075471698113206,0.0,0.6792452830188679,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.32075471698113206,0.0,0.6792452830188679
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,3,135,15,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.3851851851851852,0.0,0.6148148148148148,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.3851851851851852,0.0,0.6148148148148148,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.3851851851851852,0.0,0.6148148148148148
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,5,189,0,nan,nan,nan,nan,0.0,0,0,nan,0.0,0.0,0.48148148148148145,0.0,0.5185185185185185,nan,nan,nan,nan,0.0,0,0,nan,0.0,0.0,0.48148148148148145,0.0,0.5185185185185185,nan,nan,nan,nan,0.0,0,0,nan,0.0,0.0,0.48148148148148145,0.0,0.5185185185185185
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,1,1263,10323,1.0,1.0,0.9634157722818478,0.0,0.036584227718152125,0,1,0.9722882026920031,1.0,0.985949417904456,0.9722882026920031,0.027711797307996833,0.0,1.0,1.0,0.9634157722818478,0.0,0.036584227718152125,0,1,0.9722882026920031,1.0,0.985949417904456,0.9722882026920031,0.027711797307996833,0.0,1.0,1.0,0.9634157722818478,0.0,0.036584227718152125,0,1,0.9722882026920031,1.0,0.985949417904456,0.9722882026920031,0.027711797307996833,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,3,3580,8072,1.0,1.0,0.9718275945099928,0.0,0.028172405490007223,0,1,0.9717877094972067,1.0,0.9856920243660575,0.9717877094972067,0.028212290502793298,0.0,1.0,1.0,0.9718275945099928,0.0,0.028172405490007223,0,1,0.9717877094972067,1.0,0.9856920243660575,0.9717877094972067,0.028212290502793298,0.0,1.0,1.0,0.9718275945099928,0.0,0.028172405490007223,0,1,0.9717877094972067,1.0,0.9856920243660575,0.9717877094972067,0.028212290502793298,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,5,5599,6109,1.0,1.0,0.98073527050891,0.0,0.019264729491090062,0,1,0.971959278442579,1.0,0.9857802735259488,0.971959278442579,0.028040721557420968,0.0,1.0,1.0,0.98073527050891,0.0,0.019264729491090062,0,1,0.971959278442579,1.0,0.9857802735259488,0.971959278442579,0.028040721557420968,0.0,1.0,1.0,0.98073527050891,0.0,0.019264729491090062,0,1,0.971959278442579,1.0,0.9857802735259488,0.971959278442579,0.028040721557420968,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,1,129,392,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.27906976744186046,0.0,0.7209302325581395,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.27906976744186046,0.0,0.7209302325581395,0.0,0.0,nan,1.0,0.0,1,0,nan,0.0,0.0,0.27906976744186046,0.0,0.7209302325581395
