image_id,class1,class2,distance,contact_pixels,noncontact_boundary_pixels,gcqm_contact_accuracy,gcqm_noncontact_boundary_accuracy,gcqm_1_to_2,gcqm_2_to_1,gcqm_other_intrusion,gcqm_background_intrusion,sshr_contact_accuracy,sshr_noncontact_boundary_accuracy,sshr_1_to_2,sshr_2_to_1,sshr_other_intrusion,sshr_background_intrusion,pixel_contact_accuracy,pixel_noncontact_boundary_accuracy,pixel_1_to_2,pixel_2_to_1,pixel_other_intrusion,pixel_background_intrusion,gcqm_0_to_1,gcqm_1_to_0,sshr_0_to_1,sshr_1_to_0,pixel_0_to_1,pixel_1_to_0,gcqm_0_to_2,gcqm_2_to_0,sshr_0_to_2,sshr_2_to_0,pixel_0_to_2,pixel_2_to_0,gcqm_1_to_3,gcqm_3_to_1,sshr_1_to_3,sshr_3_to_1,pixel_1_to_3,pixel_3_to_1,gcqm_0_to_3,gcqm_3_to_0,sshr_0_to_3,sshr_3_to_0,pixel_0_to_3,pixel_3_to_0,gcqm_2_to_3,gcqm_3_to_2,sshr_2_to_3,sshr_3_to_2,pixel_2_to_3,pixel_3_to_2
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+442,1,2,1,121,1410,0.5206611570247934,0.7524822695035461,13,45,0,0,0.49586776859504134,0.7609929078014185,15,46,0,0,0.5206611570247934,0.7418439716312056,13,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+442,1,2,3,364,3842,0.5164835164835165,0.7568974492451848,40,136,0,0,0.5054945054945055,0.7621030713170224,41,139,0,0,0.5164835164835165,0.741280583029672,40,136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+442,1,2,5,618,5641,0.5258899676375405,0.7569579861726644,64,229,0,0,0.5145631067961165,0.7688353128877858,66,234,0,0,0.5275080906148867,0.7390533593334515,64,228,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+443,1,2,1,64,1527,0.484375,0.26129666011787817,33,0,0,0,0.484375,0.656188605108055,33,0,0,0,0.484375,0.25671250818598557,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+443,1,2,3,191,4387,0.44502617801047123,0.2571233188967404,106,0,0,0,0.46596858638743455,0.6651470253020287,102,0,0,0,0.44502617801047123,0.25256439480282655,106,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+443,1,2,5,318,6867,0.39622641509433965,0.2595019659239843,192,0,0,0,0.44339622641509435,0.6799184505606524,177,0,0,0,0.39622641509433965,0.2532401339740789,192,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+444,1,2,1,711,877,0.5077355836849508,0.830102622576967,265,85,0,0,0.5161744022503516,0.8620296465222349,113,231,0,0,0.509142053445851,0.8175598631698974,266,83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+444,1,2,3,2074,2517,0.5313404050144648,0.8422725466825586,758,214,0,0,0.5462873674059788,0.877632101708383,299,642,0,0,0.5347155255544841,0.8283671036948749,751,214,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+444,1,2,5,3419,3980,0.5519157648435215,0.8547738693467337,1212,320,0,0,0.558350394852296,0.8952261306532663,479,1031,0,0,0.5542556303012577,0.8371859296482412,1202,322,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+445,1,2,1,831,939,0.5042117930204573,0.8913738019169329,202,210,0,0,0.5102286401925391,0.9478168264110756,57,350,0,0,0.50661853188929,0.873269435569755,214,196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+445,1,2,3,2458,2755,0.5195280716029292,0.8943738656987296,589,592,0,0,0.531326281529699,0.9509981851179673,141,1011,0,0,0.5264442636289667,0.8758620689655172,623,541,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
