image_id,sshr_mIoU,old_gcqm_mIoU,full_ccac_mIoU,ccac_off_mIoU,uniform_local_mIoU,no_rival_mIoU
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,0.49875855079807446,0.49875855079807446,0.49875855079807446,0.49875855079807446,0.49875855079807446,0.49875855079807446
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,0.47985211033565967,0.47985211033565967,0.47985211033565967,0.47985211033565967,0.47985211033565967,0.47985211033565967
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,0.654508996227189,0.6405487468590714,0.6436193514880121,0.6375027919638298,0.6438734666629039,0.6438395047819503
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,0.593151840142629,0.55459467081701,0.559906403172419,0.5518726942551517,0.5602891362082089,0.5593311206445051
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,0.604866599887147,0.5911992251292993,0.5826741814603985,0.5920666279389694,0.5824962233724347,0.5825081068798794
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,0.4068619859799984,0.5417892891859399,0.5339157221706237,0.5500792408268647,0.5334732505680364,0.533607724620803
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,0.2875279017857143,0.19168908819133035,0.19168908819133035,0.19168908819133035,0.19168908819133035,0.19168908819133035
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,0.1654294380587484,0.1652217239661186,0.1652217239661186,0.1652217239661186,0.1652217239661186,0.1652217239661186
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0.3057437818877551,0.3059497236394558,0.3059497236394558,0.3063564757391682,0.3059497236394558,0.3059497236394558
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0.254258343962585,0.32049718041469055,0.33386250806548107,0.32402743019172536,0.3338005595888495,0.33378608752763816
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,0.6165097624965372,0.28821548150510207,0.28821548150510207,0.28821548150510207,0.28821548150510207,0.28821548150510207
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0.46120655293367346,0.46120655293367346,0.46120655293367346,0.46120655293367346,0.46120655293367346,0.46120655293367346
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,0.5505644482801609,0.49126687709035255,0.4918707443990482,0.48853399497364286,0.4917010119638059,0.4920461199686868
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,0.8484259858330354,0.8752624937777813,0.8906733648276624,0.8621690986657192,0.8909232776118079,0.890508377754663
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,0.25964302255133465,0.2907972724401256,0.2949216431889322,0.2929163181278837,0.29480804535309885,0.2943410810026871
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,0.4063514084579218,0.3603149002577281,0.5147068425770103,0.36148646533934453,0.514152443897106,0.5146589811123897
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,0.5653151423610322,0.4925865727137566,0.4863938543308929,0.49495478103531865,0.4858276457466878,0.4861565193039451
