image_id,class,entropy,normalized_entropy,effective_query_count,dominant_share,top1_mass,top3_mass,top5_mass,top10_mass,top20_mass,gini,diffuseness_bin
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,0,4.923789238211953,0.9328689420570071,137.52273353109686,0.04290086824275744,0.04290086824275744,0.09214978955033856,0.12672978782156316,0.19616221484660334,0.2987469142380195,0.4364410693901799,very_diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,5.261638870372993,0.9968784708326276,192.7972021445954,0.006569600333023078,0.006569600333023078,0.01968411210277161,0.032535323142797785,0.06413601097743236,0.126808727429986,0.10123724563596115,very_diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,4.766291749429195,0.9030292172781371,117.48277762407986,0.05806111651141221,0.05806111651141221,0.12300746084891173,0.18022488839090983,0.29117872181325033,0.4229054475397093,0.5084446568116623,diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,3,5.1331429622834825,0.9725334316689191,169.54916814088227,0.022181512648034484,0.022181512648034484,0.06087139071829576,0.09215428779534411,0.1576684841103957,0.24584296640809383,0.2777049504582223,very_diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,0,5.012522514471129,0.9496804897379574,150.28335034440425,0.013214087397360214,0.013214087397360214,0.03712736708638413,0.057901776707197296,0.10732833433293765,0.19675273032341106,0.35357757421824054,very_diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,5.231097620771774,0.9910920770967871,186.99794374381938,0.007292421654359374,0.007292421654359374,0.021142294977449766,0.034760966070612916,0.06821478270207117,0.13342602909694776,0.14603314308937376,very_diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,4.835484406437519,0.9161385681497249,125.89955499303719,0.040121273059243956,0.040121273059243956,0.10670249390943122,0.16352462743662402,0.26905835991884,0.3812481050403983,0.4594394554030503,very_diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,3,5.141835858311644,0.9741804015794647,171.02946614779873,0.02689796014054953,0.02689796014054953,0.055757683351176715,0.0791152318041893,0.12875096197134434,0.19982859521959598,0.24674558796548518,very_diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,0,4.310907610801105,0.8167514139280903,74.50808260187583,0.05230874250386596,0.05230874250386596,0.11740071449243134,0.1707219108162636,0.28351092448723797,0.47932342568519926,0.7164305321610485,moderate
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,4.706555454510194,0.8917114838115985,110.67029374441125,0.018947651432612834,0.018947651432612834,0.050313946031054754,0.08080894933919469,0.15384803546232048,0.2916519746993245,0.5640082790206933,diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,4.970112541425918,0.9416454287771191,144.0430972743205,0.010994310796924601,0.010994310796924601,0.03250118342389781,0.05369556006548307,0.10526619213381286,0.20482706383244056,0.39427186687298943,very_diffuse
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,3,5.1101216896333845,0.9681717847293557,165.6905164651804,0.01809207022137927,0.01809207022137927,0.04937830596093565,0.07673947888761404,0.13392921215773013,0.23609377467677467,0.32365036680386905,very_diffuse
