image_id,class,gt_area,gcqm_tp,gcqm_fp,gcqm_fn,gcqm_tn,gcqm_precision,gcqm_recall,gcqm_iou,gcqm_dice,gcqm_fp_rate,gcqm_fn_rate,sshr_tp,sshr_fp,sshr_fn,sshr_tn,sshr_precision,sshr_recall,sshr_iou,sshr_dice,sshr_fp_rate,sshr_fn_rate,delta_fp,delta_fn,normalized_delta_fp,normalized_delta_fn,delta_iou
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,1,39372,39372,98,0,0,0.9975171015961489,1.0,0.9975171015961489,0.9987570076862586,1.0,0.0,39372,98,0,0,0.9975171015961489,1.0,0.9975171015961489,0.9987570076862586,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,2,98,0,0,98,39372,nan,0.0,0.0,0.0,0.0,1.0,0,0,98,39372,nan,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,1,11551,11551,485,0,0,0.9597042206713193,1.0,0.9597042206713193,0.9794378259210582,1.0,0.0,11551,485,0,0,0.9597042206713193,1.0,0.9597042206713193,0.9794378259210582,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,2,485,0,0,485,11551,nan,0.0,0.0,0.0,0.0,1.0,0,0,485,11551,nan,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,1,29838,22443,2955,7395,15711,0.8836522560831561,0.7521616730343856,0.6843838624096606,0.812622202911145,0.15830922532947606,0.2478383269656143,21946,2132,7892,16534,0.9114544397375197,0.7355050606609022,0.6864560525492649,0.8140811632910453,0.11421836494160506,0.2644949393390978,823,-497,0.027582277632539853,-0.016656612373477896,-0.0020721901396042464
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,2,18666,15711,7395,2955,22443,0.6799532588937938,0.841690774670524,0.6028548405663635,0.7522263717322608,0.2478383269656143,0.15830922532947606,16534,7892,2132,21946,0.6769016621632686,0.8857816350583949,0.6225619399051133,0.7673814165042235,0.2644949393390978,0.11421836494160506,-497,823,-0.02662595092680455,0.044090860387847375,-0.01970709933874981
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,1,11013,8457,5667,2556,13014,0.598768054375531,0.7679106510487606,0.5070143884892087,0.6728726578350639,0.30335635137305283,0.23208934895123945,11013,7583,0,11098,0.5922241342224134,1.0,0.5922241342224134,0.7438954371981492,0.4059204539371554,0.0,-1916,2556,-0.17397620993355672,0.23208934895102867,-0.08520974573320472
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,2,18681,13014,2556,5667,8457,0.8358381502890173,0.6966436486269472,0.6127984178556293,0.7599194184111413,0.23208934895123945,0.30335635137305283,11098,0,7583,11013,1.0,0.5940795460628446,0.5940795460628446,0.7453574666711441,0.0,0.4059204539371554,2556,-1916,0.1368235105186356,-0.10256410256404766,0.01871887179278464
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,1,18417,15997,10164,2420,19326,0.6114827414854173,0.8685996633545094,0.559707497988174,0.7177082865987707,0.3446592065106816,0.13140033664549058,18154,11532,263,17958,0.6115340564575894,0.9857197154802628,0.6061638118134162,0.7547969981082261,0.39104781281790435,0.0142802845197372,-1368,2157,-0.07427919856650145,0.11712005212568978,-0.04645631382524218
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,29490,19326,2420,10164,15997,0.8887151660075416,0.6553407934893184,0.605640864932623,0.7543914435162776,0.13140033664549058,0.3446592065106816,17958,263,11532,18154,0.985566105043631,0.6089521871820957,0.6035693879608779,0.7527823772295698,0.0142802845197372,0.39104781281790435,2157,-1368,0.07314343845368831,-0.04638860630720706,0.0020714769717451453
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,18409,14848,11551,3561,20216,0.5624455471798174,0.8065620077136183,0.49559412550066756,0.6627387966434565,0.3636163314131016,0.19343799228638167,17184,19770,1225,11997,0.46501055366130867,0.9334564615133902,0.4500903638125671,0.620775608258223,0.6223439418264236,0.06654353848660981,-8219,2336,-0.4464664023029787,0.1268944537997029,0.04550376168810044
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,2,31767,20216,3561,11551,14848,0.8502334188501494,0.6363836685868983,0.5722373188405797,0.7279274089010515,0.19343799228638167,0.3636163314131016,11997,1225,19770,17184,0.9073513840568749,0.37765605817357634,0.3636336081474297,0.5333303696459134,0.06654353848660981,0.6223439418264236,2336,-8219,0.07353542984856186,-0.25872761041324055,0.20860371069315004
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,1,28854,28854,21321,0,1,0.575067264573991,1.0,0.575067264573991,0.7302129597995672,0.9999531000844198,0.0,28854,21322,0,0,0.5750558035714286,1.0,0.5750558035714286,0.7302037201062888,1.0,0.0,-1,0,-3.465723989740256e-05,0.0,1.1461002562440648e-05
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,2,21322,0,0,21322,28854,nan,0.0,0.0,0.0,0.0,1.0,0,0,21322,28854,nan,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,1,24870,24870,25305,0,1,0.49566517189835574,1.0,0.49566517189835574,0.6628023186088347,0.9999604836797598,0.0,24870,25242,0,64,0.4962883141762452,1.0,0.4962883141762452,0.6633592062094903,0.9974709555046234,0.0,63,0,0.0025331724969832998,0.0,-0.0006231422778894546
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,2,25306,0,0,25306,24870,nan,0.0,0.0,0.0,0.0,1.0,0,0,25306,24870,nan,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0,846,0,1,846,49329,0.0,0.0,0.0,0.0,2.027163997567403e-05,1.0,0,32,846,49298,0.0,0.0,0.0,0.0,0.000648692479221569,1.0,-31,0,-0.036643026004295,0.0,0.0
