image_id,class,model,components,largest_component_fraction,small_component_fraction,hole_count,hole_area_fraction,perimeter_area_ratio,boundary_length,fragmentation_index,compactness,area_ratio_gt
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,gcqm,5,0.6168030902234893,4.5985468591924955e-05,0,0.0,0.052607376069162146,1144,0.2299273428538916,4.789198096254647,0.737402509325195
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,sshr,4,0.6681850611931288,0.0,0,0.0,0.04774710498874925,870,0.2195269193680221,3.3056466831197606,0.6178704645642591
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,2,pixel,4,0.6080499535904144,0.0,0,0.0,0.05029111467386718,1192,0.16876212970687615,4.7704313783924395,0.8037300779925398
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,gcqm,5,0.5378612826243419,0.0,1,0.022008409409447326,0.053600515171029206,1415,0.18940111360680284,6.035531761281877,1.4340268347004184
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,sshr,2,0.9869026357092602,0.0,0,0.0,0.027547762082589165,1018,0.0541213400297339,2.231640515840799,2.0073876908034114
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,1,pixel,5,0.5435039835923325,0.0,1,0.027175199179616628,0.056519681312613396,1433,0.19720754113859448,6.4451945439540665,1.3772611222771471
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,2,gcqm,3,0.973125289144972,0.0,0,0.0,0.05379147916053329,1279,0.1261723513789913,5.474874485056576,0.7484811282148142
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,2,sshr,3,0.9460747239449403,0.0,0,0.0,0.04938738466192709,653,0.22689456948502906,2.566370448073964,0.4162180879529071
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,2,pixel,3,0.9674482314076223,0.0,0,0.0,0.05265490290871001,1307,0.12086052690320662,5.476518257629892,0.781376900557182
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,1,gcqm,1,1.0,0.0,1,1.993024414549078e-05,0.01785749875435974,896,0.019930244141518637,1.2732649207101248,1.738927011852776
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,1,sshr,1,1.0,0.0,0,0.0,0.017777423469387755,892,0.01992984693480352,1.261896709983536,1.7389616690926735
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,1,pixel,1,1.0,0.0,1,1.993024414549078e-05,0.01785749875435974,896,0.019930244141518637,1.2732649207101248,1.738927011852776
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,2,gcqm,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,2,sshr,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,2,pixel,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,1,gcqm,1,1.0,0.0,1,1.993024414549078e-05,0.01785749875435974,896,0.019930244141518637,1.2732649207101248,2.017490952955368
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,1,sshr,1,1.0,0.0,1,0.001277139208173691,0.018438697318007662,924,0.01995530012373178,1.3557897379192996,2.0149577804583836
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,1,pixel,1,1.0,0.0,1,1.993024414549078e-05,0.01785749875435974,896,0.019930244141518637,1.2732649207101248,2.017490952955368
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,2,gcqm,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,2,sshr,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
