step,equivariance_scheduled,iteration_seconds,peak_memory_allocated_bytes,lr_group0
1,False,1.869979565992253,3909641216,0.01
2,False,0.1177359750145115,4229570048,0.009999692569927526
3,False,0.11247780700796284,4228718080,0.00999938513880487
4,True,0.19795987298130058,6591479808,0.009999077706631991
5,False,0.1249505479936488,4308990464,0.00999877027340885
6,False,0.11341208100202493,4228324864,0.009998462839135405
7,False,0.11346666302415542,4228718080,0.009998155403811621
8,True,0.1969865540158935,6591479808,0.009997847967437457
