step,state,loss_total,loss_sshr,loss_sem_pres,loss_eq,loss_orth,loss_rec,equivariance_scheduled,finite
0,start,0.17754033207893372,0.16958370804786682,0.14328765869140625,0.06257335841655731,0.015844818204641342,0.0,False,True
1,training_pre_update,0.17754033207893372,0.16958370804786682,0.14328765869140625,,0.015844818204641342,0.0,False,True
2,training_pre_update,0.2197829931974411,0.216153085231781,0.0558851957321167,,0.01664501428604126,3.3915042877197266e-05,False,True
3,training_pre_update,0.2549207806587219,0.24470174312591553,0.18981552124023438,,0.014354837127029896,0.00010508298873901367,False,True
4,training_pre_update,0.3330594599246979,0.32678675651550293,0.039333462715148926,0.07158409059047699,0.014459209516644478,3.832578659057617e-05,True,True
5,training_pre_update,0.46952614188194275,0.4650970995426178,0.07270938158035278,,0.015753719955682755,5.91278076171875e-05,False,True
6,training_pre_update,0.31452134251594543,0.3100995421409607,0.0762631893157959,,0.010940165258944035,0.0006164312362670898,False,True
7,training_pre_update,0.32860836386680603,0.32282108068466187,0.10633087158203125,,0.008971583098173141,0.00022155046463012695,False,True
8,training_pre_update,0.3043203353881836,0.2963627874851227,0.04052037000656128,0.1070907711982727,0.010548744350671768,0.0004953145980834961,True,True
