parameter,grad_nonzero,mean_grad_norm,end_update_norm,end_relative_update,measurable_update
p_sem.weight,True,0.07628065999597311,0.023807065561413765,0.0014879415975883603,True
p_morph.weight,True,0.05950283259153366,0.01646512746810913,0.0010290704667568207,True
u_sem.weight,True,0.08316850755363703,0.023632697761058807,0.0014770436100661755,True
u_morph.weight,True,0.05069372057914734,0.01706141047179699,0.0010663381544873118,True
