class,sshr_iou,gcqm_iou,delta_iou_pp,sshr_dice,gcqm_dice,delta_dice_pp
0,0.7635816566294518,0.7469646546255889,-1.6617002003862846,0.8659442036710737,0.8551571465945648,-1.0787057076508955
1,0.7015749300189476,0.6711144433120497,-3.0460486706897827,0.8246183199362667,0.803193875796969,-2.142444413929767
2,0.5732113893742691,0.5548461900412369,-1.8365199333032156,0.7287150261507562,0.7136991344803327,-1.5015891670423498
3,0.6295002604464313,0.601246740154281,-2.8253520292150225,0.7726298371673389,0.7509732573711289,-2.165657979621005
