image_id,sshr_mIoU,gcqm_mIoU,delta_mIoU,sshr_mDice,gcqm_mDice,delta_mDice
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+0,0.49875855079807446,0.49875855079807446,0.0,0.24968925192156466,0.24968925192156466,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1,0.47985211033565967,0.47985211033565967,0.0,0.24485945648026455,0.24485945648026455,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+10,0.654508996227189,0.6405487468590714,-0.013960249368117683,0.3953656449488172,0.3901138468128892,-0.005251798135928021
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+100,0.593151840142629,0.55459467081701,-0.038557169325619034,0.3723132259673233,0.35596164093017857,-0.016351585037144734
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,0.604866599887147,0.5911992251292993,-0.013667374757847628,0.37689484383444893,0.37128804979954466,-0.005606794034904272
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,0.4068619859799984,0.5417892891859399,0.13492730320594154,0.28852649447603407,0.35089773443286587,0.0623712399568318
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,0.2875279017857143,0.19168908819133035,-0.09583881359438395,0.1825509300265722,0.1825532399498918,2.309923319621099e-06
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,0.1654294380587484,0.1652217239661186,-0.00020771409262981821,0.16583980155237257,0.16570057965220866,-0.00013922190016391056
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,0.3057437818877551,0.3059497236394558,0.00020594175170068896,0.2392072682668219,0.23929128130520627,8.40130383843729e-05
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,0.254258343962585,0.32049718041469055,0.06623883645210554,0.21635631833033725,0.31970011069728954,0.10334379236695229
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,0.6165097624965372,0.28821548150510207,-0.32829428099143515,0.3797720403254543,0.18282784864536847,-0.19694419168008584
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,0.46120655293367346,0.46120655293367346,0.0,0.23991022092287914,0.23991022092287914,0.0
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,0.5505644482801609,0.49126687709035255,-0.059297571189808385,0.3498581944652665,0.325036299363604,-0.024821895101662494
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,0.8484259858330354,0.8752624937777813,0.026836507944745902,0.45877080425831307,0.46663871794943057,0.0078679136911175
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,0.25964302255133465,0.2907972724401256,0.031154249888790952,0.19868992824052917,0.21737563085796682,0.018685702617437655
